Date,Time,Timestamp,Open,High,Low,Close,Volume
2026-05-29,09:15:00,1780026300,10345.5,10550,10330,10550,14867
2026-05-29,09:16:00,1780026360,10548.5,10548.5,10491.5,10521,21918
2026-05-29,09:17:00,1780026420,10517.5,10518,10500,10516,26023
2026-05-29,09:18:00,1780026480,10518,10561,10490,10525,32810
2026-05-29,09:19:00,1780026540,10519,10584.5,10517.5,10537.5,39464
2026-05-29,09:20:00,1780026600,10534.5,10556,10510.5,10540,44423
2026-05-29,09:21:00,1780026660,10533.5,10544,10495,10516,50375
2026-05-29,09:22:00,1780026720,10511,10543,10504.5,10532,53248
2026-05-29,09:23:00,1780026780,10539.5,10540,10514.5,10538,55730
2026-05-29,09:24:00,1780026840,10535,10548,10526,10526,57904
2026-05-29,09:25:00,1780026900,10525,10529.5,10465,10465,62953
2026-05-29,09:26:00,1780026960,10461.5,10468.5,10440,10455.5,66566
2026-05-29,09:27:00,1780027020,10455,10487.5,10455,10461.5,68726
2026-05-29,09:28:00,1780027080,10461,10485.5,10436.5,10438.5,72471
2026-05-29,09:29:00,1780027140,10437.5,10443,10412.5,10437,75635
2026-05-29,09:30:00,1780027200,10432.5,10440,10420,10440,76989
2026-05-29,09:31:00,1780027260,10438.5,10449.5,10428,10430.5,78480
2026-05-29,09:32:00,1780027320,10426.5,10426.5,10397,10406,80622
2026-05-29,09:33:00,1780027380,10412.5,10448.5,10412.5,10448.5,82146
2026-05-29,09:34:00,1780027440,10441.5,10443.5,10438,10439,82870
2026-05-29,09:35:00,1780027500,10438.5,10453,10432.5,10453,83923
2026-05-29,09:36:00,1780027560,10452.5,10481,10452.5,10481,86137
2026-05-29,09:37:00,1780027620,10478,10485,10476,10484,87445
2026-05-29,09:38:00,1780027680,10485,10497,10479,10479,89564
2026-05-29,09:39:00,1780027740,10476.5,10479,10467,10467,90438
2026-05-29,09:40:00,1780027800,10469,10480,10469,10480,91574
2026-05-29,09:41:00,1780027860,10485,10500,10478.5,10482.5,93673
2026-05-29,09:42:00,1780027920,10475,10475,10450.5,10470.5,95074
2026-05-29,09:43:00,1780027980,10469.5,10469.5,10445,10448.5,95473
2026-05-29,09:44:00,1780028040,10447,10452.5,10425.5,10440,96197
2026-05-29,09:45:00,1780028100,10430,10443,10427.5,10443,96601
2026-05-29,09:46:00,1780028160,10449,10465,10449,10454.5,97834
2026-05-29,09:47:00,1780028220,10455,10459,10445.5,10448.5,98062
2026-05-29,09:48:00,1780028280,10450,10469,10446.5,10459.5,98918
2026-05-29,09:49:00,1780028340,10451,10456,10439,10453,99701
2026-05-29,09:50:00,1780028400,10452.5,10457,10440.5,10456,100012
2026-05-29,09:51:00,1780028460,10457.5,10460.5,10443.5,10443.5,100251
2026-05-29,09:52:00,1780028520,10444.5,10445,10425,10430.5,101008
2026-05-29,09:53:00,1780028580,10435,10448,10435,10435,101862
2026-05-29,09:54:00,1780028640,10437.5,10437.5,10433.5,10435,102153
2026-05-29,09:55:00,1780028700,10437.5,10441,10430,10433.5,102463
2026-05-29,09:56:00,1780028760,10438.5,10441,10435,10436.5,102961
2026-05-29,09:57:00,1780028820,10440,10440.5,10425,10429.5,103430
2026-05-29,09:58:00,1780028880,10425.5,10438,10425.5,10429,104273
2026-05-29,09:59:00,1780028940,10427.5,10432.5,10424.5,10428,104638
2026-05-29,10:00:00,1780029000,10429.5,10429.5,10410,10410,106605
2026-05-29,10:01:00,1780029060,10408.5,10408.5,10393.5,10399.5,108780
2026-05-29,10:02:00,1780029120,10393.5,10425,10393.5,10415,110131
2026-05-29,10:03:00,1780029180,10413,10427.5,10407,10410.5,111364
2026-05-29,10:04:00,1780029240,10414.5,10433,10413,10428.5,111761
2026-05-29,10:05:00,1780029300,10429,10433,10427.5,10433,112022
2026-05-29,10:06:00,1780029360,10432,10432,10407.5,10411,114202
2026-05-29,10:07:00,1780029420,10409,10411,10362,10371,116560
2026-05-29,10:08:00,1780029480,10371.5,10396.5,10371.5,10393.5,117682
2026-05-29,10:09:00,1780029540,10392,10393,10370,10388.5,118806
2026-05-29,10:10:00,1780029600,10388,10390,10381,10381,120365
2026-05-29,10:11:00,1780029660,10381.5,10385,10375,10380,120906
2026-05-29,10:12:00,1780029720,10378.5,10380,10376,10380,121213
2026-05-29,10:13:00,1780029780,10377,10380.5,10361,10363,122334
2026-05-29,10:14:00,1780029840,10365,10374,10362.5,10366,122762
2026-05-29,10:15:00,1780029900,10363,10370,10357,10360,123606
2026-05-29,10:16:00,1780029960,10357,10369,10357,10368,124350
2026-05-29,10:17:00,1780030020,10365,10381,10363,10375.5,124980
2026-05-29,10:18:00,1780030080,10373,10381,10372,10379.5,125541
2026-05-29,10:19:00,1780030140,10381,10388.5,10379.5,10388,126052
2026-05-29,10:20:00,1780030200,10385.5,10385.5,10352.5,10352.5,128566
2026-05-29,10:21:00,1780030260,10355,10360.5,10350,10350,129046
2026-05-29,10:22:00,1780030320,10350.5,10355.5,10349,10352,129577
2026-05-29,10:23:00,1780030380,10353,10372,10351,10361,130581
2026-05-29,10:24:00,1780030440,10361.5,10363.5,10351,10351,130975
2026-05-29,10:25:00,1780030500,10350,10355,10342.5,10354,133019
2026-05-29,10:26:00,1780030560,10355,10370,10353.5,10367,134190
2026-05-29,10:27:00,1780030620,10381,10393.5,10373,10373.5,136306
2026-05-29,10:28:00,1780030680,10373,10378.5,10365.5,10365.5,136767
2026-05-29,10:29:00,1780030740,10369.5,10373,10365,10365.5,136857
