Date,Time,Timestamp,Open,High,Low,Close,Volume
2026-05-04,09:15:00,1777866300,36915,37030,36775,36875,596
2026-05-04,09:20:00,1777866600,36850,37050,36850,37000,858
2026-05-04,09:25:00,1777866900,37010,37170,37005,37150,1059
2026-05-04,09:30:00,1777867200,37185,37260,37185,37245,1217
2026-05-04,09:35:00,1777867500,37240,37255,37200,37235,1425
2026-05-04,09:40:00,1777867800,37200,37225,37180,37200,1645
2026-05-04,09:45:00,1777868100,37205,37270,37205,37220,1786
2026-05-04,09:50:00,1777868400,37220,37220,37015,37045,2124
2026-05-04,09:55:00,1777868700,37025,37145,36990,37100,2460
2026-05-04,10:00:00,1777869000,37130,37150,37030,37035,2519
2026-05-04,10:05:00,1777869300,37080,37100,37030,37060,2576
2026-05-04,10:10:00,1777869600,37050,37120,37045,37120,2643
2026-05-04,10:15:00,1777869900,37110,37155,37105,37120,2697
2026-05-04,10:20:00,1777870200,37150,37165,37000,37000,2899
2026-05-04,10:25:00,1777870500,37035,37140,37010,37115,3024
2026-05-04,10:30:00,1777870800,37085,37095,37010,37075,3148
2026-05-04,10:35:00,1777871100,37095,37180,37090,37175,3220
2026-05-04,10:40:00,1777871400,37165,37195,37140,37195,3289
2026-05-04,10:45:00,1777871700,37200,37230,37200,37225,3338
2026-05-04,10:50:00,1777872000,37200,37225,37200,37205,3363
2026-05-04,10:55:00,1777872300,37215,37215,37160,37190,3463
2026-05-04,11:00:00,1777872600,37200,37220,37185,37205,3502
2026-05-04,11:05:00,1777872900,37230,37240,37200,37200,3565
2026-05-04,11:10:00,1777873200,37230,37230,37200,37220,3598
2026-05-04,11:15:00,1777873500,37205,37245,37205,37230,3660
2026-05-04,11:20:00,1777873800,37230,37230,37205,37220,3684
2026-05-04,11:25:00,1777874100,37215,37250,37215,37240,3714
2026-05-04,11:30:00,1777874400,37240,37240,37210,37210,3741
2026-05-04,11:35:00,1777874700,37230,37230,37200,37220,3750
2026-05-04,11:40:00,1777875000,37205,37205,37205,37205,3755
2026-05-04,11:45:00,1777875300,37170,37195,37110,37190,4086
2026-05-04,11:50:00,1777875600,37170,37200,37125,37135,4189
2026-05-04,11:55:00,1777875900,37165,37200,37145,37190,4283
2026-05-04,12:00:00,1777876200,37195,37220,37140,37195,4413
2026-05-04,12:05:00,1777876500,37190,37250,37160,37200,4680
2026-05-04,12:10:00,1777876800,37205,37205,37165,37200,4888
2026-05-04,12:15:00,1777877100,37160,37190,37110,37155,5044
2026-05-04,12:20:00,1777877400,37165,37195,37120,37190,5258
2026-05-04,12:25:00,1777877700,37200,37205,37125,37155,5370
2026-05-04,12:30:00,1777878000,37145,37200,37135,37185,5450
2026-05-04,12:35:00,1777878300,37195,37200,37165,37180,5533
2026-05-04,12:40:00,1777878600,37190,37200,37135,37135,5633
2026-05-04,12:45:00,1777878900,37145,37165,37050,37065,5786
2026-05-04,12:50:00,1777879200,37045,37150,37045,37090,5965
2026-05-04,12:55:00,1777879500,37100,37110,37005,37025,6253
2026-05-04,13:00:00,1777879800,37040,37080,37020,37040,6368
2026-05-04,13:05:00,1777880100,37020,37070,36955,36980,6621
2026-05-04,13:10:00,1777880400,36975,37025,36935,36975,6783
2026-05-04,13:15:00,1777880700,36970,37005,36960,36995,6879
2026-05-04,13:20:00,1777881000,36980,36985,36885,36950,7045
2026-05-04,13:25:00,1777881300,36910,36930,36865,36880,7205
2026-05-04,13:30:00,1777881600,36845,36905,36825,36845,7347
2026-05-04,13:35:00,1777881900,36855,36855,36735,36825,7658
2026-05-04,13:40:00,1777882200,36810,36995,36810,36965,7796
2026-05-04,13:45:00,1777882500,36970,36975,36905,36930,7897
2026-05-04,13:50:00,1777882800,36940,36995,36910,36915,8182
2026-05-04,13:55:00,1777883100,36920,36950,36885,36925,8288
2026-05-04,14:00:00,1777883400,36940,36990,36905,36990,8400
2026-05-04,14:05:00,1777883700,36965,37035,36955,37030,8548
2026-05-04,14:10:00,1777884000,37045,37140,37045,37125,8761
2026-05-04,14:15:00,1777884300,37115,37125,37080,37095,8864
2026-05-04,14:20:00,1777884600,37115,37145,37045,37110,8997
2026-05-04,14:25:00,1777884900,37090,37115,37040,37050,9100
2026-05-04,14:30:00,1777885200,37060,37090,36980,37035,9259
2026-05-04,14:35:00,1777885500,37020,37030,36955,36955,9378
2026-05-04,14:40:00,1777885800,36985,37010,36935,36960,9502
2026-05-04,14:45:00,1777886100,36980,36980,36895,36920,9679
2026-05-04,14:50:00,1777886400,36905,36960,36885,36960,9896
2026-05-04,14:55:00,1777886700,36945,36990,36925,36960,10064
2026-05-04,15:00:00,1777887000,36975,37060,36970,37020,10320
2026-05-04,15:05:00,1777887300,37005,37060,36970,37030,10584
2026-05-04,15:10:00,1777887600,37045,37045,36905,36985,11032
2026-05-04,15:15:00,1777887900,36950,36995,36865,36895,11420
2026-05-04,15:20:00,1777888200,36900,36985,36875,36940,11978
2026-05-04,15:25:00,1777888500,36935,36985,36850,36850,12569
2026-05-05,09:15:00,1777952700,37070,37070,36820,36985,301
2026-05-05,09:20:00,1777953000,36970,37045,36930,37010,377
2026-05-05,09:25:00,1777953300,36970,37010,36900,36950,537
2026-05-05,09:30:00,1777953600,36980,36995,36895,36925,603
2026-05-05,09:35:00,1777953900,36885,36925,36815,36850,706
2026-05-05,09:40:00,1777954200,36820,37065,36805,37025,885
2026-05-05,09:45:00,1777954500,37015,37040,36990,37020,1010
2026-05-05,09:50:00,1777954800,37045,37045,37000,37045,1061
2026-05-05,09:55:00,1777955100,37020,37060,36990,36990,1146
2026-05-05,10:00:00,1777955400,37000,37000,36880,36940,1213
2026-05-05,10:05:00,1777955700,36945,36945,36915,36935,1227
2026-05-05,10:10:00,1777956000,36925,37020,36895,37020,1303
2026-05-05,10:15:00,1777956300,36985,37105,36985,37030,1547
2026-05-05,10:20:00,1777956600,37025,37055,36925,37000,1922
2026-05-05,10:25:00,1777956900,36975,37015,36960,37000,2603
2026-05-05,10:30:00,1777957200,37020,37070,37000,37035,2671
2026-05-05,10:35:00,1777957500,37030,37050,37005,37025,2831
2026-05-05,10:40:00,1777957800,37030,37040,37000,37005,2847
2026-05-05,10:45:00,1777958100,37025,37025,36995,37015,2946
2026-05-05,10:50:00,1777958400,37000,37015,36950,37000,3555
2026-05-05,10:55:00,1777958700,37000,37000,36780,36820,4002
2026-05-05,11:00:00,1777959000,36795,36890,36770,36860,4068
2026-05-05,11:05:00,1777959300,36885,36885,36805,36875,4110
2026-05-05,11:10:00,1777959600,36845,36865,36840,36840,4117
2026-05-05,11:15:00,1777959900,36860,36870,36845,36860,4144
2026-05-05,11:20:00,1777960200,36875,36940,36865,36915,4209
2026-05-05,11:25:00,1777960500,36940,36940,36885,36890,4220
2026-05-05,11:30:00,1777960800,36900,36915,36875,36915,4244
2026-05-05,11:35:00,1777961100,36925,36955,36910,36925,4293
2026-05-05,11:40:00,1777961400,36920,36930,36875,36875,4325
2026-05-05,11:45:00,1777961700,36900,36900,36825,36835,4374
2026-05-05,11:50:00,1777962000,36840,36865,36830,36835,4401
2026-05-05,11:55:00,1777962300,36815,36840,36810,36810,4432
2026-05-05,12:00:00,1777962600,36805,36835,36800,36830,4518
2026-05-05,12:05:00,1777962900,36810,36840,36805,36825,4563
2026-05-05,12:10:00,1777963200,36815,36825,36800,36805,4605
2026-05-05,12:15:00,1777963500,36810,36855,36805,36815,4675
2026-05-05,12:20:00,1777963800,36810,36835,36805,36805,4715
2026-05-05,12:25:00,1777964100,36810,36875,36800,36845,4828
2026-05-05,12:30:00,1777964400,36835,36890,36805,36855,4934
2026-05-05,12:35:00,1777964700,36850,36865,36850,36850,4967
2026-05-05,12:40:00,1777965000,36890,36910,36845,36845,5037
2026-05-05,12:45:00,1777965300,36850,36860,36850,36855,5062
2026-05-05,12:50:00,1777965600,36890,36910,36890,36900,5094
2026-05-05,12:55:00,1777965900,36910,36925,36900,36900,5140
2026-05-05,13:00:00,1777966200,36915,36925,36900,36900,5178
2026-05-05,13:05:00,1777966500,36925,36935,36925,36925,5474
2026-05-05,13:10:00,1777966800,36930,37005,36925,37005,5736
2026-05-05,13:15:00,1777967100,37000,37015,36990,37000,5768
2026-05-05,13:20:00,1777967400,37005,37085,36950,36955,6253
2026-05-05,13:25:00,1777967700,36975,37065,36900,37065,6371
2026-05-05,13:30:00,1777968000,37050,37110,37050,37100,6712
2026-05-05,13:35:00,1777968300,37095,37150,37080,37125,6975
2026-05-05,13:40:00,1777968600,37130,37175,37130,37170,7032
2026-05-05,13:45:00,1777968900,37165,37210,37145,37200,7262
2026-05-05,13:50:00,1777969200,37205,37220,37200,37200,7359
2026-05-05,13:55:00,1777969500,37210,37210,37200,37200,7507
2026-05-05,14:00:00,1777969800,37205,37210,37110,37120,7757
2026-05-05,14:05:00,1777970100,37100,37105,37015,37020,7980
2026-05-05,14:10:00,1777970400,37015,37130,37015,37050,8132
2026-05-05,14:15:00,1777970700,37060,37095,37050,37055,8211
2026-05-05,14:20:00,1777971000,37075,37105,37060,37080,8281
2026-05-05,14:25:00,1777971300,37115,37270,37080,37270,8873
2026-05-05,14:30:00,1777971600,37275,37280,37225,37255,8964
2026-05-05,14:35:00,1777971900,37260,37270,37235,37265,9039
2026-05-05,14:40:00,1777972200,37250,37455,37250,37405,9488
2026-05-05,14:45:00,1777972500,37365,37500,37365,37470,9770
2026-05-05,14:50:00,1777972800,37445,37465,37420,37440,9913
2026-05-05,14:55:00,1777973100,37455,37490,37445,37485,10073
2026-05-05,15:00:00,1777973400,37495,37495,37420,37430,10246
2026-05-05,15:05:00,1777973700,37445,37470,37420,37450,10456
2026-05-05,15:10:00,1777974000,37455,37465,37390,37405,10991
2026-05-05,15:15:00,1777974300,37400,37425,37375,37380,11403
2026-05-05,15:20:00,1777974600,37375,37445,37350,37380,11928
2026-05-05,15:25:00,1777974900,37390,37420,37345,37390,12718
2026-05-06,09:15:00,1778039100,37295,37605,37285,37315,881
2026-05-06,09:20:00,1778039400,37300,37315,37220,37300,1357
2026-05-06,09:25:00,1778039700,37310,37350,37250,37255,1450
2026-05-06,09:30:00,1778040000,37250,37285,37230,37270,1673
2026-05-06,09:35:00,1778040300,37270,37275,37245,37245,1716
2026-05-06,09:40:00,1778040600,37245,37250,37205,37225,1770
2026-05-06,09:45:00,1778040900,37225,37285,37225,37285,1878
2026-05-06,09:50:00,1778041200,37270,37270,37210,37210,2018
2026-05-06,09:55:00,1778041500,37200,37235,37200,37235,2125
2026-05-06,10:00:00,1778041800,37245,37245,37245,37245,2126
2026-05-06,10:05:00,1778042100,37250,37250,37160,37160,2218
2026-05-06,10:10:00,1778042400,37190,37245,37165,37245,2302
2026-05-06,10:15:00,1778042700,37240,37280,37240,37270,2375
2026-05-06,10:20:00,1778043000,37260,37400,37260,37385,2528
2026-05-06,10:25:00,1778043300,37400,37400,37345,37345,2590
2026-05-06,10:30:00,1778043600,37365,37370,37345,37350,2654
2026-05-06,10:35:00,1778043900,37360,37385,37355,37355,2701
2026-05-06,10:40:00,1778044200,37435,37475,37400,37400,2916
2026-05-06,10:45:00,1778044500,37400,37405,37380,37380,3001
2026-05-06,10:50:00,1778044800,37345,37390,37345,37390,3176
2026-05-06,10:55:00,1778045100,37380,37380,37360,37380,3190
2026-05-06,11:00:00,1778045400,37360,37385,37360,37370,3218
2026-05-06,11:05:00,1778045700,37345,37360,37345,37360,3301
2026-05-06,11:10:00,1778046000,37345,37355,37335,37345,3370
2026-05-06,11:15:00,1778046300,37355,37390,37350,37370,3500
2026-05-06,11:20:00,1778046600,37350,37375,37350,37355,3527
2026-05-06,11:25:00,1778046900,37370,37370,37355,37370,3534
2026-05-06,11:30:00,1778047200,37375,37375,37345,37350,3601
2026-05-06,11:35:00,1778047500,37345,37360,37345,37345,3782
2026-05-06,11:40:00,1778047800,37370,37475,37365,37465,4202
2026-05-06,11:45:00,1778048100,37460,37465,37435,37440,4299
2026-05-06,11:50:00,1778048400,37420,37420,37395,37420,4324
2026-05-06,11:55:00,1778048700,37395,37470,37395,37450,4461
2026-05-06,12:00:00,1778049000,37470,37480,37460,37460,4477
2026-05-06,12:05:00,1778049300,37465,37650,37460,37625,5002
2026-05-06,12:10:00,1778049600,37645,37690,37595,37625,5283
2026-05-06,12:15:00,1778049900,37625,37625,37565,37565,5323
2026-05-06,12:20:00,1778050200,37585,37585,37505,37515,5376
2026-05-06,12:25:00,1778050500,37500,37545,37455,37510,5450
2026-05-06,12:30:00,1778050800,37505,37510,37485,37500,5503
2026-05-06,12:35:00,1778051100,37495,37595,37495,37585,5620
2026-05-06,12:40:00,1778051400,37605,37605,37580,37580,5672
2026-05-06,12:45:00,1778051700,37595,37595,37480,37515,5724
2026-05-06,12:50:00,1778052000,37515,37520,37375,37375,5832
2026-05-06,12:55:00,1778052300,37395,37395,37345,37345,6175
2026-05-06,13:00:00,1778052600,37355,37390,37345,37365,6474
2026-05-06,13:05:00,1778052900,37375,37490,37375,37425,6698
2026-05-06,13:10:00,1778053200,37430,37475,37415,37475,6789
2026-05-06,13:15:00,1778053500,37450,37465,37420,37440,6874
2026-05-06,13:20:00,1778053800,37460,37485,37425,37455,6961
2026-05-06,13:25:00,1778054100,37465,37560,37460,37550,7147
2026-05-06,13:30:00,1778054400,37545,37560,37530,37560,7228
2026-05-06,13:35:00,1778054700,37555,37560,37505,37535,7301
2026-05-06,13:40:00,1778055000,37560,37565,37535,37535,7403
2026-05-06,13:45:00,1778055300,37530,37535,37505,37525,7498
2026-05-06,13:50:00,1778055600,37515,37570,37500,37535,7612
2026-05-06,13:55:00,1778055900,37545,37550,37505,37505,7686
2026-05-06,14:00:00,1778056200,37510,37575,37500,37535,7923
2026-05-06,14:05:00,1778056500,37515,37575,37515,37525,8052
2026-05-06,14:10:00,1778056800,37520,37560,37520,37545,8170
2026-05-06,14:15:00,1778057100,37540,37550,37525,37525,8263
2026-05-06,14:20:00,1778057400,37585,37640,37550,37600,8701
2026-05-06,14:25:00,1778057700,37630,37650,37600,37630,8919
2026-05-06,14:30:00,1778058000,37700,37740,37565,37615,9217
2026-05-06,14:35:00,1778058300,37610,37610,37555,37560,9341
