Date,Time,Timestamp,Open,High,Low,Close,Volume
2026-05-29,09:15:00,1780026300,459.8,459.8,454.45,454.5,43213
2026-05-29,09:16:00,1780026360,454.45,454.7,453.1,453.5,73288
2026-05-29,09:17:00,1780026420,453.4,453.5,451.5,452,106455
2026-05-29,09:18:00,1780026480,452.3,452.3,450.5,450.9,123584
2026-05-29,09:19:00,1780026540,451.2,452,450.8,450.8,134001
2026-05-29,09:20:00,1780026600,450.25,450.7,449.35,450.7,158513
2026-05-29,09:21:00,1780026660,451.2,452.2,451.2,451.7,164774
2026-05-29,09:22:00,1780026720,451.8,452.9,451.8,452.45,177105
2026-05-29,09:23:00,1780026780,452.75,452.75,451.35,451.35,183720
2026-05-29,09:24:00,1780026840,451.2,451.75,451.2,451.7,189965
2026-05-29,09:25:00,1780026900,451.65,452,451.4,452,199951
2026-05-29,09:26:00,1780026960,451.9,453.1,451.9,453,212239
2026-05-29,09:27:00,1780027020,452.6,453,452.4,453,217186
2026-05-29,09:28:00,1780027080,453.25,453.8,453.15,453.3,230752
2026-05-29,09:29:00,1780027140,453.2,453.5,452.6,452.6,237821
2026-05-29,09:30:00,1780027200,452.95,453,452.55,452.7,252571
2026-05-29,09:31:00,1780027260,453,453,452.5,452.6,256203
2026-05-29,09:32:00,1780027320,452.8,453.65,452.8,452.95,262731
2026-05-29,09:33:00,1780027380,452.9,453.15,452.7,453.15,267241
2026-05-29,09:34:00,1780027440,452.8,453.8,452.8,453.5,284322
2026-05-29,09:35:00,1780027500,453.85,454.2,453.5,454,303602
2026-05-29,09:36:00,1780027560,454.25,454.75,454.25,454.45,312146
2026-05-29,09:37:00,1780027620,454.8,455,454.4,454.8,325266
2026-05-29,09:38:00,1780027680,454.9,455.1,454.75,455.05,337380
2026-05-29,09:39:00,1780027740,455.15,455.35,454.55,454.55,340538
2026-05-29,09:40:00,1780027800,454.5,455,454.5,455,346804
2026-05-29,09:41:00,1780027860,454.8,455.1,454.5,454.7,358019
2026-05-29,09:42:00,1780027920,455,455,454.15,454.7,372286
2026-05-29,09:43:00,1780027980,454.5,454.5,453.55,453.55,387481
2026-05-29,09:44:00,1780028040,453.9,453.9,453.15,453.5,392144
2026-05-29,09:45:00,1780028100,453.2,454,453.2,453.6,408389
2026-05-29,09:46:00,1780028160,453.95,453.95,452.25,452.3,425184
2026-05-29,09:47:00,1780028220,452.5,452.5,451.8,451.8,431097
2026-05-29,09:48:00,1780028280,451.6,451.6,450.6,451.5,444667
2026-05-29,09:49:00,1780028340,452.05,453.7,452.05,453.55,453391
2026-05-29,09:50:00,1780028400,453.25,453.65,452.75,452.75,469560
2026-05-29,09:51:00,1780028460,453,453.5,452.6,453.5,472479
2026-05-29,09:52:00,1780028520,453.45,453.55,453.2,453.25,476381
2026-05-29,09:53:00,1780028580,453.3,453.7,453.3,453.7,477863
2026-05-29,09:54:00,1780028640,453.9,453.9,453.3,453.6,489483
2026-05-29,09:55:00,1780028700,453.4,453.4,453,453,492480
2026-05-29,09:56:00,1780028760,453.1,453.3,452.9,452.9,496109
2026-05-29,09:57:00,1780028820,452.95,452.95,452.65,452.65,496430
2026-05-29,09:58:00,1780028880,452.8,453.25,452.8,453.25,497999
2026-05-29,09:59:00,1780028940,453.75,454.4,453.75,454.1,503554
2026-05-29,10:00:00,1780029000,454.3,454.5,453,454.5,522352
2026-05-29,10:01:00,1780029060,454.55,454.55,454,454.25,528256
2026-05-29,10:02:00,1780029120,454,454,453.45,453.65,532158
2026-05-29,10:03:00,1780029180,453.55,453.95,453.55,453.85,532735
2026-05-29,10:04:00,1780029240,454,454.25,454,454.1,534788
2026-05-29,10:05:00,1780029300,454.25,454.45,454.25,454.35,535276
2026-05-29,10:06:00,1780029360,454.5,454.55,454.5,454.55,537014
2026-05-29,10:07:00,1780029420,454.3,454.65,454.3,454.65,538177
2026-05-29,10:08:00,1780029480,454.6,454.95,454.55,454.75,544812
2026-05-29,10:09:00,1780029540,454.95,454.95,454.4,454.4,549986
2026-05-29,10:10:00,1780029600,454.6,455.2,454.5,455.2,559693
2026-05-29,10:11:00,1780029660,454.95,455.3,454.4,454.95,570475
2026-05-29,10:12:00,1780029720,454.85,455.1,454.1,454.25,582609
2026-05-29,10:13:00,1780029780,454.05,454.5,453.9,454.35,594606
2026-05-29,10:14:00,1780029840,453.65,454.35,453.65,454,600564
2026-05-29,10:15:00,1780029900,454.1,454.5,454.1,454.5,602463
2026-05-29,10:16:00,1780029960,454.2,454.75,454.2,454.75,604357
2026-05-29,10:17:00,1780030020,454.5,454.55,454.4,454.5,610960
2026-05-29,10:18:00,1780030080,454.9,455.1,454.75,455,615523
2026-05-29,10:19:00,1780030140,455.05,455.05,454.85,455,618496
2026-05-29,10:20:00,1780030200,454.9,455.5,454.9,455.5,628654
2026-05-29,10:21:00,1780030260,455.55,455.7,455.55,455.55,643830
2026-05-29,10:22:00,1780030320,455.85,455.95,455.85,455.95,657346
2026-05-29,10:23:00,1780030380,456.15,456.7,456,456.45,680308
2026-05-29,10:24:00,1780030440,456.3,456.9,456.1,456.65,699900
2026-05-29,10:25:00,1780030500,456.55,457.2,456.55,456.7,709654
2026-05-29,10:26:00,1780030560,456.3,457.2,456.3,457,715211
2026-05-29,10:27:00,1780030620,456.7,457.2,456.45,457.05,727442
2026-05-29,10:28:00,1780030680,457.15,457.15,456.85,456.85,729394
2026-05-29,10:29:00,1780030740,456.9,457.2,456.85,456.9,737806
2026-05-29,10:30:00,1780030800,456.75,456.85,456.6,456.85,739522
2026-05-29,10:31:00,1780030860,456.9,457.15,456.6,457.15,743202
2026-05-29,10:32:00,1780030920,457,458.35,457,458.2,752073
2026-05-29,10:33:00,1780030980,458,458.45,457.7,458.45,761894
2026-05-29,10:34:00,1780031040,458.25,459.1,457.9,459.1,977595
2026-05-29,10:35:00,1780031100,459.3,459.75,459.15,459.5,984626
2026-05-29,10:36:00,1780031160,459.3,460.1,459.25,459.95,1009362
2026-05-29,10:37:00,1780031220,460.15,460.45,459.95,460.35,1016178
2026-05-29,10:38:00,1780031280,460.05,460.15,459,459.1,1029301
2026-05-29,10:39:00,1780031340,459.3,459.9,458.8,458.8,1058590
2026-05-29,10:40:00,1780031400,458.75,458.75,457.9,458,1061889
2026-05-29,10:41:00,1780031460,457.85,459.2,457.85,459.2,1070810
2026-05-29,10:42:00,1780031520,459,459.55,459,459.3,1074766
2026-05-29,10:43:00,1780031580,459.2,459.5,459.2,459.25,1075153
2026-05-29,10:44:00,1780031640,459.4,459.4,459,459.2,1077473
2026-05-29,10:45:00,1780031700,459,459.1,458.05,458.9,1087659
2026-05-29,10:46:00,1780031760,458.6,458.7,458.5,458.55,1091351
2026-05-29,10:47:00,1780031820,458.4,458.75,458,458.75,1096582
2026-05-29,10:48:00,1780031880,458.7,458.7,458.35,458.35,1098038
2026-05-29,10:49:00,1780031940,458.25,458.25,458,458.15,1099352
2026-05-29,10:50:00,1780032000,458,458.3,457.95,458.15,1102266
2026-05-29,10:51:00,1780032060,458.35,458.55,458.35,458.55,1103272
2026-05-29,10:52:00,1780032120,458.5,458.5,458.2,458.5,1105214
2026-05-29,10:53:00,1780032180,458.45,458.65,458.35,458.35,1107488
2026-05-29,10:54:00,1780032240,458.55,458.55,458.3,458.3,1108040
2026-05-29,10:55:00,1780032300,458.15,458.7,458.15,458.7,1112810
2026-05-29,10:56:00,1780032360,458.75,458.75,458.4,458.45,1119099
2026-05-29,10:57:00,1780032420,458.4,458.45,458.25,458.3,1123496
2026-05-29,10:58:00,1780032480,458.4,458.45,458.4,458.4,1126871
2026-05-29,10:59:00,1780032540,458.5,459.05,458.1,458.35,1138145
2026-05-29,11:00:00,1780032600,458.4,458.4,458.1,458.2,1142618
2026-05-29,11:01:00,1780032660,458.25,458.65,458.25,458.65,1148236
2026-05-29,11:02:00,1780032720,458.5,458.6,458.3,458.45,1156135
2026-05-29,11:03:00,1780032780,458.55,458.7,458.45,458.45,1159712
2026-05-29,11:04:00,1780032840,458.55,458.9,458.55,458.9,1162312
2026-05-29,11:05:00,1780032900,459,459.25,458.1,458.1,1177206
2026-05-29,11:06:00,1780032960,458,458.1,457.75,458,1180191
2026-05-29,11:07:00,1780033020,457.9,458.05,457.8,457.9,1183290
2026-05-29,11:08:00,1780033080,458.1,458.1,457.9,458.1,1184216
2026-05-29,11:09:00,1780033140,458,458.45,458,458.2,1188953
2026-05-29,11:10:00,1780033200,458,458.15,457.9,458.1,1190322
2026-05-29,11:11:00,1780033260,458.15,458.15,457.5,457.8,1194143
2026-05-29,11:12:00,1780033320,457.85,458.05,457.85,457.9,1199234
2026-05-29,11:13:00,1780033380,458,458.05,457.7,457.7,1200254
2026-05-29,11:14:00,1780033440,457.9,458.15,457.9,458.15,1202420
2026-05-29,11:15:00,1780033500,457.95,458,457.9,457.9,1203767
2026-05-29,11:16:00,1780033560,458,458,457.8,457.8,1204621
2026-05-29,11:17:00,1780033620,458.05,458.4,458.05,458.4,1210966
2026-05-29,11:18:00,1780033680,458.45,458.55,458.1,458.3,1213458
2026-05-29,11:19:00,1780033740,458.4,458.4,458.05,458.05,1214697
2026-05-29,11:20:00,1780033800,458.3,458.3,457.9,457.9,1216476
2026-05-29,11:21:00,1780033860,458.15,458.45,458.15,458.25,1217072
2026-05-29,11:22:00,1780033920,458.35,458.75,458.15,458.75,1221644
2026-05-29,11:23:00,1780033980,458.7,458.7,458.05,458.05,1223347
2026-05-29,11:24:00,1780034040,458.15,458.4,458.15,458.15,1224622
2026-05-29,11:25:00,1780034100,458.3,458.35,458.3,458.35,1225050
2026-05-29,11:26:00,1780034160,458.55,458.55,458.1,458.1,1230221
2026-05-29,11:27:00,1780034220,458.35,458.35,458.1,458.1,1230502
2026-05-29,11:28:00,1780034280,458.4,458.55,458.15,458.15,1233315
2026-05-29,11:29:00,1780034340,458.4,458.45,458.1,458.1,1234545
2026-05-29,11:30:00,1780034400,458.15,458.2,458.15,458.2,1234774
2026-05-29,11:31:00,1780034460,458.25,458.25,458.25,458.25,1235029
2026-05-29,11:32:00,1780034520,458.3,458.55,458.25,458.4,1236219
2026-05-29,11:33:00,1780034580,458.3,458.3,458.2,458.2,1236474
2026-05-29,11:34:00,1780034640,458.25,458.75,458.25,458.7,1241261
2026-05-29,11:35:00,1780034700,458.2,458.7,458.2,458.55,1245762
2026-05-29,11:36:00,1780034760,458.4,458.8,458.4,458.5,1246659
2026-05-29,11:37:00,1780034820,458.55,458.55,458.2,458.25,1249189
2026-05-29,11:38:00,1780034880,458.5,458.5,458.25,458.25,1251418
2026-05-29,11:39:00,1780034940,458.25,458.25,458.25,458.25,1251647
2026-05-29,11:40:00,1780035000,458.5,458.5,458.25,458.25,1251949
2026-05-29,11:41:00,1780035060,458.3,458.5,458.25,458.25,1252169
2026-05-29,11:42:00,1780035120,458,458,457.6,457.65,1255821
2026-05-29,11:43:00,1780035180,457.95,458.3,457.95,458.2,1257231
2026-05-29,11:44:00,1780035240,458.5,458.5,458.2,458.2,1260964
2026-05-29,11:45:00,1780035300,458.2,458.2,458.2,458.2,1261193
2026-05-29,11:46:00,1780035360,458.15,458.15,457.7,457.7,1262591
2026-05-29,11:47:00,1780035420,457.8,457.95,457.55,457.55,1263155
2026-05-29,11:48:00,1780035480,457.6,457.6,457.5,457.5,1263444
2026-05-29,11:49:00,1780035540,457.55,458.05,457.55,457.8,1265944
2026-05-29,11:50:00,1780035600,457.9,458.4,457.9,458.4,1267701
2026-05-29,11:51:00,1780035660,458.3,458.5,458.05,458.15,1268655
2026-05-29,11:52:00,1780035720,458.1,458.35,458,458,1268954
2026-05-29,11:53:00,1780035780,458.05,458.05,457.75,457.85,1269545
2026-05-29,11:54:00,1780035840,458.05,458.35,458,458,1273727
2026-05-29,11:55:00,1780035900,458.25,458.25,457.8,457.8,1274363
2026-05-29,11:56:00,1780035960,457.85,457.85,457.8,457.8,1274485
2026-05-29,11:57:00,1780036020,457.7,458,457.6,457.95,1276558
2026-05-29,11:58:00,1780036080,457.8,457.8,457.65,457.65,1277058
2026-05-29,11:59:00,1780036140,457.55,457.95,457.5,457.95,1278724
2026-05-29,12:00:00,1780036200,457.85,457.85,457.6,457.6,1279237
2026-05-29,12:01:00,1780036260,457.5,457.5,457.5,457.5,1279720
2026-05-29,12:02:00,1780036320,457.55,457.75,457.5,457.5,1280196
2026-05-29,12:03:00,1780036380,457.45,457.75,457.4,457.4,1281663
2026-05-29,12:04:00,1780036440,457.3,457.3,457,457,1285738
2026-05-29,12:05:00,1780036500,457.05,457.05,456.95,457,1286034
2026-05-29,12:06:00,1780036560,457.05,457.6,457.05,457.6,1287794
2026-05-29,12:07:00,1780036620,457.5,458.1,457.5,458.1,1289344
2026-05-29,12:08:00,1780036680,458,458.2,458,458.2,1289458
2026-05-29,12:09:00,1780036740,458,458.2,458,458,1289487
2026-05-29,12:10:00,1780036800,457.95,457.95,457.95,457.95,1289567
2026-05-29,12:11:00,1780036860,458,458,457.6,457.6,1290139
2026-05-29,12:12:00,1780036920,457.65,457.85,457.55,457.55,1290471
2026-05-29,12:13:00,1780036980,457.5,457.5,457.2,457.4,1290895
2026-05-29,12:14:00,1780037040,457.45,457.7,457.35,457.55,1294067
2026-05-29,12:15:00,1780037100,457.6,457.65,457.35,457.65,1296454
2026-05-29,12:16:00,1780037160,457.6,457.65,457.1,457.25,1299138
2026-05-29,12:17:00,1780037220,457.35,457.5,457.35,457.5,1299392
2026-05-29,12:18:00,1780037280,457.3,457.65,457.3,457.45,1300354
2026-05-29,12:19:00,1780037340,457.25,457.55,457.25,457.55,1300538
2026-05-29,12:20:00,1780037400,457.35,457.35,457.25,457.3,1300686
2026-05-29,12:21:00,1780037460,457.35,457.35,457.35,457.35,1300691
2026-05-29,12:22:00,1780037520,457.55,457.6,457.3,457.6,1300890
2026-05-29,12:23:00,1780037580,457.3,457.5,457.3,457.5,1300968
2026-05-29,12:24:00,1780037640,457.35,457.35,457.3,457.3,1301349
2026-05-29,12:25:00,1780037700,457.3,457.3,457.3,457.3,1301812
2026-05-29,12:26:00,1780037760,457.45,457.45,457.15,457.15,1302819
2026-05-29,12:27:00,1780037820,457.1,457.1,456.8,457,1304096
2026-05-29,12:28:00,1780037880,457.1,457.4,457.05,457.05,1308328
2026-05-29,12:29:00,1780037940,457.3,457.5,457.3,457.5,1309262
2026-05-29,12:30:00,1780038000,457.4,457.55,457.35,457.35,1309435
2026-05-29,12:31:00,1780038060,457.25,457.25,456.8,456.9,1313406
2026-05-29,12:32:00,1780038120,456.85,457.1,456.75,456.75,1314173
2026-05-29,12:33:00,1780038180,456.8,457,456.75,457,1314962
2026-05-29,12:34:00,1780038240,456.7,456.85,456.5,456.65,1316688
2026-05-29,12:35:00,1780038300,456.55,456.55,456.15,456.15,1318092
2026-05-29,12:36:00,1780038360,456.1,456.5,456.1,456.2,1320019
2026-05-29,12:37:00,1780038420,456.45,456.5,456.15,456.25,1322931
2026-05-29,12:38:00,1780038480,456.2,456.9,456.15,456.65,1326940
2026-05-29,12:39:00,1780038540,456.9,456.95,456.7,456.75,1329783
