Date,Time,Timestamp,Open,High,Low,Close,Volume
2026-05-04,09:15:00,1777866300,8110.5,8130.5,8080,8100,20945
2026-05-04,09:20:00,1777866600,8099,8109.5,8068,8104,36301
2026-05-04,09:25:00,1777866900,8112.5,8185,8095.5,8179,50552
2026-05-04,09:30:00,1777867200,8178.5,8188.5,8166.5,8184.5,58311
2026-05-04,09:35:00,1777867500,8180.5,8189,8169,8169,61637
2026-05-04,09:40:00,1777867800,8161.5,8187,8161,8181,66530
2026-05-04,09:45:00,1777868100,8182,8184,8168.5,8171.5,68604
2026-05-04,09:50:00,1777868400,8163.5,8175,8155,8157.5,71141
2026-05-04,09:55:00,1777868700,8159.5,8206,8159.5,8205,78929
2026-05-04,10:00:00,1777869000,8208,8222,8172,8172,86665
2026-05-04,10:05:00,1777869300,8172.5,8177,8167,8176,88850
2026-05-04,10:10:00,1777869600,8177.5,8187,8173,8175,89829
2026-05-04,10:15:00,1777869900,8177,8177,8167,8175,90915
2026-05-04,10:20:00,1777870200,8174.5,8175,8150.5,8150.5,93262
2026-05-04,10:25:00,1777870500,8153.5,8165.5,8138.5,8164,101236
2026-05-04,10:30:00,1777870800,8161.5,8181,8161.5,8166.5,103724
2026-05-04,10:35:00,1777871100,8163.5,8173,8154,8166.5,105859
2026-05-04,10:40:00,1777871400,8170.5,8170.5,8158.5,8165.5,106835
2026-05-04,10:45:00,1777871700,8166,8166,8148,8150,108760
2026-05-04,10:50:00,1777872000,8151,8159,8142.5,8142.5,110356
2026-05-04,10:55:00,1777872300,8142,8142,8119,8132,113446
2026-05-04,11:00:00,1777872600,8135,8136.5,8122.5,8131.5,117549
2026-05-04,11:05:00,1777872900,8133,8137,8128.5,8135,119133
2026-05-04,11:10:00,1777873200,8133.5,8155,8131,8154,121305
2026-05-04,11:15:00,1777873500,8155.5,8159,8146,8147.5,122516
2026-05-04,11:20:00,1777873800,8150.5,8170,8150.5,8168.5,125133
2026-05-04,11:25:00,1777874100,8170,8197.5,8170,8195.5,129813
2026-05-04,11:30:00,1777874400,8195,8210,8180,8180,135008
2026-05-04,11:35:00,1777874700,8182.5,8222,8180,8210,143685
2026-05-04,11:40:00,1777875000,8213,8224,8207.5,8218,146006
2026-05-04,11:45:00,1777875300,8220,8241.5,8220,8229.5,152335
2026-05-04,11:50:00,1777875600,8224,8233,8221,8228.5,153946
2026-05-04,11:55:00,1777875900,8231,8235,8225,8233.5,155757
2026-05-04,12:00:00,1777876200,8234.5,8236,8225.5,8229.5,157312
2026-05-04,12:05:00,1777876500,8228.5,8229.5,8214,8216,160065
2026-05-04,12:10:00,1777876800,8212,8228.5,8211,8214.5,163090
2026-05-04,12:15:00,1777877100,8213.5,8222.5,8201,8222.5,167517
2026-05-04,12:20:00,1777877400,8225,8234,8219.5,8230,171411
2026-05-04,12:25:00,1777877700,8229,8264,8224,8254.5,179882
2026-05-04,12:30:00,1777878000,8256,8257,8234.5,8234.5,184200
2026-05-04,12:35:00,1777878300,8233.5,8240.5,8229.5,8239,186662
2026-05-04,12:40:00,1777878600,8238.5,8239.5,8225,8238.5,194527
2026-05-04,12:45:00,1777878900,8238,8243,8213,8214,196970
2026-05-04,12:50:00,1777879200,8214.5,8233.5,8211.5,8230,200163
2026-05-04,12:55:00,1777879500,8228,8245,8226.5,8243,203285
2026-05-04,13:00:00,1777879800,8244.5,8250,8237,8247,205980
2026-05-04,13:05:00,1777880100,8246.5,8249,8237,8247.5,208363
2026-05-04,13:10:00,1777880400,8246.5,8262.5,8240,8261,214067
2026-05-04,13:15:00,1777880700,8261.5,8265,8250.5,8252.5,217054
2026-05-04,13:20:00,1777881000,8252,8264,8246.5,8255.5,219836
2026-05-04,13:25:00,1777881300,8255,8267,8240,8243,223342
2026-05-04,13:30:00,1777881600,8241,8241,8222.5,8230.5,226462
2026-05-04,13:35:00,1777881900,8230,8250,8224.5,8248,232117
2026-05-04,13:40:00,1777882200,8250,8280,8250,8280,239947
2026-05-04,13:45:00,1777882500,8278,8285,8268,8284.5,245024
2026-05-04,13:50:00,1777882800,8285,8290.5,8276,8282.5,251265
2026-05-04,13:55:00,1777883100,8283.5,8285,8267.5,8281.5,255193
2026-05-04,14:00:00,1777883400,8283,8295,8271,8290,258453
2026-05-04,14:05:00,1777883700,8293,8310,8293,8307,274333
2026-05-04,14:10:00,1777884000,8308,8340,8306.5,8336,284151
2026-05-04,14:15:00,1777884300,8335,8359.5,8330,8358,295152
2026-05-04,14:20:00,1777884600,8359,8363,8333,8338,302524
2026-05-04,14:25:00,1777884900,8336,8349.5,8336,8340,308349
2026-05-04,14:30:00,1777885200,8329,8332,8307,8330.5,318785
2026-05-04,14:35:00,1777885500,8329.5,8346,8322,8326.5,336412
2026-05-04,14:40:00,1777885800,8329,8329,8314.5,8319.5,348364
2026-05-04,14:45:00,1777886100,8316,8327,8305,8325.5,354688
2026-05-04,14:50:00,1777886400,8324,8332,8318,8329,361870
2026-05-04,14:55:00,1777886700,8330.5,8339.5,8325,8339.5,369633
2026-05-04,15:00:00,1777887000,8344.5,8349.5,8338.5,8345.5,378448
2026-05-04,15:05:00,1777887300,8341,8355,8341,8350,390019
2026-05-04,15:10:00,1777887600,8350.5,8353,8341,8343.5,398382
2026-05-04,15:15:00,1777887900,8341,8343,8331.5,8337,407389
2026-05-04,15:20:00,1777888200,8336,8355,8336,8345,424749
2026-05-04,15:25:00,1777888500,8347,8356.5,8331.5,8347.5,435019
2026-05-05,09:15:00,1777952700,8347.5,8347.5,8162,8196,34244
2026-05-05,09:20:00,1777953000,8196.5,8280,8174.5,8265,55715
2026-05-05,09:25:00,1777953300,8266.5,8280,8233,8269,72386
2026-05-05,09:30:00,1777953600,8269.5,8276,8233,8268.5,81695
2026-05-05,09:35:00,1777953900,8264,8279,8242.5,8246.5,85905
2026-05-05,09:40:00,1777954200,8245,8256,8230.5,8249.5,88797
2026-05-05,09:45:00,1777954500,8247.5,8255.5,8231,8248.5,92512
2026-05-05,09:50:00,1777954800,8248,8274,8235.5,8264,97060
2026-05-05,09:55:00,1777955100,8261,8324.5,8261,8305,107339
2026-05-05,10:00:00,1777955400,8304.5,8310,8263,8268.5,116932
2026-05-05,10:05:00,1777955700,8266,8276,8249,8257.5,120792
2026-05-05,10:10:00,1777956000,8256,8256,8214.5,8219,130128
2026-05-05,10:15:00,1777956300,8215.5,8221.5,8200,8207,134920
2026-05-05,10:20:00,1777956600,8207.5,8215.5,8200,8200,138612
2026-05-05,10:25:00,1777956900,8200.5,8208,8189.5,8195,145665
2026-05-05,10:30:00,1777957200,8189.5,8193.5,8181,8188,150566
2026-05-05,10:35:00,1777957500,8187,8188,8168,8171.5,156013
2026-05-05,10:40:00,1777957800,8172,8185,8171,8178.5,160149
2026-05-05,10:45:00,1777958100,8178,8194.5,8172,8188.5,166830
2026-05-05,10:50:00,1777958400,8189,8190,8179,8190,169184
2026-05-05,10:55:00,1777958700,8193.5,8194,8177.5,8179.5,175400
2026-05-05,11:00:00,1777959000,8180,8186.5,8177.5,8180,177625
2026-05-05,11:05:00,1777959300,8178,8185,8171,8175,181173
2026-05-05,11:10:00,1777959600,8171.5,8195,8171.5,8189.5,183853
2026-05-05,11:15:00,1777959900,8190.5,8205,8187.5,8197.5,188403
2026-05-05,11:20:00,1777960200,8199,8200,8188,8198,190865
2026-05-05,11:25:00,1777960500,8195,8216,8195,8202.5,193375
2026-05-05,11:30:00,1777960800,8202,8202,8189.5,8196,196244
2026-05-05,11:35:00,1777961100,8193.5,8217.5,8193.5,8207.5,198442
2026-05-05,11:40:00,1777961400,8205.5,8208.5,8198.5,8205,200907
2026-05-05,11:45:00,1777961700,8207.5,8220,8201,8205,205666
2026-05-05,11:50:00,1777962000,8204,8209.5,8197,8197.5,208473
2026-05-05,11:55:00,1777962300,8198,8203.5,8191,8191.5,210162
2026-05-05,12:00:00,1777962600,8192,8195,8190,8193,211765
2026-05-05,12:05:00,1777962900,8192,8201,8189,8200.5,213878
2026-05-05,12:10:00,1777963200,8199,8222,8196.5,8222,217412
2026-05-05,12:15:00,1777963500,8222.5,8247,8212.5,8216.5,224566
2026-05-05,12:20:00,1777963800,8210.5,8336,8210.5,8314,251123
2026-05-05,12:25:00,1777964100,8315.5,8327.5,8268.5,8275.5,259577
2026-05-05,12:30:00,1777964400,8278.5,8282,8264,8270,266067
2026-05-05,12:35:00,1777964700,8272.5,8280,8261,8279,270604
2026-05-05,12:40:00,1777965000,8278.5,8288.5,8278.5,8288,273878
2026-05-05,12:45:00,1777965300,8287.5,8295.5,8283.5,8285.5,276227
2026-05-05,12:50:00,1777965600,8284.5,8308,8284.5,8296,279913
2026-05-05,12:55:00,1777965900,8292,8305,8288,8295,283727
2026-05-05,13:00:00,1777966200,8298,8306,8296.5,8305,286799
2026-05-05,13:05:00,1777966500,8307,8320,8303.5,8314,291363
2026-05-05,13:10:00,1777966800,8313.5,8320,8308,8320,295443
2026-05-05,13:15:00,1777967100,8319.5,8323,8296.5,8299,302936
2026-05-05,13:20:00,1777967400,8298.5,8301,8292,8298,307026
2026-05-05,13:25:00,1777967700,8297,8302,8286,8288.5,309769
2026-05-05,13:30:00,1777968000,8287.5,8300,8287.5,8300,333588
2026-05-05,13:35:00,1777968300,8298,8315,8296,8309,336097
