Date,Time,Timestamp,Open,High,Low,Close,Volume
2019-04-16,00:00:00,1555353000.0,633.0,667.8,614.0,639.25,34062237.0
2019-05-02,00:00:00,1556735400.0,638.9,677.7,583.3,610.85,9506289.0
2019-06-03,00:00:00,1559500200.0,614.0,624.9,578.0,622.05,1108100.0
2019-07-01,00:00:00,1561919400.0,626.4,654.8,548.6,560.4,2500237.0
2019-08-01,00:00:00,1564597800.0,563.0,620.0,525.15,614.75,1020283.0
2019-09-03,00:00:00,1567449000.0,610.0,710.95,583.0,685.45,2813461.0
2019-10-01,00:00:00,1569868200.0,684.7,888.8,656.0,855.5,5317322.0
2019-11-01,00:00:00,1572546600.0,857.65,956.0,836.05,924.25,4651368.0
2019-12-02,00:00:00,1575225000.0,924.25,1091.7,918.55,992.25,6998717.0
2020-01-01,00:00:00,1577817000.0,988.15,1147.0,950.0,984.55,8695675.0
2020-02-03,00:00:00,1580668200.0,959.0,1182.0,950.0,1062.7,6563297.0
2020-03-02,00:00:00,1583087400.0,1090.0,1120.0,570.0,742.05,5763845.0
2020-04-01,00:00:00,1585679400.0,745.0,793.0,685.15,723.6,3435657.0
2020-05-04,00:00:00,1588530600.0,705.0,731.0,623.95,679.4,3676342.0
2020-06-01,00:00:00,1590949800.0,694.0,839.85,693.95,789.3,8690611.0
2020-07-01,00:00:00,1593541800.0,790.9,885.0,790.9,820.3,8412399.0
2020-08-03,00:00:00,1596393000.0,820.0,939.0,815.0,892.85,7522663.0
2020-09-01,00:00:00,1598898600.0,892.85,910.0,798.0,819.9,3069563.0
2020-10-01,00:00:00,1601490600.0,828.9,975.75,800.9,920.7,7452701.0
2020-11-02,00:00:00,1604255400.0,920.0,975.6,905.0,958.4,7038491.0
2020-12-01,00:00:00,1606761000.0,963.5,1069.8,853.8,1036.85,14453179.0
2021-01-01,00:00:00,1609439400.0,1038.8,1324.95,1031.0,1222.9,17117433.0
2021-02-01,00:00:00,1612117800.0,1238.35,1387.95,1202.5,1337.1,7694840.0
2021-03-01,00:00:00,1614537000.0,1360.0,1444.4,1126.1,1379.55,5869198.0
2021-04-01,00:00:00,1617215400.0,1394.0,1585.0,1323.2,1467.05,7445211.0
2021-05-03,00:00:00,1619980200.0,1460.0,1700.0,1425.45,1674.25,7678665.0
2021-06-01,00:00:00,1622485800.0,1680.0,2008.3,1671.0,1975.05,6851912.0
2021-07-01,00:00:00,1625077800.0,1980.0,2033.0,1762.0,1850.65,6609790.0
2021-08-02,00:00:00,1627842600.0,1869.95,2124.3,1795.0,2067.5,8058463.0
2021-09-01,00:00:00,1630434600.0,2086.05,2627.0,2030.35,2389.0,17092017.0
2021-10-01,00:00:00,1633026600.0,2387.0,2648.0,2121.1,2261.4,16846631.0
2021-11-01,00:00:00,1635705000.0,2280.0,2543.85,2142.0,2305.95,7387919.0
2021-12-01,00:00:00,1638297000.0,2324.0,2609.25,2207.2,2466.5,7389765.0
2022-01-03,00:00:00,1641148200.0,2470.0,2771.75,2377.3,2523.9,12483198.0
2022-02-01,00:00:00,1643653800.0,2549.9,2584.95,2253.0,2374.85,5746957.0
2022-03-02,00:00:00,1646159400.0,2350.0,2498.0,2162.0,2364.4,5980823.0
2022-04-01,00:00:00,1648751400.0,2355.0,2820.0,2355.0,2486.15,10559184.0
2022-05-02,00:00:00,1651429800.0,2480.0,2629.9,2365.0,2441.8,6559489.0
2022-06-01,00:00:00,1654021800.0,2449.95,2570.7,2043.85,2201.2,7802119.0
2022-07-01,00:00:00,1656613800.0,2202.5,2336.0,2104.0,2317.45,9575763.0
2022-08-01,00:00:00,1659292200.0,2336.0,2502.95,2288.35,2470.15,5855215.0
2022-09-01,00:00:00,1661970600.0,2462.95,2719.75,2441.1,2560.75,6118232.0
2022-10-03,00:00:00,1664735400.0,2550.0,2862.5,2531.0,2777.45,7119352.0
2022-11-01,00:00:00,1667241000.0,2782.3,2846.4,2500.0,2565.0,8225372.0
2022-12-01,00:00:00,1669833000.0,2573.9,3025.0,2500.25,2569.1,12157013.0
2023-01-02,00:00:00,1672597800.0,2570.2,2934.65,2546.05,2921.25,5890976.0
2023-02-01,00:00:00,1675189800.0,2949.0,3143.4,2904.75,3081.35,7324353.0
2023-03-01,00:00:00,1677609000.0,3084.0,3142.0,2753.9,2880.05,5747575.0
2023-04-03,00:00:00,1680460200.0,2903.4,3213.0,2900.0,3205.35,4017914.0
2023-05-02,00:00:00,1682965800.0,3209.0,3516.0,3172.15,3423.5,8858581.0
2023-06-01,00:00:00,1685557800.0,3450.0,3637.95,3379.75,3551.15,7292592.0
2023-07-03,00:00:00,1688322600.0,3579.9,4924.0,3491.0,4816.8,23902028.0
2023-08-01,00:00:00,1690828200.0,4844.95,5166.0,4490.75,5123.05,12743113.0
