Date,Time,Timestamp,Open,High,Low,Close,Volume
2026-05-26,09:15:00,1779767100,400.95,404,399.4,403.8,49929
2026-05-26,09:20:00,1779767400,403.7,403.95,402,402.75,79184
2026-05-26,09:25:00,1779767700,402.45,403.5,402.1,403,100313
2026-05-26,09:30:00,1779768000,402.95,403.5,402.15,402.95,121528
2026-05-26,09:35:00,1779768300,403,403.25,402.5,403.2,134904
2026-05-26,09:40:00,1779768600,403.25,405,403.25,404.5,169689
2026-05-26,09:45:00,1779768900,404.45,404.45,401.35,401.35,202904
2026-05-26,09:50:00,1779769200,401.3,401.55,400.65,401,220525
2026-05-26,09:55:00,1779769500,400.95,400.95,399.4,399.85,257306
2026-05-26,10:00:00,1779769800,400,401.75,399.7,401.75,275443
2026-05-26,10:05:00,1779770100,401.4,402.4,401.1,402,283526
2026-05-26,10:10:00,1779770400,402.4,402.55,401.5,401.65,296981
2026-05-26,10:15:00,1779770700,401.8,402.25,401.65,402,302737
2026-05-26,10:20:00,1779771000,402.15,402.55,401.15,401.7,322558
2026-05-26,10:25:00,1779771300,402,402.45,402,402.15,327425
2026-05-26,10:30:00,1779771600,402.4,402.65,401.4,402.1,363031
2026-05-26,10:35:00,1779771900,402.1,402.4,401.8,402.05,366998
2026-05-26,10:40:00,1779772200,402.1,402.45,401.75,401.9,376416
2026-05-26,10:45:00,1779772500,402.1,402.2,401.5,401.5,382244
2026-05-26,10:50:00,1779772800,401.75,402.15,401.5,402.05,389795
2026-05-26,10:55:00,1779773100,402,402.15,401.55,401.85,393580
2026-05-26,11:00:00,1779773400,402,402.4,401.9,402.4,397180
2026-05-26,11:05:00,1779773700,402.55,402.65,402.25,402.3,402722
2026-05-26,11:10:00,1779774000,402.55,402.9,402.5,402.75,408143
2026-05-26,11:15:00,1779774300,402.8,404.25,402.8,403.75,434759
2026-05-26,11:20:00,1779774600,403.8,404.05,402.8,403.3,441652
2026-05-26,11:25:00,1779774900,403.15,403.2,402.75,403,450276
2026-05-26,11:30:00,1779775200,403.05,403.35,402.8,403.2,456325
2026-05-26,11:35:00,1779775500,403.5,403.7,403.15,403.5,461288
2026-05-26,11:40:00,1779775800,403.9,403.9,403.6,403.75,467042
2026-05-26,11:45:00,1779776100,403.85,404,403.5,403.55,472116
2026-05-26,11:50:00,1779776400,403.5,404,403.5,404,475575
2026-05-26,11:55:00,1779776700,403.7,404,403.2,403.2,480955
2026-05-26,12:00:00,1779777000,403.45,403.45,402.6,403,487901
2026-05-26,12:05:00,1779777300,402.8,403.2,402.8,402.8,497683
2026-05-26,12:10:00,1779777600,402.65,402.8,402.15,402.6,503532
2026-05-26,12:15:00,1779777900,402.35,402.85,402.15,402.45,511362
2026-05-26,12:20:00,1779778200,402.95,403.05,402,402.1,523813
2026-05-26,12:25:00,1779778500,402.05,402.45,401.6,401.65,532997
2026-05-26,12:30:00,1779778800,402,402,401.05,402,546948
2026-05-26,12:35:00,1779779100,401.95,401.95,401,401.2,559229
2026-05-26,12:40:00,1779779400,401.5,402,401.4,401.7,561689
2026-05-26,12:45:00,1779779700,401.95,401.95,400.7,401.1,570815
2026-05-26,12:50:00,1779780000,401.2,401.2,400.5,401.2,575616
2026-05-26,12:55:00,1779780300,401.45,401.6,400.25,400.25,586762
2026-05-26,13:00:00,1779780600,400.3,400.35,399.9,400,600126
2026-05-26,13:05:00,1779780900,400.15,400.5,399.65,400,609466
2026-05-26,13:10:00,1779781200,399.7,400.55,399.7,400.25,614032
2026-05-26,13:15:00,1779781500,400.1,401,400.05,400.9,624346
2026-05-26,13:20:00,1779781800,401,401.3,400.45,400.55,632171
2026-05-26,13:25:00,1779782100,400.75,400.85,400.3,400.5,635245
2026-05-26,13:30:00,1779782400,400.3,400.5,400.15,400.35,637779
2026-05-26,13:35:00,1779782700,400.35,400.65,400.2,400.2,643208
2026-05-26,13:40:00,1779783000,400.45,400.6,400,400.05,646745
2026-05-26,13:45:00,1779783300,400.1,400.25,399.9,400.05,650937
2026-05-26,13:50:00,1779783600,399.9,400,399.75,400,653872
2026-05-26,13:55:00,1779783900,400.15,400.2,399.85,400,657186
2026-05-26,14:00:00,1779784200,399.95,399.95,399.4,399.4,662557
2026-05-26,14:05:00,1779784500,399.65,400,399.4,400,664858
2026-05-26,14:10:00,1779784800,399.85,400,399.4,399.75,676575
2026-05-26,14:15:00,1779785100,400,400.15,399.75,400.1,679074
2026-05-26,14:20:00,1779785400,399.85,400.7,399.85,400.2,682355
2026-05-26,14:25:00,1779785700,400.25,400.6,400,400.2,685335
2026-05-26,14:30:00,1779786000,399.9,400.7,397.4,397.45,719181
2026-05-26,14:35:00,1779786300,397.2,397.85,397.05,397.2,736129
2026-05-26,14:40:00,1779786600,397.25,397.35,394,395.55,972202
2026-05-26,14:45:00,1779786900,395.45,398.15,395.35,397.6,1019563
2026-05-26,14:50:00,1779787200,397.4,397.7,397,397.15,1035303
2026-05-26,14:55:00,1779787500,397.4,397.65,396.5,397.25,1068541
2026-05-26,15:00:00,1779787800,397.3,397.3,396.25,396.5,1090680
2026-05-26,15:05:00,1779788100,396.7,397,396.5,396.85,1112951
2026-05-26,15:10:00,1779788400,396.7,397.25,396.7,397.25,1134044
2026-05-26,15:15:00,1779788700,397.15,397.15,396.25,396.4,1187048
2026-05-26,15:20:00,1779789000,396.45,396.95,395.8,396.35,1215727
2026-05-26,15:25:00,1779789300,396.4,396.8,396.1,396.6,1258570
2026-05-27,09:15:00,1779853500,397.9,400,397,399.05,42393
2026-05-27,09:20:00,1779853800,399.55,400,396.9,397.35,78550
2026-05-27,09:25:00,1779854100,397.3,397.4,395.3,396,109498
2026-05-27,09:30:00,1779854400,396.1,396.1,395.05,395.95,123865
2026-05-27,09:35:00,1779854700,396.05,397.25,395.1,396.8,157077
2026-05-27,09:40:00,1779855000,396.95,397.35,396.25,396.6,175920
2026-05-27,09:45:00,1779855300,396.8,396.95,395.7,396.7,185187
2026-05-27,09:50:00,1779855600,396.9,396.95,395.55,396.1,198588
2026-05-27,09:55:00,1779855900,396.05,396.5,395.6,395.7,210650
2026-05-27,10:00:00,1779856200,395.55,396.05,395.55,395.8,216790
2026-05-27,10:05:00,1779856500,395.9,397.5,395.7,396.6,256447
2026-05-27,10:10:00,1779856800,396.4,396.75,396.15,396.75,263751
2026-05-27,10:15:00,1779857100,397,397.95,396.75,397.7,278134
2026-05-27,10:20:00,1779857400,397.95,398.35,396.9,397.05,294751
2026-05-27,10:25:00,1779857700,396.9,397.2,396.75,396.8,298180
2026-05-27,10:30:00,1779858000,396.95,397.2,396.75,397,303690
2026-05-27,10:35:00,1779858300,396.85,397.15,396,396.2,316623
2026-05-27,10:40:00,1779858600,396,396.35,395.3,395.3,326725
2026-05-27,10:45:00,1779858900,395.45,395.75,395.15,395.55,334382
2026-05-27,10:50:00,1779859200,395.7,395.8,395.35,395.65,338172
2026-05-27,10:55:00,1779859500,396,396.2,395.65,395.8,343379
2026-05-27,11:00:00,1779859800,395.75,395.8,395.55,395.6,349981
2026-05-27,11:05:00,1779860100,395.55,395.9,394.15,395.45,394797
2026-05-27,11:10:00,1779860400,395.3,395.75,395,395.15,399811
2026-05-27,11:15:00,1779860700,395.5,395.6,395,395.35,404473
2026-05-27,11:20:00,1779861000,395.3,395.5,395.3,395.35,409272
2026-05-27,11:25:00,1779861300,395.5,395.5,394.4,394.65,457773
2026-05-27,11:30:00,1779861600,394.75,395.9,394.75,395.2,464766
2026-05-27,11:35:00,1779861900,395.15,395.25,394.75,395,469393
2026-05-27,11:40:00,1779862200,394.9,395.55,394.9,395,472875
2026-05-27,11:45:00,1779862500,394.8,395.4,394.65,394.8,477318
2026-05-27,11:50:00,1779862800,394.75,394.75,394.55,394.55,480954
2026-05-27,11:55:00,1779863100,394.6,394.9,394.1,394.15,489633
2026-05-27,12:00:00,1779863400,394.45,394.45,393.8,393.8,503788
2026-05-27,12:05:00,1779863700,394,394.4,394,394,508534
2026-05-27,12:10:00,1779864000,394.05,394.45,394.05,394.2,512732
2026-05-27,12:15:00,1779864300,394.45,394.85,394.2,394.5,518983
2026-05-27,12:20:00,1779864600,394.55,395,394.3,394.3,526095
2026-05-27,12:25:00,1779864900,394.6,394.95,394.1,394.2,531152
2026-05-27,12:30:00,1779865200,394.3,394.95,394.2,394.35,536648
2026-05-27,12:35:00,1779865500,394.4,395,394.35,394.55,541003
2026-05-27,12:40:00,1779865800,394.75,394.95,394.35,394.6,546871
2026-05-27,12:45:00,1779866100,394.45,394.7,394.3,394.5,550399
2026-05-27,12:50:00,1779866400,394.7,394.7,394.45,394.6,554419
2026-05-27,12:55:00,1779866700,394.5,394.75,394.3,394.3,557864
2026-05-27,13:00:00,1779867000,394.4,394.4,394.3,394.4,560666
2026-05-27,13:05:00,1779867300,394.3,394.7,394.3,394.35,565698
2026-05-27,13:10:00,1779867600,394.3,394.35,394.3,394.3,568705
2026-05-27,13:15:00,1779867900,394.35,394.35,393.75,393.8,584894
2026-05-27,13:20:00,1779868200,394.05,394.2,393.75,393.8,589168
2026-05-27,13:25:00,1779868500,394.1,394.3,393.7,393.85,593148
2026-05-27,13:30:00,1779868800,394,394.35,393.85,394.1,599030
2026-05-27,13:35:00,1779869100,394.35,394.35,393.95,394.25,601881
2026-05-27,13:40:00,1779869400,394.15,394.15,393.7,393.75,607400
2026-05-27,13:45:00,1779869700,393.7,394.3,393.7,394,612154
2026-05-27,13:50:00,1779870000,394.05,394.5,393.9,394.4,615151
2026-05-27,13:55:00,1779870300,394.35,394.35,393.95,394.2,618764
2026-05-27,14:00:00,1779870600,394.3,394.5,394.1,394.5,622743
2026-05-27,14:05:00,1779870900,394.4,394.5,394.15,394.4,628317
2026-05-27,14:10:00,1779871200,394.3,394.3,393.9,393.9,632002
2026-05-27,14:15:00,1779871500,394.15,394.15,393.8,393.8,634483
2026-05-27,14:20:00,1779871800,394,394.35,393.8,394.2,638729
2026-05-27,14:25:00,1779872100,394,394.2,393.75,394,642738
2026-05-27,14:30:00,1779872400,394.05,394.25,393.8,394,647425
2026-05-27,14:35:00,1779872700,393.9,394.25,393.7,394,652234
2026-05-27,14:40:00,1779873000,394.2,394.2,393.8,394,657425
2026-05-27,14:45:00,1779873300,393.8,394.1,393.75,393.8,663431
2026-05-27,14:50:00,1779873600,394,394.95,393.8,394.5,687372
2026-05-27,14:55:00,1779873900,394.7,394.7,394.3,394.45,690677
2026-05-27,15:00:00,1779874200,394.7,395.4,394.7,394.75,705875
2026-05-27,15:05:00,1779874500,394.85,394.9,394.45,394.5,713307
2026-05-27,15:10:00,1779874800,394.65,394.75,394.25,394.25,733940
2026-05-27,15:15:00,1779875100,394.35,394.75,394.05,394.4,752012
2026-05-27,15:20:00,1779875400,394.65,394.8,394.2,394.8,769995
2026-05-27,15:25:00,1779875700,394.9,395,393.75,394.5,801775
2026-05-29,09:15:00,1780026300,396,396.8,395,396.1,24462
2026-05-29,09:20:00,1780026600,395.8,396.25,394.5,395.05,38940
2026-05-29,09:25:00,1780026900,395,395.3,394.1,394.1,49968
2026-05-29,09:30:00,1780027200,393.9,394.25,393.1,393.3,77211
2026-05-29,09:35:00,1780027500,393.1,394.25,393.1,394.1,87816
2026-05-29,09:40:00,1780027800,394.3,394.35,392.7,393.1,106316
2026-05-29,09:45:00,1780028100,392.95,393.85,392.5,393.6,112523
2026-05-29,09:50:00,1780028400,393.5,394.25,393.5,394.1,121114
2026-05-29,09:55:00,1780028700,394,394.05,392.5,392.75,135625
2026-05-29,10:00:00,1780029000,392.85,393.55,392.7,393.55,141546
2026-05-29,10:05:00,1780029300,393.05,393.95,392.95,393,159565
2026-05-29,10:10:00,1780029600,393.25,393.85,392.9,393.8,164573
2026-05-29,10:15:00,1780029900,393.55,393.75,392.75,393.05,168092
2026-05-29,10:20:00,1780030200,393.1,393.65,392.8,393.65,173432
2026-05-29,10:25:00,1780030500,393.35,393.6,393,393,176889
2026-05-29,10:30:00,1780030800,393.05,393.45,392.9,393.4,181854
2026-05-29,10:35:00,1780031100,393.25,393.4,392.9,393.05,186107
2026-05-29,10:40:00,1780031400,393.3,393.3,392.75,392.75,189264
2026-05-29,10:45:00,1780031700,392.9,392.9,392.5,392.5,197411
2026-05-29,10:50:00,1780032000,392.25,392.9,392.25,392.85,205516
