Date,Time,Timestamp,Open,High,Low,Close,Volume
2018-07-02,00:00:00,1530469800.0,62.04,70.28,54.0,69.84,166087211.0
2018-08-01,00:00:00,1533061800.0,70.08,71.04,62.8,67.52,159250026.0
2018-09-03,00:00:00,1535913000.0,67.88,72.56,58.32,60.88,221088010.0
2018-10-01,00:00:00,1538332200.0,61.0,76.92,57.8,76.4,210424885.0
2018-11-01,00:00:00,1541010600.0,76.8,86.84,68.8,69.16,251619158.0
2018-12-03,00:00:00,1543775400.0,68.76,86.4,66.48,85.88,404669321.0
2019-01-01,00:00:00,1546281000.0,85.44,88.24,78.64,82.84,162143658.0
2019-02-01,00:00:00,1548959400.0,82.88,91.0,78.4,89.72,177404800.0
2019-03-01,00:00:00,1551378600.0,90.36,99.44,85.44,98.48,217869693.0
2019-04-01,00:00:00,1554057000.0,98.32,99.2,90.44,92.48,110859565.0
2019-05-02,00:00:00,1556735400.0,92.4,100.24,83.84,99.44,135674673.0
2019-06-03,00:00:00,1559500200.0,99.2,111.0,98.28,107.36,192395456.0
2019-07-01,00:00:00,1561919400.0,107.2,108.2,85.2,87.8,255801362.0
2019-08-01,00:00:00,1564597800.0,87.28,90.0,78.16,83.84,156032581.0
2019-09-03,00:00:00,1567449000.0,83.4,90.48,77.84,79.52,158825776.0
2019-10-01,00:00:00,1569868200.0,79.6,88.2,72.36,87.32,154161069.0
2019-11-01,00:00:00,1572546600.0,87.2,95.92,86.48,91.6,107623921.0
2019-12-02,00:00:00,1575225000.0,91.92,95.04,85.76,94.32,95820100.0
2020-01-01,00:00:00,1577817000.0,94.12,100.4,83.08,93.32,281934297.0
2020-02-01,00:00:00,1580495400.0,93.24,106.72,86.68,87.56,176657482.0
2020-03-02,00:00:00,1583087400.0,88.16,92.4,62.8,73.56,153805342.0
2020-04-01,00:00:00,1585679400.0,73.28,78.24,68.24,76.32,105091017.0
2020-05-04,00:00:00,1588530600.0,74.56,75.08,59.32,60.16,157292201.0
2020-06-01,00:00:00,1590949800.0,60.96,73.56,60.68,67.2,243349018.0
