Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-12-02,00:00:00,1764613800,29.87,30.25,29.52,29.62,1358119
2025-12-03,00:00:00,1764700200,29.7,29.7,28.3,28.46,2964099
2025-12-04,00:00:00,1764786600,28.51,28.84,28.23,28.31,1510127
2025-12-05,00:00:00,1764873000,28.35,28.61,27.92,28.3,1698610
2025-12-08,00:00:00,1765132200,28.4,28.49,27.23,27.36,1701594
2025-12-09,00:00:00,1765218600,27.3,27.99,26.81,27.59,2923073
2025-12-10,00:00:00,1765305000,27.61,27.95,27.3,27.37,1184480
2025-12-11,00:00:00,1765391400,27.47,27.73,27.17,27.63,908194
2025-12-12,00:00:00,1765477800,27.8,27.93,27.5,27.71,1029577
2025-12-15,00:00:00,1765737000,27.71,27.91,27.49,27.77,880625
2025-12-16,00:00:00,1765823400,27.7,27.7,27.05,27.12,1548489
2025-12-17,00:00:00,1765909800,27.18,27.35,26.8,26.88,1074380
2025-12-18,00:00:00,1765996200,26.8,26.97,26.45,26.79,979504
2025-12-19,00:00:00,1766082600,26.88,26.98,26.12,26.25,3209219
2025-12-22,00:00:00,1766341800,26.5,27.07,26.45,26.94,1238317
2025-12-23,00:00:00,1766428200,27.14,27.14,26.73,26.86,1165715
2025-12-24,00:00:00,1766514600,27,27.17,26.74,26.82,1141564
2025-12-26,00:00:00,1766687400,27,27.04,26.63,26.84,744479
2025-12-29,00:00:00,1766946600,26.65,27.05,26.62,26.73,1699333
2025-12-30,00:00:00,1767033000,26.73,27.09,26.45,26.99,1479999
2025-12-31,00:00:00,1767119400,27.25,28.36,27.14,27.69,4208466
2026-01-01,00:00:00,1767205800,27.69,28.19,27.54,27.97,1403119
2026-01-02,00:00:00,1767292200,28.61,29.5,28.56,29.39,9398640
2026-01-05,00:00:00,1767551400,29.5,29.79,28.69,28.85,3303334
2026-01-06,00:00:00,1767637800,28.93,29.24,28.52,28.63,1817432
2026-01-07,00:00:00,1767724200,28.6,28.93,28.37,28.63,1528095
2026-01-08,00:00:00,1767810600,28.5,28.7,27.73,27.82,1909580
2026-01-09,00:00:00,1767897000,27.8,27.85,27.01,27.09,2737777
2026-01-12,00:00:00,1768156200,27,27.35,26.56,27.29,1370124
2026-01-13,00:00:00,1768242600,27.38,27.64,27.15,27.3,835396
2026-01-14,00:00:00,1768329000,27.25,28.99,27.13,28.33,2782356
2026-01-16,00:00:00,1768501800,28.58,29.17,28.4,28.99,2788957
2026-01-19,00:00:00,1768761000,29.5,29.5,28.05,28.23,3880442
2026-01-20,00:00:00,1768847400,28.25,28.31,27.22,27.25,1839633
2026-01-21,00:00:00,1768933800,27.25,27.5,26.7,27.01,1662533
2026-01-22,00:00:00,1769020200,27.31,27.96,27.22,27.82,1856929
2026-01-23,00:00:00,1769106600,27.8,27.8,26.7,26.92,1071704
2026-01-27,00:00:00,1769452200,26.93,27.49,26.45,27.23,1696076
2026-01-28,00:00:00,1769538600,27.37,27.78,27.12,27.65,1206514
2026-01-29,00:00:00,1769625000,27.7,28.05,27.01,27.25,1318972
2026-01-30,00:00:00,1769711400,27.39,28.44,26.9,27.85,1866057
2026-02-01,00:00:00,1769884200,26.32,27.63,26.32,27.12,2607758
2026-02-02,00:00:00,1769970600,27.12,27.31,26.18,26.91,1617224
2026-02-03,00:00:00,1770057000,27.42,27.9,27.01,27.18,1233159
2026-02-04,00:00:00,1770143400,27.2,27.52,27,27.33,1863429
