Date,Time,Timestamp,Open,High,Low,Close,Volume
2024-06-03,00:00:00,1717353000.0,135.0,138.6,104.2,125.1,458261323.0
2024-06-10,00:00:00,1717957800.0,125.85,129.55,125.0,128.94,150897146.0
2024-06-18,00:00:00,1718649000.0,129.0,130.19,125.5,125.8,127800288.0
2024-06-24,00:00:00,1719167400.0,125.7,126.68,117.81,123.26,343840145.0
2024-07-01,00:00:00,1719772200.0,123.15,123.95,119.9,122.8,176500039.0
2024-07-08,00:00:00,1720377000.0,122.65,124.14,117.5,117.74,155376885.0
2024-07-15,00:00:00,1720981800.0,118.1,122.15,116.2,116.51,116051483.0
2024-07-22,00:00:00,1721586600.0,116.4,120.3,112.52,119.95,136615447.0
2024-07-29,00:00:00,1722191400.0,124.86,128.8,119.56,120.26,277834512.0
2024-08-05,00:00:00,1722796200.0,117.97,117.97,113.2,115.27,157512918.0
2024-08-12,00:00:00,1723401000.0,114.95,115.99,111.9,113.04,81249721.0
2024-08-19,00:00:00,1724005800.0,114.34,117.98,113.85,116.27,101182184.0
2024-08-26,00:00:00,1724610600.0,116.32,117.55,114.5,116.57,76759362.0
2024-09-02,00:00:00,1725215400.0,116.94,117.49,109.75,110.0,98686010.0
2024-09-09,00:00:00,1725820200.0,109.4,112.6,106.85,111.11,112093306.0
2024-09-16,00:00:00,1726425000.0,111.3,112.2,105.6,108.41,100533357.0
2024-09-23,00:00:00,1727029800.0,108.59,111.9,103.62,109.22,260613262.0
2024-09-30,00:00:00,1727634600.0,108.89,109.26,103.0,105.85,329971259.0
2024-10-07,00:00:00,1728239400.0,106.16,107.4,100.8,104.91,190344944.0
2024-10-14,00:00:00,1728844200.0,105.0,105.7,102.02,103.27,81689892.0
2024-10-21,00:00:00,1729449000.0,103.28,104.45,92.4,95.72,202121604.0
2024-10-28,00:00:00,1730053800.0,96.25,102.61,95.98,100.98,329864267.0
2024-11-04,00:00:00,1730658600.0,100.79,107.9,99.15,104.79,345623964.0
2024-11-11,00:00:00,1731263400.0,103.61,106.34,99.3,99.49,120646192.0
2024-11-18,00:00:00,1731868200.0,100.7,103.72,94.81,99.82,158046270.0
2024-11-25,00:00:00,1732473000.0,103.1,107.25,102.99,104.9,165281007.0
2024-12-02,00:00:00,1733077800.0,104.74,111.13,104.07,110.1,174370262.0
2024-12-09,00:00:00,1733682600.0,110.1,111.04,104.16,107.73,131688286.0
2024-12-16,00:00:00,1734287400.0,108.0,108.9,99.56,100.77,114296009.0
2024-12-23,00:00:00,1734892200.0,101.49,103.29,100.0,101.44,65336163.0
2024-12-30,00:00:00,1735497000.0,101.64,107.25,100.74,106.4,171440146.0
2025-01-06,00:00:00,1736101800.0,106.37,106.37,98.32,98.64,146231082.0
2025-01-13,00:00:00,1736706600.0,98.0,101.9,94.65,100.13,119570507.0
2025-01-20,00:00:00,1737311400.0,100.8,102.75,96.25,97.62,130462459.0
2025-01-27,00:00:00,1737916200.0,97.0,101.99,94.66,99.35,231060787.0
2025-02-03,00:00:00,1738521000.0,98.15,101.2,97.29,99.27,128320425.0
2025-02-10,00:00:00,1739125800.0,99.25,99.84,91.01,92.25,103357954.0
2025-02-17,00:00:00,1739730600.0,92.23,96.29,90.16,94.25,81761808.0
2025-02-24,00:00:00,1740335400.0,93.5,94.79,87.0,87.39,96793936.0
2025-03-03,00:00:00,1740940200.0,87.8,92.0,85.46,91.17,117297087.0
2025-03-10,00:00:00,1741545000.0,91.0,91.49,85.7,87.2,67384809.0
2025-03-17,00:00:00,1742149800.0,87.4,93.43,86.62,93.14,90174541.0
2025-03-24,00:00:00,1742754600.0,94.2,97.98,91.92,96.13,148879540.0
2025-04-01,00:00:00,1743445800.0,95.0,99.9,94.77,96.61,74296899.0
2025-04-07,00:00:00,1743964200.0,90.98,97.57,90.08,96.08,79767613.0
2025-04-15,00:00:00,1744655400.0,98.4,100.1,96.18,99.5,77454539.0
2025-04-21,00:00:00,1745173800.0,100.1,104.75,98.53,99.29,151460526.0
2025-04-28,00:00:00,1745778600.0,99.29,104.95,99.1,99.72,77577591.0
2025-05-05,00:00:00,1746383400.0,99.4,100.57,89.45,91.97,230186788.0
2025-05-12,00:00:00,1746988200.0,95.5,99.55,94.55,98.91,106081720.0
2025-05-19,00:00:00,1747593000.0,99.05,102.9,99.0,100.38,123003057.0
2025-05-26,00:00:00,1748197800.0,101.0,106.25,100.11,105.82,129083068.0
2025-06-02,00:00:00,1748802600.0,106.5,111.8,106.0,110.18,222550649.0
2025-06-09,00:00:00,1749407400.0,111.21,112.89,105.2,106.61,119025547.0
2025-06-16,00:00:00,1750012200.0,106.5,108.42,100.52,103.04,101120708.0
2025-06-23,00:00:00,1750617000.0,102.09,108.49,102.09,106.34,92065343.0
2025-06-30,00:00:00,1751221800.0,107.07,114.17,106.7,110.85,187932098.0
2025-07-07,00:00:00,1751826600.0,110.85,112.85,108.65,110.21,81453529.0
2025-07-14,00:00:00,1752431400.0,110.42,115.71,110.15,113.35,115324883.0
2025-07-21,00:00:00,1753036200.0,113.5,113.8,108.05,108.41,76426331.0
2025-07-28,00:00:00,1753641000.0,108.36,111.15,103.0,103.18,134717360.0
2025-08-04,00:00:00,1754245800.0,103.12,105.14,102.59,103.95,64481243.0
2025-08-11,00:00:00,1754850600.0,103.99,107.38,103.84,106.28,46178618.0
2025-08-18,00:00:00,1755455400.0,107.0,108.06,105.11,105.29,42214942.0
2025-08-25,00:00:00,1756060200.0,105.59,106.38,100.6,100.88,50312290.0
2025-09-01,00:00:00,1756665000.0,101.0,105.19,100.95,103.75,35885965.0
2025-09-08,00:00:00,1757269800.0,103.8,108.69,103.8,107.31,50008732.0
2025-09-15,00:00:00,1757874600.0,107.31,114.3,107.31,113.3,94417890.0
2025-09-22,00:00:00,1758479400.0,113.29,115.0,107.3,107.79,79282869.0
2025-09-29,00:00:00,1759084200.0,107.9,114.85,107.9,114.37,96779507.0
2025-10-06,00:00:00,1759689000.0,114.8,117.85,112.02,117.24,97956128.0
2025-10-13,00:00:00,1760293800.0,116.87,117.84,112.75,113.7,65223125.0
2025-10-20,00:00:00,1760898600.0,114.3,120.2,114.25,116.94,88333004.0
2025-10-27,00:00:00,1761503400.0,117.45,124.05,116.99,122.89,133801170.0
2025-11-03,00:00:00,1762108200.0,123.1,124.48,118.86,122.38,69520824.0
2025-11-10,00:00:00,1762713000.0,122.5,123.5,120.07,122.21,53124743.0
2025-11-17,00:00:00,1763317800.0,122.7,126.16,121.65,122.37,80328842.0
2025-11-24,00:00:00,1763922600.0,122.9,126.24,121.1,124.5,67606124.0
2025-12-01,00:00:00,1764527400.0,124.99,127.8,118.79,121.71,113134822.0
2025-12-08,00:00:00,1765132200.0,121.65,121.68,115.13,117.81,75679119.0
2025-12-15,00:00:00,1765737000.0,117.3,119.97,116.64,119.82,65067305.0
2025-12-22,00:00:00,1766341800.0,120.45,122.63,119.45,120.37,48660932.0
2025-12-29,00:00:00,1766946600.0,116.6,125.8,116.6,125.35,90175693.0
2026-01-05,00:00:00,1767551400.0,126.0,128.24,122.24,122.9,64592566.0
2026-01-12,00:00:00,1768156200.0,122.9,132.79,121.11,132.36,98648023.0
2026-01-19,00:00:00,1768761000.0,132.3,135.15,119.55,120.15,181652949.0
2026-01-27,00:00:00,1769452200.0,121.27,126.24,119.14,121.59,96476919.0
2026-02-02,00:00:00,1769970600.0,121.0,129.01,118.15,122.85,67566940.0
2026-02-09,00:00:00,1770575400.0,123.99,125.1,118.3,118.76,69323933.0
2026-02-16,00:00:00,1771180200.0,118.0,130.4,117.55,129.59,138206442.0
2026-02-23,00:00:00,1771785000.0,130.4,132.73,128.6,129.44,103482362.0
2026-03-02,00:00:00,1772389800.0,125.05,128.7,118.66,119.31,77265484.0
2026-03-09,00:00:00,1772994600.0,116.25,118.44,111.5,111.7,90894372.0
2026-03-16,00:00:00,1773599400.0,112.0,114.2,108.2,111.53,86782970.0
2026-03-23,00:00:00,1774204200.0,110.6,110.85,104.6,105.13,100028545.0
2026-03-30,00:00:00,1774809000.0,103.32,105.75,99.79,104.48,69049453.0
2026-04-06,00:00:00,1775413800.0,105.0,112.3,102.28,111.8,110314403.0
2026-04-13,00:00:00,1776018600.0,109.0,114.8,107.82,114.48,65309946.0
2026-04-20,00:00:00,1776623400.0,114.9,115.6,111.57,113.09,82596705.0
2026-04-27,00:00:00,1777228200.0,113.5,114.54,108.11,109.36,59528387.0
2026-05-04,00:00:00,1777833000.0,109.5,111.74,105.45,107.24,173243157.0
2026-05-11,00:00:00,1778437800.0,106.2,106.45,101.35,102.05,97836781.0
2026-05-18,00:00:00,1779042600.0,101.0,103.45,98.5,102.66,133674063.0
