Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-12-03,00:00:00,1764700200,358,359.2,349.1,350.3,6490892
2025-12-04,00:00:00,1764786600,350.3,354.6,350.1,352.75,8305258
2025-12-05,00:00:00,1764873000,352.1,354.3,348.2,353.3,6012088
2025-12-08,00:00:00,1765132200,353.3,353.85,340.1,342.6,11238507
2025-12-09,00:00:00,1765218600,341,344.45,336.5,342.85,5469753
2025-12-10,00:00:00,1765305000,342.85,348,341.8,342.6,3749704
2025-12-11,00:00:00,1765391400,343,345.2,340.25,344,4041253
2025-12-12,00:00:00,1765477800,346.8,346.8,341.05,344.4,3316506
2025-12-15,00:00:00,1765737000,341.8,343.3,336.7,342.5,6075999
2025-12-16,00:00:00,1765823400,342.5,343,334.8,335.4,6230737
2025-12-17,00:00:00,1765909800,337.05,337.3,332.5,333.95,4532037
2025-12-18,00:00:00,1765996200,334.9,338,330.95,337,6827303
2025-12-19,00:00:00,1766082600,338,340.5,336.45,339.2,3443420
2025-12-22,00:00:00,1766341800,340.5,345.85,339.6,344.3,3206025
2025-12-23,00:00:00,1766428200,345.8,357.5,343.35,354.2,8591989
2025-12-24,00:00:00,1766514600,355.1,358.2,353.8,354.75,3790465
2025-12-26,00:00:00,1766687400,354.85,360.45,353.55,357.1,5271033
2025-12-29,00:00:00,1766946600,358,359.4,353.15,355.95,5665134
2025-12-30,00:00:00,1767033000,355.9,355.9,350,351.4,4931091
2025-12-31,00:00:00,1767119400,351.6,362,351.55,356.8,5847158
2026-01-01,00:00:00,1767205800,360,368.6,359.35,367.7,13409679
2026-01-02,00:00:00,1767292200,370,384,369.5,380.65,24228761
2026-01-05,00:00:00,1767551400,384.4,386.7,377.55,381,12532845
2026-01-06,00:00:00,1767637800,383,387.8,378.6,382.85,9931356
2026-01-07,00:00:00,1767724200,382.85,387.2,381.55,385.25,9531582
2026-01-08,00:00:00,1767810600,386,387.45,369.25,371.4,10208126
2026-01-09,00:00:00,1767897000,370,373.7,362,363.6,7858619
2026-01-12,00:00:00,1768156200,364,371.45,358.15,370.5,7377850
2026-01-13,00:00:00,1768242600,372.6,373.1,363.6,366.9,5886522
2026-01-14,00:00:00,1768329000,366.75,373,364.3,369.9,4870804
2026-01-16,00:00:00,1768501800,370,377.5,369.8,371,8728064
2026-01-19,00:00:00,1768761000,370.9,374.2,368.5,370.1,8850224
