Date,Time,Timestamp,Open,High,Low,Close,Volume
2026-05-04,09:15:00,1777866300,935.1,939.65,935.1,937.5,719
2026-05-04,09:16:00,1777866360,934.55,935.3,934.3,935.3,2670
2026-05-04,09:17:00,1777866420,937.35,938.85,936.85,938.85,2793
2026-05-04,09:18:00,1777866480,939.2,939.2,937.75,938.85,2871
2026-05-04,09:19:00,1777866540,937.8,937.8,937.8,937.8,3004
2026-05-04,09:20:00,1777866600,937.35,937.4,936.95,937.4,3127
2026-05-04,09:21:00,1777866660,938.45,939.15,938.45,938.45,3175
2026-05-04,09:22:00,1777866720,938.85,939,938.85,939,3250
2026-05-04,09:23:00,1777866780,938.1,939,938.1,939,3391
2026-05-04,09:24:00,1777866840,937.7,937.7,937.7,937.7,3668
2026-05-04,09:25:00,1777866900,938.85,938.85,938.85,938.85,3676
2026-05-04,09:26:00,1777866960,939.25,939.25,939.25,939.25,3678
2026-05-04,09:27:00,1777867020,939.3,940.4,939.25,940.4,3834
2026-05-04,09:28:00,1777867080,940.05,940.05,940,940,4255
2026-05-04,09:29:00,1777867140,940.8,940.8,940.8,940.8,4433
2026-05-04,09:30:00,1777867200,941.9,942.3,941.55,942.3,4606
2026-05-04,09:31:00,1777867260,942.7,942.75,942.7,942.75,4676
2026-05-04,09:32:00,1777867320,941.85,941.85,940.2,941.3,6202
2026-05-04,09:33:00,1777867380,940.65,940.65,940.2,940.2,6432
2026-05-04,09:34:00,1777867440,940.8,941,940.05,940.05,6473
2026-05-04,09:35:00,1777867500,940,940,938.8,939.75,7329
2026-05-04,09:36:00,1777867560,939.85,940.2,939.4,940.2,7361
2026-05-04,09:37:00,1777867620,941.1,941.1,941.1,941.1,7363
2026-05-04,09:38:00,1777867680,940.2,940.2,940.15,940.15,7403
2026-05-04,09:39:00,1777867740,937,937.8,937,937.8,8425
2026-05-04,09:41:00,1777867860,939,939,938.3,938.3,8492
2026-05-04,09:42:00,1777867920,938.4,938.4,938.4,938.4,8493
2026-05-04,09:43:00,1777867980,939,939,939,939,8558
2026-05-04,09:44:00,1777868040,939,939,939,939,8566
2026-05-04,09:45:00,1777868100,939.95,939.95,939.95,939.95,8660
2026-05-04,09:46:00,1777868160,940,940.4,939.45,939.45,8795
2026-05-04,09:48:00,1777868280,938.35,940.5,938.35,940.4,9488
2026-05-04,09:49:00,1777868340,940.2,942.1,939.6,939.6,9878
2026-05-04,09:50:00,1777868400,939.8,939.8,939.8,939.8,9952
2026-05-04,09:51:00,1777868460,939.85,940.85,939.85,940.85,9981
2026-05-04,09:52:00,1777868520,940.9,940.9,940.9,940.9,10006
2026-05-04,09:53:00,1777868580,939.85,939.85,939.85,939.85,10007
2026-05-04,09:54:00,1777868640,939.15,939.35,939.15,939.3,10021
2026-05-04,09:56:00,1777868760,940.4,940.4,940.4,940.4,10024
2026-05-04,09:57:00,1777868820,939.7,939.7,939.55,939.55,10136
2026-05-04,09:58:00,1777868880,938.85,939.15,938.85,939.15,10212
2026-05-04,10:00:00,1777869000,941,942.05,941,942.05,10332
2026-05-04,10:01:00,1777869060,942.25,942.25,942.25,942.25,10365
2026-05-04,10:02:00,1777869120,941,941,940.5,940.5,10426
2026-05-04,10:03:00,1777869180,940.5,940.5,940.5,940.5,10584
2026-05-04,10:04:00,1777869240,940.65,940.65,940.65,940.65,10585
2026-05-04,10:05:00,1777869300,940.45,940.45,940.45,940.45,10707
2026-05-04,10:07:00,1777869420,941.15,941.15,940.35,940.35,10718
2026-05-04,10:08:00,1777869480,941.15,941.15,940.15,940.15,10868
2026-05-04,10:09:00,1777869540,940.1,941.2,940,940,11124
2026-05-04,10:10:00,1777869600,940,940,940,940,11228
2026-05-04,10:11:00,1777869660,940.15,941.2,940.15,941.2,11303
2026-05-04,10:12:00,1777869720,940.65,941.35,940.65,941.35,11336
2026-05-04,10:13:00,1777869780,940.25,940.25,940,940,11437
2026-05-04,10:14:00,1777869840,938.75,940.4,938.15,939.45,13288
2026-05-04,10:15:00,1777869900,939.45,939.45,939.45,939.45,13289
2026-05-04,10:16:00,1777869960,939.05,939.05,939.05,939.05,13324
2026-05-04,10:17:00,1777870020,937,937,937,937,13873
2026-05-04,10:19:00,1777870140,937.85,937.85,937.15,937.15,13889
2026-05-04,10:20:00,1777870200,937.95,938.45,937.95,938.45,13890
2026-05-04,10:21:00,1777870260,939.25,939.25,937.25,938.25,16787
2026-05-04,10:22:00,1777870320,939.2,939.2,939.2,939.2,16887
2026-05-04,10:23:00,1777870380,938.75,939.55,938.4,938.4,16981
2026-05-04,10:25:00,1777870500,938.35,938.35,938.35,938.35,16982
2026-05-04,10:26:00,1777870560,939,939,939,939,16989
2026-05-04,10:27:00,1777870620,939.55,939.55,938.65,938.65,17013
2026-05-04,10:30:00,1777870800,938.85,940.05,938.85,940.05,17044
2026-05-04,10:31:00,1777870860,940.2,941.75,940.2,941.75,17197
2026-05-04,10:35:00,1777871100,939.95,939.95,939.95,939.95,17198
2026-05-04,10:39:00,1777871340,940.85,940.85,940.1,940.3,17212
2026-05-04,10:40:00,1777871400,940.35,940.35,938.65,938.65,17334
2026-05-04,10:41:00,1777871460,938.1,938.8,937.7,938,17475
2026-05-04,10:42:00,1777871520,937.8,939.2,937.8,938.2,17599
2026-05-04,10:43:00,1777871580,938.05,940.1,938,940.1,17691
2026-05-04,10:44:00,1777871640,940.05,942.15,940.05,941.15,17868
2026-05-04,10:45:00,1777871700,941.05,941.05,938.75,938.8,19727
2026-05-04,10:46:00,1777871760,940,940.8,939.95,939.95,19846
2026-05-04,10:47:00,1777871820,939.6,940.5,939.05,939.05,19878
