Date,Time,Timestamp,Open,High,Low,Close,Volume
2020-03-16,00:00:00,1584297000.0,661.0,769.0,575.05,618.65,123287048.0
2020-04-01,00:00:00,1585679400.0,624.0,624.0,501.0,599.15,103622601.0
2020-05-04,00:00:00,1588530600.0,566.2,586.0,495.0,538.85,45310590.0
2020-06-01,00:00:00,1590949800.0,544.0,695.5,544.0,630.25,60135981.0
2020-07-01,00:00:00,1593541800.0,634.65,798.45,626.35,726.85,65144967.0
2020-08-03,00:00:00,1596393000.0,726.85,848.7,720.9,807.8,43879900.0
2020-09-01,00:00:00,1598898600.0,804.1,868.0,774.05,847.6,33892974.0
2020-10-01,00:00:00,1601490600.0,858.0,918.75,766.1,799.75,42011723.0
2020-11-02,00:00:00,1604255400.0,799.0,863.95,770.15,799.3,30594712.0
2020-12-01,00:00:00,1606761000.0,800.05,864.0,795.0,851.05,27820252.0
2021-01-01,00:00:00,1609439400.0,851.2,1040.0,843.0,986.05,45068847.0
2021-02-01,00:00:00,1612117800.0,986.05,1137.45,974.65,1068.6,25281934.0
2021-03-01,00:00:00,1614537000.0,1078.25,1139.0,906.35,928.25,58444250.0
2021-04-01,00:00:00,1617215400.0,935.0,1016.0,883.0,984.2,45396799.0
2021-05-03,00:00:00,1619980200.0,972.0,1103.3,946.0,1045.0,57114806.0
2021-06-01,00:00:00,1622485800.0,1048.0,1139.5,931.0,970.4,102514466.0
2021-07-01,00:00:00,1625077800.0,972.1,1040.0,923.9,1036.75,44923720.0
2021-08-02,00:00:00,1627842600.0,1038.0,1160.95,995.0,1140.55,25775163.0
2021-09-01,00:00:00,1630434600.0,1149.0,1165.0,1007.35,1029.6,78651857.0
2021-10-01,00:00:00,1633026600.0,1025.5,1160.1,1023.75,1055.1,33990745.0
2021-11-01,00:00:00,1635705000.0,1069.9,1130.9,918.7,950.5,28311828.0
2021-12-01,00:00:00,1638297000.0,965.0,1020.0,860.2,928.15,56161849.0
2022-01-03,00:00:00,1641148200.0,925.0,941.8,781.2,879.5,25053228.0
2022-02-01,00:00:00,1643653800.0,885.0,899.0,750.0,785.55,23406382.0
2022-03-02,00:00:00,1646159400.0,785.0,882.9,712.25,851.7,27129364.0
2022-04-01,00:00:00,1648751400.0,855.0,889.7,783.0,830.85,83583372.0
2022-05-02,00:00:00,1651429800.0,830.85,834.9,710.8,780.0,35428045.0
2022-06-01,00:00:00,1654021800.0,781.95,797.0,655.7,768.25,30286050.0
2022-07-01,00:00:00,1656613800.0,767.8,968.75,763.75,939.25,35927428.0
2022-08-01,00:00:00,1659292200.0,946.0,1028.65,880.25,922.2,37319189.0
2022-09-01,00:00:00,1661970600.0,918.9,982.5,868.3,913.5,26173795.0
2022-10-03,00:00:00,1664735400.0,907.5,918.2,799.9,826.65,27380873.0
2022-11-01,00:00:00,1667241000.0,830.0,840.55,781.25,824.25,28770774.0
2022-12-01,00:00:00,1669833000.0,827.0,842.0,765.25,795.5,23284776.0
2023-01-02,00:00:00,1672597800.0,795.0,801.2,695.55,722.85,28488157.0
2023-02-01,00:00:00,1675189800.0,729.0,765.45,724.45,750.45,16015251.0
2023-03-01,00:00:00,1677609000.0,742.85,771.65,708.0,740.2,16413716.0
2023-04-03,00:00:00,1680460200.0,748.4,789.9,733.55,772.25,15407496.0
2023-05-02,00:00:00,1682965800.0,768.0,928.85,752.3,916.95,33795150.0
2023-06-01,00:00:00,1685557800.0,915.9,933.0,834.4,847.2,21096113.0
2023-07-03,00:00:00,1688322600.0,850.0,883.9,822.0,855.35,26856811.0
2023-08-01,00:00:00,1690828200.0,856.9,892.85,814.5,816.55,24679725.0
2023-09-01,00:00:00,1693506600.0,819.8,857.8,780.0,791.1,26752231.0
2023-10-03,00:00:00,1696271400.0,796.6,811.85,731.25,746.15,27201571.0
2023-11-01,00:00:00,1698777000.0,753.9,775.75,720.8,739.15,38599619.0
2023-12-01,00:00:00,1701369000.0,743.0,788.8,739.0,759.65,40954096.0
2024-01-01,00:00:00,1704047400.0,764.0,780.95,705.6,715.35,45787811.0
2024-02-01,00:00:00,1706725800.0,718.9,751.6,699.0,719.65,33155893.0
