Date,Time,Timestamp,Open,High,Low,Close,Volume
2026-05-04,09:15:00,1777866300,42.15,42.25,41.52,41.68,2444989
2026-05-04,10:15:00,1777869900,41.65,41.7,41.48,41.6,3163470
2026-05-04,11:15:00,1777873500,41.58,41.69,41.52,41.52,4120120
2026-05-04,12:15:00,1777877100,41.55,41.63,41.52,41.58,4514929
2026-05-04,13:15:00,1777880700,41.56,41.62,41.42,41.57,5214332
2026-05-04,14:15:00,1777884300,41.58,41.67,41.46,41.61,6316070
2026-05-04,15:15:00,1777887900,41.59,41.66,41.54,41.65,7057206
2026-05-05,09:15:00,1777952700,41.5,42.14,41.4,41.87,2419368
2026-05-05,10:15:00,1777956300,41.86,41.87,41.29,41.36,3768707
2026-05-05,11:15:00,1777959900,41.34,41.4,41.22,41.29,4675161
2026-05-05,12:15:00,1777963500,41.26,41.32,41.23,41.32,5624858
2026-05-05,13:15:00,1777967100,41.3,41.33,41.24,41.25,6720420
2026-05-05,14:15:00,1777970700,41.25,41.4,41.21,41.39,8605803
2026-05-05,15:15:00,1777974300,41.37,41.6,41.37,41.57,9830254
2026-05-06,09:15:00,1778039100,41.89,41.97,41.41,41.52,1848463
2026-05-06,10:15:00,1778042700,41.54,41.7,41.5,41.53,2823629
2026-05-06,11:15:00,1778046300,41.5,41.8,41.43,41.61,4122345
2026-05-06,12:15:00,1778049900,41.59,41.64,41.41,41.5,4616553
2026-05-06,13:15:00,1778053500,41.47,41.68,41.47,41.52,5787755
2026-05-06,14:15:00,1778057100,41.5,41.95,41.5,41.86,8703014
2026-05-06,15:15:00,1778060700,41.85,42.05,41.76,42,10381064
2026-05-07,09:15:00,1778125500,42.07,43.64,42.07,42.45,12579602
2026-05-07,10:15:00,1778129100,42.44,43.03,42.44,42.73,15748754
2026-05-07,11:15:00,1778132700,42.72,42.98,42.67,42.73,17364831
2026-05-07,12:15:00,1778136300,42.72,42.78,42.58,42.74,18564947
2026-05-07,13:15:00,1778139900,42.75,42.77,42.51,42.55,20118405
2026-05-07,14:15:00,1778143500,42.57,43.13,42.53,43.02,26523326
2026-05-07,15:15:00,1778147100,43.05,43.09,42.91,43.03,28970499
2026-05-08,09:15:00,1778211900,42.81,43.99,42.7,43.81,8897697
2026-05-08,10:15:00,1778215500,43.85,45.1,43.73,44.52,22516720
2026-05-08,11:15:00,1778219100,44.54,44.55,44.02,44.08,26789070
2026-05-08,12:15:00,1778222700,44.06,44.52,43.88,44.43,32063404
2026-05-08,13:15:00,1778226300,44.4,44.5,44.06,44.12,34852176
2026-05-08,14:15:00,1778229900,44.14,44.39,44,44.13,38398714
2026-05-08,15:15:00,1778233500,44.1,44.49,44.07,44.4,41807713
2026-05-11,09:15:00,1778471100,44.39,44.39,43.22,43.94,8362718
2026-05-11,10:15:00,1778474700,43.95,44.45,43.73,44.4,11932677
2026-05-11,11:15:00,1778478300,44.39,45.39,44.39,45.3,20092142
2026-05-11,12:15:00,1778481900,45.27,45.3,44.79,45.3,24021310
2026-05-11,13:15:00,1778485500,45.29,45.3,44.71,45.15,27811615
2026-05-11,14:15:00,1778489100,45.18,45.18,44.9,44.92,33190956
2026-05-11,15:15:00,1778492700,44.94,45.13,44.91,45.09,36337555
2026-05-12,09:15:00,1778557500,44.96,45.18,43.68,44.68,7347770
2026-05-12,10:15:00,1778561100,44.65,44.68,43.92,43.94,9519669
2026-05-12,11:15:00,1778564700,43.97,44.18,43.91,43.97,10923551
2026-05-12,12:15:00,1778568300,43.98,44.12,43.51,43.77,13187447
2026-05-12,13:15:00,1778571900,43.79,43.87,42.82,43.55,18366724
2026-05-12,14:15:00,1778575500,43.54,43.58,42.85,42.93,22831693
2026-05-12,15:15:00,1778579100,42.94,43.38,42.91,43.32,24679971
2026-05-13,09:15:00,1778643900,43.7,44.08,42.01,43.9,20598274
2026-05-13,10:15:00,1778647500,43.92,44.3,43.37,43.55,26297598
2026-05-13,11:15:00,1778651100,43.56,43.69,43.41,43.45,28478440
2026-05-13,12:15:00,1778654700,43.46,43.47,42.78,43,31840819
2026-05-13,13:15:00,1778658300,42.99,43.2,42.89,43.07,36490278
