Date,Time,Timestamp,Open,High,Low,Close,Volume
2026-05-04,09:15:00,1777866300,4192.2,4246.4,4155.4,4166.4,29312
2026-05-04,10:15:00,1777869900,4164.1,4166.6,4130,4148.8,44305
2026-05-04,11:15:00,1777873500,4146.9,4150.8,4108.1,4110.8,57853
2026-05-04,12:15:00,1777877100,4110.2,4144.9,4101.6,4140,90435
2026-05-04,13:15:00,1777880700,4142.5,4149,4078.7,4139.1,116497
2026-05-04,14:15:00,1777884300,4139.9,4199,4137.5,4182.3,171023
2026-05-04,15:15:00,1777887900,4182,4182,4154.5,4154.5,180200
2026-05-05,09:15:00,1777952700,4142.6,4176.5,4104.1,4108.9,21777
2026-05-05,10:15:00,1777956300,4106.1,4139.2,4100,4133,29544
2026-05-05,11:15:00,1777959900,4130.7,4154.6,4125,4146.5,40335
2026-05-05,12:15:00,1777963500,4148.3,4153.9,4136.9,4138.6,47255
2026-05-05,13:15:00,1777967100,4139.4,4165.5,4131,4165.4,83103
2026-05-05,14:15:00,1777970700,4165.2,4170,4139,4143.8,94785
2026-05-05,15:15:00,1777974300,4143.3,4148.9,4135,4147.9,102995
2026-05-06,09:15:00,1778039100,4159,4182.6,4150,4159.1,9873
2026-05-06,10:15:00,1778042700,4159.2,4173,4136,4151.7,22721
2026-05-06,11:15:00,1778046300,4151.6,4159,4141.3,4146,32200
2026-05-06,12:15:00,1778049900,4146,4149.9,4117.3,4126.8,43759
2026-05-06,13:15:00,1778053500,4125.6,4160,4123.6,4131.3,59354
2026-05-06,14:15:00,1778057100,4135.4,4205,4130,4204.9,92829
2026-05-06,15:15:00,1778060700,4205,4205,4187.9,4199,97755
2026-05-07,09:15:00,1778125500,4202.7,4290,4199.9,4252.3,25332
2026-05-07,10:15:00,1778129100,4253.8,4262.4,4231.6,4242,36129
2026-05-07,11:15:00,1778132700,4240.5,4266.2,4203.2,4263.4,52860
2026-05-07,12:15:00,1778136300,4263.9,4293.1,4246.1,4255,70606
2026-05-07,13:15:00,1778139900,4256,4260,4241.2,4246.1,85255
2026-05-07,14:15:00,1778143500,4247.8,4247.8,4226.8,4230.7,102609
2026-05-07,15:15:00,1778147100,4228.5,4292.9,4220,4235,121545
2026-05-08,09:15:00,1778211900,4240.1,4247.2,4180.7,4223.4,8713
2026-05-08,10:15:00,1778215500,4222.2,4230.2,4210.1,4221.6,14317
2026-05-08,11:15:00,1778219100,4220.9,4224.2,4203.2,4210.1,17609
2026-05-08,12:15:00,1778222700,4210,4215.9,4196.1,4209.9,21542
2026-05-08,13:15:00,1778226300,4207.3,4217.2,4188.6,4211.9,29707
2026-05-08,14:15:00,1778229900,4212.7,4258.9,4196.4,4235,66916
2026-05-08,15:15:00,1778233500,4234.9,4257.9,4223.1,4226.2,73541
