Date,Time,Timestamp,Open,High,Low,Close,Volume
2018-07-02,00:00:00,1530469800.0,1115.8,1125.0,1025.66,1052.13,91225.0
2018-08-01,00:00:00,1533061800.0,1059.99,1111.0,1040.74,1089.48,126488.0
2018-09-03,00:00:00,1535913000.0,1114.0,1150.0,1035.0,1075.18,146149.0
2018-10-01,00:00:00,1538332200.0,1060.25,1079.6,921.11,1005.95,173627.0
2018-11-01,00:00:00,1541010600.0,1019.98,1140.0,1004.2,1055.74,163196.0
2018-12-03,00:00:00,1543775400.0,1050.0,1144.0,1050.0,1139.55,134779.0
2019-01-01,00:00:00,1546281000.0,1137.61,1159.6,1026.0,1053.43,94866.0
2019-02-01,00:00:00,1548959400.0,1050.28,1140.0,1030.52,1079.9,105149.0
2019-03-01,00:00:00,1551378600.0,1089.6,1145.0,1060.29,1100.77,127309.0
2019-04-01,00:00:00,1554057000.0,1100.6,1120.0,1066.26,1078.36,23361.0
2019-05-02,00:00:00,1556735400.0,1090.0,1090.0,936.41,1029.89,95700.0
2019-06-03,00:00:00,1559500200.0,1030.01,1048.0,947.2,977.63,68912.0
2019-07-01,00:00:00,1561919400.0,974.41,980.0,767.1,836.03,283599.0
2019-08-01,00:00:00,1564597800.0,811.01,885.38,788.0,812.55,161725.0
2019-09-03,00:00:00,1567449000.0,824.0,878.99,789.0,874.77,246588.0
2019-10-01,00:00:00,1569868200.0,879.99,880.0,791.6,859.73,260954.0
2019-11-01,00:00:00,1572546600.0,863.0,915.51,823.18,869.58,177607.0
2019-12-02,00:00:00,1575225000.0,867.24,952.43,840.0,940.35,136487.0
2020-01-01,00:00:00,1577817000.0,927.61,955.8,890.81,914.85,156486.0
2020-02-03,00:00:00,1580668200.0,920.0,991.97,854.0,873.15,142699.0
2020-03-02,00:00:00,1583087400.0,870.2,899.9,662.3,743.33,152229.0
2020-04-01,00:00:00,1585679400.0,755.0,755.0,656.05,688.86,184921.0
2020-05-04,00:00:00,1588530600.0,689.0,689.2,605.05,639.39,253930.0
2020-06-01,00:00:00,1590949800.0,642.59,760.0,636.33,713.44,171231.0
2020-07-01,00:00:00,1593541800.0,716.8,756.54,685.1,721.48,213644.0
2020-08-03,00:00:00,1596393000.0,721.4,832.0,692.81,793.32,276466.0
2020-09-01,00:00:00,1598898600.0,796.0,847.8,702.8,708.26,459897.0
2020-10-01,00:00:00,1601490600.0,727.99,820.0,688.66,752.94,213841.0
2020-11-02,00:00:00,1604255400.0,746.0,808.0,722.31,796.83,294925.0
2020-12-01,00:00:00,1606761000.0,799.98,950.0,774.0,907.25,395862.0
2021-01-01,00:00:00,1609439400.0,917.6,940.0,851.59,859.74,344591.0
2021-02-01,00:00:00,1612117800.0,862.14,1054.58,851.79,1038.61,692277.0
2021-03-01,00:00:00,1614537000.0,1040.0,1097.53,1012.4,1088.41,358978.0
2021-04-01,00:00:00,1617215400.0,1086.0,1110.01,979.55,1046.68,302281.0
2021-05-03,00:00:00,1619980200.0,1038.0,1063.75,965.2,1057.65,273023.0
2021-06-01,00:00:00,1622485800.0,1057.42,1149.59,1028.81,1126.88,276305.0
2021-07-01,00:00:00,1625077800.0,1129.8,1433.2,1063.06,1372.66,977436.0
2021-08-02,00:00:00,1627842600.0,1396.0,1479.23,1285.21,1450.12,280090.0
2021-09-01,00:00:00,1630434600.0,1452.0,1530.0,1426.88,1511.71,237325.0
2021-10-01,00:00:00,1633026600.0,1548.0,1654.81,1415.0,1480.35,597285.0
