Date,Time,Timestamp,Open,High,Low,Close,Volume
2026-05-04,09:15:00,1777866300,942,956.7,942,956.45,249290
2026-05-04,09:20:00,1777866600,956.75,958.9,955,956.95,401042
2026-05-04,09:25:00,1777866900,958.1,962.9,958,961.1,555917
2026-05-04,09:30:00,1777867200,961.4,963.35,960,961,647941
2026-05-04,09:35:00,1777867500,961.45,965.6,961.25,965,765979
2026-05-04,09:40:00,1777867800,964.85,968.95,964.45,967.95,913699
2026-05-04,09:45:00,1777868100,967.55,968.8,965.5,966.9,1016367
2026-05-04,09:50:00,1777868400,967,967.25,962.9,963.7,1087880
2026-05-04,09:55:00,1777868700,964,964.45,962.55,962.95,1124737
2026-05-04,10:00:00,1777869000,963.25,963.9,960.6,961.4,1164845
2026-05-04,10:05:00,1777869300,961.25,962.5,960.35,960.85,1196528
2026-05-04,10:10:00,1777869600,960.6,962,960.55,961,1222590
2026-05-04,10:15:00,1777869900,960.8,961.95,959.3,961.5,1272590
2026-05-04,10:20:00,1777870200,962.3,963.3,960,960,1358691
2026-05-04,10:25:00,1777870500,959.95,962.6,959.4,962.6,1387757
2026-05-04,10:30:00,1777870800,962.25,964.8,962.25,963.45,1420835
2026-05-04,10:35:00,1777871100,963.15,964.8,962.75,963.5,1457780
2026-05-04,10:40:00,1777871400,963.3,963.5,961.05,961.8,1486919
2026-05-04,10:45:00,1777871700,961.55,964,961.55,963.2,1511118
2026-05-04,10:50:00,1777872000,963.6,964.6,963.2,964.35,1532756
2026-05-04,10:55:00,1777872300,964.4,964.9,962.8,963.15,1562061
2026-05-04,11:00:00,1777872600,963.25,963.8,962.85,963.75,1582255
2026-05-04,11:05:00,1777872900,963.6,964,963,963.2,1599215
2026-05-04,11:10:00,1777873200,963,963.4,961.8,963.25,1634689
2026-05-04,11:15:00,1777873500,963.5,964.85,963.1,963.95,1666274
2026-05-04,11:20:00,1777873800,963.75,964.15,961.8,962.85,1686748
2026-05-04,11:25:00,1777874100,962.6,963.9,962.1,963.8,1725575
2026-05-04,11:30:00,1777874400,963.45,965.95,963.3,964.85,1762347
2026-05-04,11:35:00,1777874700,964.5,965.9,963.8,964.95,1793819
2026-05-04,11:40:00,1777875000,965.3,965.3,962.2,963.45,1816245
2026-05-04,11:45:00,1777875300,963.55,964,963.1,963.55,1834555
2026-05-04,11:50:00,1777875600,963.6,964,963.05,963.9,1849516
2026-05-04,11:55:00,1777875900,964,964.3,962.2,963.35,1865494
2026-05-04,12:00:00,1777876200,963.3,964,962.75,963.7,1884590
2026-05-04,12:05:00,1777876500,963.65,964.25,962.65,963.15,1912656
2026-05-04,12:10:00,1777876800,963.05,963.15,956.8,956.8,2137375
2026-05-04,12:15:00,1777877100,956.65,960.9,956,960.9,2208652
