Date,Time,Timestamp,Open,High,Low,Close,Volume
2026-05-26,09:15:00,1779767100,962.05,969.4,962.05,969.35,32749
2026-05-26,09:20:00,1779767400,968.9,969.85,963.7,965.05,56440
2026-05-26,09:25:00,1779767700,964.75,965.05,957,957,116407
2026-05-26,09:30:00,1779768000,957.75,964.6,957.7,963,177902
2026-05-26,09:35:00,1779768300,963.7,968.5,962.65,968.15,206535
2026-05-26,09:40:00,1779768600,968.05,968.9,964.45,964.45,228845
2026-05-26,09:45:00,1779768900,965,966.8,965,965.8,230685
2026-05-26,09:50:00,1779769200,965.25,966,963.95,964.15,246718
2026-05-26,09:55:00,1779769500,963.9,966.8,963.8,965.8,263309
2026-05-26,10:00:00,1779769800,966.75,966.75,965.15,965.7,265322
2026-05-26,10:05:00,1779770100,965.7,969.1,965.7,968.25,274938
2026-05-26,10:10:00,1779770400,968.7,976.95,968.7,975.9,324425
2026-05-26,10:15:00,1779770700,976.3,978,975.7,976.1,333935
2026-05-26,10:20:00,1779771000,976.75,981.3,976.05,980.8,356480
2026-05-26,10:25:00,1779771300,980.95,981.9,980,981.85,382933
2026-05-26,10:30:00,1779771600,981.6,981.6,978.55,980.2,458505
2026-05-26,10:35:00,1779771900,980.5,982.55,980,980.25,476406
2026-05-26,10:40:00,1779772200,980.2,980.4,979.3,979.3,491097
2026-05-26,10:45:00,1779772500,979.35,980.7,979.3,980.15,498906
2026-05-26,10:50:00,1779772800,980.6,980.6,980.05,980.05,501014
2026-05-26,10:55:00,1779773100,980.1,980.6,980.05,980.05,502244
2026-05-26,11:00:00,1779773400,980.05,980.45,980,980.05,505727
2026-05-26,11:05:00,1779773700,980.45,980.8,977,978.05,532396
2026-05-26,11:10:00,1779774000,978.05,978.4,977.05,977.05,544421
2026-05-26,11:15:00,1779774300,977.05,982,977.05,980.2,567138
2026-05-26,11:20:00,1779774600,979.25,979.65,979.05,979.05,568123
2026-05-26,11:25:00,1779774900,979.35,980,979.05,980,569311
2026-05-26,11:30:00,1779775200,979.95,979.95,979.1,979.7,569738
2026-05-26,11:35:00,1779775500,979.15,980.5,978.1,980.5,582721
2026-05-26,11:40:00,1779775800,980.05,980.45,980.05,980.45,584605
2026-05-26,11:45:00,1779776100,980.05,980.05,980.05,980.05,584978
2026-05-26,11:50:00,1779776400,980.05,980.45,980.05,980.05,585582
2026-05-26,11:55:00,1779776700,980.05,981,979.05,981,851832
2026-05-26,12:00:00,1779777000,981.8,981.8,980.05,980.5,858917
2026-05-26,12:05:00,1779777300,980.05,980.45,980.05,980.05,860856
2026-05-26,12:10:00,1779777600,980.05,980.45,980.05,980.45,861072
2026-05-26,12:15:00,1779777900,980.25,980.6,980.05,980.1,861995
2026-05-26,12:20:00,1779778200,980.05,980.5,980.05,980.05,863185
2026-05-26,12:25:00,1779778500,980.5,980.5,980.05,980.4,864149
2026-05-26,12:30:00,1779778800,980.05,980.4,980,980.05,886934
