Date,Time,Timestamp,Open,High,Low,Close,Volume
2026-05-04,09:15:00,1777866300,,186.84,185.67,186.65,303374
2026-05-04,09:16:00,1777866360,186.52,187.17,186.36,187.13,459101
2026-05-04,09:17:00,1777866420,187.16,187.16,186.51,186.7,600552
2026-05-04,09:18:00,1777866480,186.76,186.83,185.72,186.12,853787
2026-05-04,09:19:00,1777866540,186.09,186.31,185.76,186.22,944280
2026-05-04,09:20:00,1777866600,186.26,186.68,186.26,186.46,1011671
2026-05-04,09:21:00,1777866660,186.31,186.39,185.88,186.01,1071340
2026-05-04,09:22:00,1777866720,186.07,186.21,185.84,185.93,1131886
2026-05-04,09:23:00,1777866780,185.88,185.88,185.35,185.35,1245916
2026-05-04,09:24:00,1777866840,185.44,185.68,185.32,185.61,1314491
2026-05-04,09:25:00,1777866900,185.55,185.59,185.1,185.1,1402630
2026-05-04,09:26:00,1777866960,184.74,184.9,184.52,184.86,1531595
2026-05-04,09:27:00,1777867020,184.85,184.85,184.4,184.6,1629253
2026-05-04,09:28:00,1777867080,184.58,184.75,184.47,184.49,1731733
2026-05-04,09:29:00,1777867140,184.4,184.63,184.33,184.46,1838139
2026-05-04,09:30:00,1777867200,184.52,185.89,184.52,185.85,2317122
2026-05-04,09:31:00,1777867260,185.9,186.14,185.84,186.1,2505162
2026-05-04,09:32:00,1777867320,186.04,186.23,185.97,185.97,2559845
2026-05-04,09:33:00,1777867380,185.88,185.97,185.75,185.82,2586871
2026-05-04,09:34:00,1777867440,185.85,186,185.77,185.77,2684565
2026-05-04,09:35:00,1777867500,185.87,186,185.77,185.98,2729148
2026-05-04,09:36:00,1777867560,186.04,186.2,186.04,186.2,2768498
2026-05-04,09:37:00,1777867620,186.12,186.2,185.9,185.9,2798617
2026-05-04,09:38:00,1777867680,185.85,186.11,185.83,186.1,2824061
2026-05-04,09:39:00,1777867740,186.07,186.15,185.97,186.14,2843980
2026-05-04,09:40:00,1777867800,185.98,186.17,185.97,185.97,2970036
2026-05-04,09:41:00,1777867860,185.77,185.97,185.65,185.84,3031223
2026-05-04,09:42:00,1777867920,185.85,185.99,185.85,185.9,3054263
2026-05-04,09:43:00,1777867980,185.69,186.13,185.66,186.1,3273471
2026-05-04,09:44:00,1777868040,186.14,186.14,186.02,186.09,3301320
2026-05-04,09:45:00,1777868100,186,186.1,186,186.1,3379330
2026-05-04,09:46:00,1777868160,186.12,186.14,186.04,186.04,3411847
2026-05-04,09:47:00,1777868220,186.03,186.14,186.01,186.09,3453569
2026-05-04,09:48:00,1777868280,186.14,186.19,186.04,186.19,3523357
2026-05-04,09:49:00,1777868340,186.25,186.35,186.25,186.27,3576219
