Date,Time,Timestamp,Open,High,Low,Close,Volume
2024-06-03,00:00:00,1717353000.0,168.0,168.0,124.8,152.75,307112880.0
2024-06-10,00:00:00,1717957800.0,152.6,153.9,147.76,153.63,110508405.0
2024-06-18,00:00:00,1718649000.0,154.39,159.3,149.5,155.44,135522689.0
2024-06-24,00:00:00,1719167400.0,152.91,152.91,137.2,148.65,227654677.0
2024-07-01,00:00:00,1719772200.0,149.9,158.75,145.4,155.61,177405142.0
2024-07-08,00:00:00,1720377000.0,156.5,158.22,146.35,150.42,141007504.0
2024-07-15,00:00:00,1720981800.0,151.0,153.95,140.83,141.82,119459864.0
2024-07-22,00:00:00,1721586600.0,141.4,147.98,135.3,147.39,138539413.0
2024-07-29,00:00:00,1722191400.0,149.14,156.35,145.1,146.23,130129783.0
2024-08-05,00:00:00,1722796200.0,141.0,142.85,128.89,129.35,197355873.0
2024-08-12,00:00:00,1723401000.0,129.25,132.95,125.0,128.28,87742874.0
2024-08-19,00:00:00,1724005800.0,130.0,135.39,129.25,131.79,77489676.0
2024-08-26,00:00:00,1724610600.0,133.39,138.78,131.85,133.69,81961732.0
2024-09-02,00:00:00,1725215400.0,133.86,134.14,128.3,129.38,68401692.0
2024-09-09,00:00:00,1725820200.0,128.9,134.39,126.11,132.2,84787494.0
2024-09-16,00:00:00,1726425000.0,133.0,134.08,123.8,126.28,74149175.0
2024-09-23,00:00:00,1727029800.0,126.5,144.2,126.5,140.54,178325848.0
2024-09-30,00:00:00,1727634600.0,141.4,143.94,134.14,139.01,129891728.0
2024-10-07,00:00:00,1728239400.0,139.97,140.52,127.84,134.03,118397523.0
2024-10-14,00:00:00,1728844200.0,135.8,137.33,125.42,129.03,83383987.0
2024-10-21,00:00:00,1729449000.0,130.21,131.19,110.4,111.48,122406460.0
2024-10-28,00:00:00,1730053800.0,112.36,118.8,111.2,117.75,70594725.0
2024-11-04,00:00:00,1730658600.0,118.0,126.85,112.6,118.21,154504358.0
2024-11-11,00:00:00,1731263400.0,117.8,119.2,111.0,111.84,72016851.0
2024-11-18,00:00:00,1731868200.0,112.2,115.11,108.65,112.83,62096345.0
2024-11-25,00:00:00,1732473000.0,115.0,118.1,113.85,117.11,63793369.0
2024-12-02,00:00:00,1733077800.0,116.5,125.12,115.86,123.89,94168186.0
2024-12-09,00:00:00,1733682600.0,124.0,130.09,121.84,124.76,124437980.0
2024-12-16,00:00:00,1734287400.0,124.56,124.85,115.2,116.1,63966723.0
2024-12-23,00:00:00,1734892200.0,117.0,121.61,115.27,115.53,64711731.0
2024-12-30,00:00:00,1735497000.0,115.5,115.9,111.0,114.17,47880649.0
2025-01-06,00:00:00,1736101800.0,114.1,114.55,104.8,106.03,69741784.0
2025-01-13,00:00:00,1736706600.0,104.9,109.45,99.66,108.82,71691930.0
2025-01-20,00:00:00,1737311400.0,109.0,111.57,104.77,108.17,61091112.0
2025-01-27,00:00:00,1737916200.0,106.75,108.3,101.2,106.53,77287272.0
2025-02-03,00:00:00,1738521000.0,104.0,111.3,100.3,110.32,75691643.0
2025-02-10,00:00:00,1739125800.0,109.05,113.2,99.15,105.71,151726922.0
2025-02-17,00:00:00,1739730600.0,104.4,115.16,102.0,112.76,96563617.0
2025-02-24,00:00:00,1740335400.0,111.1,112.17,101.6,105.02,88740587.0
2025-03-03,00:00:00,1740940200.0,105.3,114.9,102.73,110.91,145104798.0
2025-03-10,00:00:00,1741545000.0,110.9,112.66,104.6,105.89,104798817.0
2025-03-17,00:00:00,1742149800.0,106.65,115.89,105.05,115.3,129697921.0
2025-03-24,00:00:00,1742754600.0,116.1,118.63,112.7,115.18,100804024.0
2025-04-01,00:00:00,1743445800.0,114.35,119.63,112.01,112.6,85463086.0
2025-04-07,00:00:00,1743964200.0,101.34,110.2,101.13,108.34,90517913.0
2025-04-15,00:00:00,1744655400.0,110.21,116.28,109.66,113.96,57334214.0
2025-04-21,00:00:00,1745173800.0,113.96,120.35,112.8,114.81,99346959.0
2025-04-28,00:00:00,1745778600.0,115.0,118.3,112.31,113.22,48042746.0
2025-05-05,00:00:00,1746383400.0,114.0,115.8,106.25,109.01,64315477.0
2025-05-12,00:00:00,1746988200.0,112.77,123.65,112.4,122.48,103515962.0
2025-05-19,00:00:00,1747593000.0,122.48,126.79,120.74,125.92,87505289.0
2025-05-26,00:00:00,1748197800.0,126.2,131.8,125.81,129.18,118624232.0
2025-06-02,00:00:00,1748802600.0,127.0,135.3,126.43,135.04,87534086.0
2025-06-09,00:00:00,1749407400.0,135.2,135.98,126.55,129.35,44876246.0
2025-06-16,00:00:00,1750012200.0,129.0,129.9,123.85,127.48,47595691.0
2025-06-23,00:00:00,1750617000.0,126.19,136.34,125.87,131.7,80524693.0
2025-06-30,00:00:00,1751221800.0,132.34,139.98,130.05,134.72,80904312.0
2025-07-07,00:00:00,1751826600.0,133.76,136.8,131.0,134.33,44793547.0
2025-07-14,00:00:00,1752431400.0,133.6,136.75,132.5,136.45,35235545.0
2025-07-21,00:00:00,1753036200.0,137.0,138.75,130.08,130.67,57753017.0
2025-07-28,00:00:00,1753641000.0,128.6,128.61,119.75,120.12,84311623.0
2025-08-04,00:00:00,1754245800.0,120.66,125.88,120.36,121.07,49269222.0
2025-08-11,00:00:00,1754850600.0,121.07,124.64,119.9,120.37,35582878.0
2025-08-18,00:00:00,1755455400.0,122.8,125.83,121.42,121.93,34743098.0
2025-08-25,00:00:00,1756060200.0,122.66,123.6,118.1,118.66,23179612.0
2025-09-01,00:00:00,1756665000.0,119.16,130.21,118.5,129.26,53172838.0
2025-09-08,00:00:00,1757269800.0,130.53,134.79,129.11,132.26,50996072.0
2025-09-15,00:00:00,1757874600.0,132.01,136.63,131.44,136.2,58315550.0
2025-09-22,00:00:00,1758479400.0,135.11,138.75,130.4,131.02,54330027.0
2025-09-29,00:00:00,1759084200.0,131.4,137.9,131.26,134.96,52614544.0
2025-10-06,00:00:00,1759689000.0,135.65,137.0,130.1,132.17,133515803.0
2025-10-13,00:00:00,1760293800.0,131.5,134.2,128.0,128.68,72459981.0
2025-10-20,00:00:00,1760898600.0,129.6,131.88,127.74,129.46,33178463.0
2025-10-27,00:00:00,1761503400.0,130.5,143.27,129.01,136.85,270234580.0
2025-11-03,00:00:00,1762108200.0,136.79,141.98,134.66,141.0,102057722.0
2025-11-10,00:00:00,1762713000.0,141.0,145.9,141.0,141.99,113491262.0
2025-11-17,00:00:00,1763317800.0,142.0,143.1,132.8,134.08,56559813.0
2025-11-24,00:00:00,1763922600.0,134.0,139.65,131.1,134.91,115516718.0
2025-12-01,00:00:00,1764527400.0,135.91,136.8,130.29,132.54,58266815.0
2025-12-08,00:00:00,1765132200.0,132.54,132.8,126.8,131.9,49529906.0
2025-12-15,00:00:00,1765737000.0,131.65,132.5,124.0,125.91,62370059.0
2025-12-22,00:00:00,1766341800.0,126.7,134.3,126.45,132.32,51175198.0
2025-12-29,00:00:00,1766946600.0,132.9,149.47,132.9,147.47,190124054.0
2026-01-05,00:00:00,1767551400.0,147.4,152.8,143.25,145.67,106408898.0
2026-01-12,00:00:00,1768156200.0,145.67,153.12,143.64,149.37,76223256.0
2026-01-19,00:00:00,1768761000.0,149.0,156.5,143.9,149.03,134604551.0
2026-01-27,00:00:00,1769452200.0,150.5,160.0,141.86,148.63,167862406.0
2026-02-02,00:00:00,1769970600.0,148.1,161.3,141.3,160.52,143298586.0
2026-02-09,00:00:00,1770575400.0,161.05,163.0,155.0,159.28,97396413.0
2026-02-16,00:00:00,1771180200.0,158.0,161.74,153.84,158.75,66305307.0
2026-02-23,00:00:00,1771785000.0,159.4,167.99,152.05,165.71,176076175.0
2026-03-02,00:00:00,1772389800.0,158.99,168.21,152.4,154.94,91117566.0
2026-03-09,00:00:00,1772994600.0,150.99,155.34,144.25,149.89,75910084.0
2026-03-16,00:00:00,1773599400.0,148.97,158.54,143.27,155.52,103932792.0
2026-03-23,00:00:00,1774204200.0,153.04,154.0,142.26,146.47,88938438.0
2026-03-30,00:00:00,1774809000.0,146.2,158.0,145.01,155.16,137542109.0
2026-04-06,00:00:00,1775413800.0,153.9,169.0,151.32,166.02,120836532.0
2026-04-13,00:00:00,1776018600.0,162.78,174.99,160.75,173.33,110486171.0
2026-04-20,00:00:00,1776623400.0,173.4,179.07,170.3,178.46,102396012.0
2026-04-27,00:00:00,1777228200.0,179.96,189.1,179.5,184.62,128592965.0
2026-05-04,00:00:00,1777833000.0,185.25,190.5,184.15,184.88,73626923.0
2026-05-11,00:00:00,1778437800.0,182.89,209.7,175.16,192.4,297966023.0
2026-05-18,00:00:00,1779042600.0,192.0,202.16,188.21,201.21,157709401.0
2026-05-25,00:00:00,1779647400.0,202.4,208.45,196.11,204.37,113187389.0
