Date,Time,Timestamp,Open,High,Low,Close,Volume
2026-05-26,09:15:00,1779767100,1830,1840.3,1830,1831.7,84026
2026-05-26,09:20:00,1779767400,1832,1832.2,1824.2,1824.2,187450
2026-05-26,09:25:00,1779767700,1823.6,1828.3,1823.4,1826.1,235542
2026-05-26,09:30:00,1779768000,1826.2,1829.1,1825.8,1828,270338
2026-05-26,09:35:00,1779768300,1828.9,1831.7,1828.3,1830.7,306551
2026-05-26,09:40:00,1779768600,1830.8,1833,1830.1,1831.9,353518
2026-05-26,09:45:00,1779768900,1832.4,1833.7,1831,1831.3,377612
2026-05-26,09:50:00,1779769200,1831.9,1831.9,1828.5,1829,406218
2026-05-26,09:55:00,1779769500,1829.2,1829.4,1826.3,1826.9,428174
2026-05-26,10:00:00,1779769800,1827,1829.4,1826.8,1828.5,443540
2026-05-26,10:05:00,1779770100,1828.9,1829.4,1826.7,1828.8,464894
2026-05-26,10:10:00,1779770400,1828.9,1830.1,1825.2,1825.9,493773
2026-05-26,10:15:00,1779770700,1826,1826.3,1824.7,1824.7,552316
2026-05-26,10:20:00,1779771000,1825,1825.1,1823.2,1823.3,591825
2026-05-26,10:25:00,1779771300,1823.7,1825,1818.6,1818.6,669988
2026-05-26,10:30:00,1779771600,1819.3,1819.7,1816,1819.2,732137
2026-05-26,10:35:00,1779771900,1819.7,1822.5,1819,1820,767988
2026-05-26,10:40:00,1779772200,1820.4,1822.9,1820.1,1822,788891
2026-05-26,10:45:00,1779772500,1822.5,1823.6,1820,1821.5,808630
2026-05-26,10:50:00,1779772800,1821.9,1822.9,1818.5,1818.5,843195
2026-05-26,10:55:00,1779773100,1818.4,1819.9,1817.9,1819.5,881762
2026-05-26,11:00:00,1779773400,1819.9,1823.4,1819.3,1822.5,908241
2026-05-26,11:05:00,1779773700,1823,1824.3,1821.4,1822.8,929995
2026-05-26,11:10:00,1779774000,1822.4,1823.8,1821.2,1822.6,945647
2026-05-26,11:15:00,1779774300,1822.7,1825,1822.2,1824.1,965641
2026-05-26,11:20:00,1779774600,1824.7,1825,1823.6,1824,981112
2026-05-26,11:25:00,1779774900,1824.1,1825.7,1823.6,1824.6,993448
2026-05-26,11:30:00,1779775200,1824.8,1828,1823.2,1828,1021968
2026-05-26,11:35:00,1779775500,1827.9,1830.5,1826.2,1827,1066350
2026-05-26,11:40:00,1779775800,1827.4,1828.9,1826,1827.1,1085761
2026-05-26,11:45:00,1779776100,1827.2,1828.2,1826,1828,1122469
2026-05-26,11:50:00,1779776400,1828.1,1829.7,1826.9,1827.7,1156575
2026-05-26,11:55:00,1779776700,1828,1829.8,1827.1,1829.6,1185753
2026-05-26,12:00:00,1779777000,1829.9,1834.2,1828.9,1831.8,1209519
2026-05-26,12:05:00,1779777300,1832.3,1834.5,1831.7,1832.2,1237768
2026-05-26,12:10:00,1779777600,1832.7,1835.3,1832.1,1832.9,1259172
2026-05-26,12:15:00,1779777900,1833.2,1833.2,1831.2,1831.6,1268216
2026-05-26,12:20:00,1779778200,1831.7,1835.1,1830.7,1833.6,1327568
2026-05-26,12:25:00,1779778500,1834.2,1838,1832.9,1838,1373977
2026-05-26,12:30:00,1779778800,1837.2,1839.9,1837.2,1837.6,1392671
2026-05-26,12:35:00,1779779100,1838.2,1838.2,1835,1835,1417275
2026-05-26,12:40:00,1779779400,1835.2,1836.9,1832.9,1835,1475101
2026-05-26,12:45:00,1779779700,1835.1,1837.9,1834.5,1837.1,1509659
2026-05-26,12:50:00,1779780000,1837,1837,1831,1831,1529662
2026-05-26,12:55:00,1779780300,1831.1,1832.5,1829.4,1830.5,1549346
2026-05-26,13:00:00,1779780600,1830.2,1832.8,1829.5,1829.7,1560178
2026-05-26,13:05:00,1779780900,1829.6,1835.9,1828.7,1835,1629633
2026-05-26,13:10:00,1779781200,1835.1,1835.1,1832.3,1833,1657548
2026-05-26,13:15:00,1779781500,1832.4,1833.4,1830.9,1832.3,1669291
2026-05-26,13:20:00,1779781800,1832.5,1832.6,1830.2,1830.4,1685500
2026-05-26,13:25:00,1779782100,1830.6,1833,1830,1831.7,1707275
2026-05-26,13:30:00,1779782400,1831.8,1834.8,1831.5,1833.3,1742921
2026-05-26,13:35:00,1779782700,1833.9,1834.3,1832,1832.3,1757039
2026-05-26,13:40:00,1779783000,1832.5,1833.1,1830,1830,1767348
2026-05-26,13:45:00,1779783300,1830.2,1832.6,1829,1831.8,1780734
