Date,Time,Timestamp,Open,High,Low,Close,Volume
2018-07-02,00:00:00,1530469800.0,566.3,588.85,530.7,568.5,88363021.0
2018-08-01,00:00:00,1533061800.0,570.0,659.4,548.85,652.85,174017332.0
2018-09-03,00:00:00,1535913000.0,658.8,679.3,614.5,623.25,153544601.0
2018-10-01,00:00:00,1538332200.0,624.0,640.75,550.0,580.25,98377734.0
2018-11-01,00:00:00,1541010600.0,581.25,604.8,474.5,492.6,159885588.0
2018-12-03,00:00:00,1543775400.0,450.0,464.7,390.6,430.5,406614222.0
2019-01-01,00:00:00,1546281000.0,432.5,457.4,370.2,423.45,349615333.0
2019-02-01,00:00:00,1548959400.0,421.2,455.0,403.3,445.15,162947271.0
2019-03-01,00:00:00,1551378600.0,447.9,482.95,445.05,478.85,125557117.0
2019-04-01,00:00:00,1554057000.0,480.95,484.25,446.0,457.65,71800543.0
2019-05-02,00:00:00,1556735400.0,456.95,461.7,344.55,409.85,189808823.0
2019-06-03,00:00:00,1559500200.0,411.0,418.6,368.0,400.95,120165663.0
2019-07-01,00:00:00,1561919400.0,402.0,443.3,365.4,426.75,177346176.0
2019-08-01,00:00:00,1564597800.0,424.8,453.4,408.05,450.4,144408843.0
2019-09-03,00:00:00,1567449000.0,450.0,456.0,386.55,389.45,157045080.0
2019-10-01,00:00:00,1569868200.0,388.5,440.55,372.6,433.4,81523259.0
2019-11-01,00:00:00,1572546600.0,434.65,467.4,407.1,449.85,171270199.0
2019-12-02,00:00:00,1575225000.0,449.0,449.6,420.65,432.55,103632612.0
2020-01-01,00:00:00,1577817000.0,432.95,462.5,431.25,434.3,92209293.0
2020-02-03,00:00:00,1580668200.0,423.8,441.75,369.45,372.9,122597413.0
2020-03-02,00:00:00,1583087400.0,378.0,414.8,312.0,352.3,234587983.0
2020-04-01,00:00:00,1585679400.0,353.0,504.8,338.4,464.45,383524381.0
2020-05-04,00:00:00,1588530600.0,464.45,481.6,434.25,474.25,203826635.0
2020-06-01,00:00:00,1590949800.0,483.5,512.7,455.0,472.95,254370205.0
2020-07-01,00:00:00,1593541800.0,473.5,541.0,466.15,531.7,230614421.0
2020-08-03,00:00:00,1596393000.0,534.1,564.75,514.05,520.25,223680070.0
2020-09-01,00:00:00,1598898600.0,521.2,535.0,483.0,500.45,233441524.0
2020-10-01,00:00:00,1601490600.0,505.1,529.3,452.25,465.75,162470224.0
2020-11-02,00:00:00,1604255400.0,467.9,526.0,459.05,511.65,233257022.0
2020-12-01,00:00:00,1606761000.0,518.0,599.45,512.65,592.35,222828029.0
2021-01-01,00:00:00,1609439400.0,592.5,628.0,550.4,586.2,162671076.0
2021-02-01,00:00:00,1612117800.0,596.0,654.4,579.6,594.6,186129882.0
2021-03-01,00:00:00,1614537000.0,600.0,636.75,562.1,597.8,120684600.0
2021-04-01,00:00:00,1617215400.0,600.0,666.6,592.75,654.45,162984571.0
2021-05-03,00:00:00,1619980200.0,653.95,721.85,642.0,668.3,187577952.0
2021-06-01,00:00:00,1622485800.0,670.1,686.35,652.7,675.45,84619114.0
2021-07-01,00:00:00,1625077800.0,675.0,783.75,664.2,773.95,102259957.0
2021-08-02,00:00:00,1627842600.0,785.0,804.35,743.35,794.05,109028522.0
2021-09-01,00:00:00,1630434600.0,795.05,832.95,751.05,818.25,78988034.0
2021-10-01,00:00:00,1633026600.0,812.0,851.0,779.35,795.0,59201656.0
2021-11-01,00:00:00,1635705000.0,798.95,836.0,746.05,753.6,78044019.0
2021-12-01,00:00:00,1638297000.0,756.75,850.95,733.7,845.7,102921203.0
2022-01-03,00:00:00,1641148200.0,845.0,871.0,784.8,834.5,75255545.0
2022-02-01,00:00:00,1643653800.0,847.4,902.85,815.0,843.9,72185894.0
2022-03-02,00:00:00,1646159400.0,844.35,931.0,809.1,914.75,74420646.0
2022-04-01,00:00:00,1648751400.0,914.0,967.05,896.6,928.65,38601043.0
2022-05-02,00:00:00,1651429800.0,922.45,931.3,835.2,860.6,88126009.0
2022-06-01,00:00:00,1654021800.0,875.0,875.0,789.9,830.6,61530579.0
2022-07-01,00:00:00,1656613800.0,829.9,951.95,821.9,943.2,60085554.0
2022-08-01,00:00:00,1659292200.0,939.95,939.95,865.0,893.05,53123241.0
2022-09-01,00:00:00,1661970600.0,893.0,955.5,856.8,948.65,70643466.0
2022-10-03,00:00:00,1664735400.0,952.95,1027.3,935.25,1016.9,51074449.0
2022-11-01,00:00:00,1667241000.0,1021.95,1070.95,993.5,1046.05,46678876.0
2022-12-01,00:00:00,1669833000.0,1055.0,1057.85,973.7,1001.4,57594089.0
2023-01-02,00:00:00,1672597800.0,1001.4,1072.15,987.2,1034.5,45278126.0
2023-02-01,00:00:00,1675189800.0,1036.45,1043.95,954.0,956.6,43090957.0
2023-03-01,00:00:00,1677609000.0,951.0,996.5,946.1,983.1,44633588.0
2023-04-03,00:00:00,1680460200.0,981.0,1023.85,959.25,987.65,33806250.0
2023-05-02,00:00:00,1682965800.0,987.65,988.9,922.45,975.35,62719438.0
2023-06-01,00:00:00,1685557800.0,979.8,1055.0,975.0,1051.6,58607257.0
2023-07-03,00:00:00,1688322600.0,1053.0,1155.35,1028.75,1143.4,53683804.0
2023-08-01,00:00:00,1690828200.0,1143.4,1169.7,1100.25,1111.6,51144864.0
2023-09-01,00:00:00,1693506600.0,1112.0,1167.4,1102.0,1158.65,42060591.0
2023-10-03,00:00:00,1696271400.0,1159.55,1161.95,1068.35,1088.6,34318492.0
2023-11-01,00:00:00,1698777000.0,1092.0,1231.15,1082.6,1225.85,36590708.0
2023-12-01,00:00:00,1701369000.0,1233.05,1271.95,1208.55,1259.45,39180032.0
2024-01-01,00:00:00,1704047400.0,1261.0,1438.9,1252.5,1418.45,47389511.0
2024-02-01,00:00:00,1706725800.0,1427.0,1587.8,1398.9,1577.95,51274739.0
2024-03-01,00:00:00,1709231400.0,1580.0,1634.0,1520.5,1620.55,53230274.0
2024-04-01,00:00:00,1711909800.0,1631.6,1638.85,1477.7,1502.1,56457137.0
2024-05-02,00:00:00,1714588200.0,1503.0,1564.0,1440.0,1459.8,61840589.0
2024-06-03,00:00:00,1717353000.0,1496.5,1538.95,1377.2,1520.85,48278450.0
2024-07-01,00:00:00,1719772200.0,1520.85,1730.95,1498.3,1719.35,42925724.0
2024-08-01,00:00:00,1722450600.0,1725.5,1828.15,1681.3,1821.65,47647285.0
2024-09-02,00:00:00,1725215400.0,1829.95,1960.35,1801.3,1926.7,40917398.0
2024-10-01,00:00:00,1727721000.0,1924.85,1952.25,1820.0,1848.9,38309046.0
2024-11-01,00:00:00,1730399400.0,1860.0,1864.95,1723.4,1780.9,38347472.0
2024-12-02,00:00:00,1733077800.0,1800.0,1910.0,1774.05,1886.35,40556337.0
2025-01-01,00:00:00,1735669800.0,1889.9,1902.95,1693.1,1743.95,44037536.0
2025-02-01,00:00:00,1738348200.0,1740.0,1789.0,1586.4,1593.25,46136210.0
2025-03-03,00:00:00,1740940200.0,1585.3,1820.0,1553.05,1734.7,39217025.0
2025-04-01,00:00:00,1743445800.0,1731.0,1846.0,1620.1,1832.3,58142050.0
2025-05-02,00:00:00,1746124200.0,1832.3,1851.2,1623.6,1677.6,66239057.0
2025-06-02,00:00:00,1748802600.0,1679.0,1727.5,1636.0,1675.7,50799998.0
2025-07-01,00:00:00,1751308200.0,1675.7,1748.0,1647.0,1706.7,42076809.0
2025-08-01,00:00:00,1753986600.0,1690.0,1695.0,1567.6,1594.5,51605621.0
2025-09-01,00:00:00,1756665000.0,1599.0,1668.1,1548.0,1594.3,59536133.0
2025-10-01,00:00:00,1759257000.0,1611.9,1722.0,1600.0,1690.7,41119215.0
2025-11-03,00:00:00,1762108200.0,1688.2,1833.0,1667.0,1831.6,35050941.0
2025-12-01,00:00:00,1764527400.0,1841.0,1849.0,1707.0,1719.7,44545503.0
2026-01-01,00:00:00,1767205800.0,1720.0,1806.6,1583.7,1595.3,54208066.0
2026-02-01,00:00:00,1769884200.0,1640.0,1792.2,1590.0,1737.0,46670291.0
2026-03-02,00:00:00,1772389800.0,1712.0,1843.0,1712.0,1757.2,57831019.0
2026-04-01,00:00:00,1774981800.0,1762.1,1815.0,1613.6,1808.3,123225290.0
2026-05-04,00:00:00,1777833000.0,1820.0,1916.6,1785.3,1799.2,57571910.0
