Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-12-03,00:00:00,1764700200,1159.8,1163.4,1133.6,1140,716554
2025-12-04,00:00:00,1764786600,1153,1154,1137.1,1148.4,703643
2025-12-05,00:00:00,1764873000,1148.4,1165.3,1140.1,1162.9,699541
2025-12-08,00:00:00,1765132200,1162.9,1171,1142.3,1145.8,590111
2025-12-09,00:00:00,1765218600,1140.6,1151.1,1131.9,1146.7,851746
2025-12-10,00:00:00,1765305000,1141.1,1156.7,1138.3,1140.1,342793
2025-12-11,00:00:00,1765391400,1136.1,1154.2,1135,1142.1,616435
2025-12-12,00:00:00,1765477800,1142.1,1151,1138,1149.3,751834
2025-12-15,00:00:00,1765737000,1143,1169.4,1140.1,1157.4,1037323
2025-12-16,00:00:00,1765823400,1157.4,1176.7,1153.4,1169.9,1181775
2025-12-17,00:00:00,1765909800,1170,1187.9,1170,1179.8,1502200
2025-12-18,00:00:00,1765996200,1176.9,1183.6,1168,1171.5,568209
2025-12-19,00:00:00,1766082600,1171.5,1186.3,1169.6,1184,598033
2025-12-22,00:00:00,1766341800,1184,1188.7,1174.1,1178.8,670307
2025-12-23,00:00:00,1766428200,1178.8,1187.3,1171,1185.6,805182
2025-12-24,00:00:00,1766514600,1187.3,1189.5,1171.4,1179.2,530345
2025-12-26,00:00:00,1766687400,1173.6,1179.8,1172,1175.7,322741
2025-12-29,00:00:00,1766946600,1174,1200.9,1170.5,1195.2,1806020
2025-12-30,00:00:00,1767033000,1200.7,1201.8,1171.1,1179,2256987
2025-12-31,00:00:00,1767119400,1179,1195.1,1172.6,1192,960678
2026-01-01,00:00:00,1767205800,1192,1195.5,1173.3,1176.9,947192
2026-01-02,00:00:00,1767292200,1176.9,1185.7,1168.4,1170.7,955406
2026-01-05,00:00:00,1767551400,1165,1191,1165,1182.1,1521762
2026-01-06,00:00:00,1767637800,1182.1,1215,1182.1,1210.4,1202300
2026-01-07,00:00:00,1767724200,1216.4,1220.9,1205.3,1212.6,1021615
2026-01-08,00:00:00,1767810600,1212,1212,1193,1197.4,562710
2026-01-09,00:00:00,1767897000,1197.3,1207.8,1173.8,1175.9,555547
2026-01-12,00:00:00,1768156200,1173.5,1196.7,1173.5,1192.3,663978
2026-01-13,00:00:00,1768242600,1190,1198.3,1181.3,1189.4,598454
2026-01-14,00:00:00,1768329000,1189.4,1191,1168.6,1171.4,577684
2026-01-16,00:00:00,1768501800,1171.3,1199.7,1166.3,1189.1,1250225
2026-01-19,00:00:00,1768761000,1180.2,1188.6,1174,1180.2,547580
2026-01-20,00:00:00,1768847400,1180,1203.9,1176.3,1185,2027446
2026-01-21,00:00:00,1768933800,1180.5,1197.5,1158.7,1163.6,946906
2026-01-22,00:00:00,1769020200,1165.4,1188.5,1163.7,1175.2,1495139
2026-01-23,00:00:00,1769106600,1178.5,1187.8,1149.7,1153.5,1456971
2026-01-27,00:00:00,1769452200,1158.6,1200,1149.5,1187.4,3844021
2026-01-28,00:00:00,1769538600,1190,1192.7,1114,1131.8,4560055
2026-01-29,00:00:00,1769625000,1130,1131.4,1100.1,1107.2,2786421
2026-01-30,00:00:00,1769711400,1106.5,1138.9,1100.1,1133.9,2570464
2026-02-01,00:00:00,1769884200,1134,1149,1077,1087.3,1165217
2026-02-02,00:00:00,1769970600,1092.9,1132.7,1084,1125.4,1776779
2026-02-03,00:00:00,1770057000,1148.9,1180.9,1136.1,1155.4,1254462
2026-02-04,00:00:00,1770143400,1154,1170.7,1145.9,1153,1109383
2026-02-05,00:00:00,1770229800,1149.5,1163.6,1145.3,1155.9,1162295
2026-02-06,00:00:00,1770316200,1146,1162,1146,1159.3,830634
2026-02-09,00:00:00,1770575400,1159.3,1175,1156,1167.2,1105510
2026-02-10,00:00:00,1770661800,1167.2,1167.8,1148.6,1152.2,978264
2026-02-11,00:00:00,1770748200,1157.6,1166.2,1150.2,1152.6,751635
2026-02-12,00:00:00,1770834600,1157,1157,1142.3,1149.3,624666
2026-02-13,00:00:00,1770921000,1148.9,1154,1125.4,1132.2,525887
2026-02-16,00:00:00,1771180200,1128.5,1141.8,1117.1,1139.2,780629
2026-02-17,00:00:00,1771266600,1133.5,1151,1131.7,1148.5,442621
2026-02-18,00:00:00,1771353000,1148,1173.2,1145.8,1169.7,641938
2026-02-19,00:00:00,1771439400,1169,1169,1151.7,1160.5,994383
2026-02-20,00:00:00,1771525800,1162.1,1168.5,1153.5,1156.2,484995
2026-02-23,00:00:00,1771785000,1156.2,1179.5,1155.2,1171.8,623773
2026-02-24,00:00:00,1771871400,1161,1182.4,1160.7,1178,625615
2026-02-25,00:00:00,1771957800,1183.1,1185,1161,1172.3,565726
2026-02-26,00:00:00,1772044200,1172,1177.4,1153.5,1159.5,629003
2026-02-27,00:00:00,1772130600,1151.1,1159.5,1134.9,1141,2035788
2026-03-02,00:00:00,1772389800,1110.8,1145.8,1110.8,1125.2,1368110
2026-03-04,00:00:00,1772562600,1114.5,1118.8,1098.7,1110.6,1221984
2026-03-05,00:00:00,1772649000,1112.3,1123.7,1095.8,1119.1,1368338
2026-03-06,00:00:00,1772735400,1119.1,1128.7,1112.1,1116.7,919798
2026-03-09,00:00:00,1772994600,1086.7,1106.9,1082.5,1102.5,1007371
2026-03-10,00:00:00,1773081000,1102.4,1111,1096,1099.5,1165119
2026-03-11,00:00:00,1773167400,1102,1102.1,1070.2,1073.4,1066872
2026-03-12,00:00:00,1773253800,1070.5,1072.8,1051.4,1057.8,961388
2026-03-13,00:00:00,1773340200,1049,1093.9,1048,1083.6,2855691
2026-03-16,00:00:00,1773599400,1083.6,1099.7,1071,1092.7,1527989
2026-03-17,00:00:00,1773685800,1092.7,1104.2,1074,1078,1998285
2026-03-18,00:00:00,1773772200,1075.6,1085.2,1068,1075.1,1092393
2026-03-19,00:00:00,1773858600,1055.1,1067.9,1039.4,1044.6,747138
2026-03-20,00:00:00,1773945000,1054.7,1056,1043.5,1050.2,2095970
2026-03-23,00:00:00,1774204200,1036.1,1042,1019.6,1023.6,2006447
2026-03-24,00:00:00,1774290600,1030.9,1059.5,1022.8,1053.1,1423695
2026-03-25,00:00:00,1774377000,1053.1,1073,1050.6,1056.1,1566241
