Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-12-02,00:00:00,1764613800,5123,5166.5,5097,5127,227935
2025-12-03,00:00:00,1764700200,5130,5229,5130,5174.5,289306
2025-12-04,00:00:00,1764786600,5171.5,5258,5170.5,5216.5,273807
2025-12-05,00:00:00,1764873000,5220,5269,5196,5217.5,262396
2025-12-08,00:00:00,1765132200,5217.5,5229.5,5008,5034.5,242850
2025-12-09,00:00:00,1765218600,5034,5035,4948,4979.5,146223
2025-12-10,00:00:00,1765305000,5002.5,5003,4855,4863,183782
2025-12-11,00:00:00,1765391400,4895,5026.5,4864,5016.5,139396
2025-12-12,00:00:00,1765477800,5026.5,5040,4988.5,5030.5,82176
2025-12-15,00:00:00,1765737000,5045.5,5126,5016,5048.5,114281
2025-12-16,00:00:00,1765823400,5044,5044,4980,4998,66003
2025-12-17,00:00:00,1765909800,5000,5052.5,4950.5,4968.5,72380
2025-12-18,00:00:00,1765996200,4980,5049.5,4934.5,5013.5,105540
2025-12-19,00:00:00,1766082600,5116,5450,5062,5413.5,1773370
2025-12-22,00:00:00,1766341800,5410.5,5506.5,5397.5,5458.5,455234
2025-12-23,00:00:00,1766428200,5440,5483.5,5402.5,5429,159234
2025-12-24,00:00:00,1766514600,5429.5,5435,5363,5387.5,96729
2025-12-26,00:00:00,1766687400,5370,5425,5335,5348,84561
2025-12-29,00:00:00,1766946600,5349,5369.5,5279.5,5315.5,96723
2025-12-30,00:00:00,1767033000,5318,5342,5175.5,5193,141898
2025-12-31,00:00:00,1767119400,5193,5264,5180,5240.5,82797
2026-01-01,00:00:00,1767205800,5250,5253,5185,5211.5,45872
2026-01-02,00:00:00,1767292200,5211.5,5377.5,5197.5,5337.5,126422
2026-01-05,00:00:00,1767551400,5368.5,5398,5292.5,5363.5,150166
2026-01-06,00:00:00,1767637800,5350,5392.5,5309.5,5345,92573
2026-01-07,00:00:00,1767724200,5340,5923,5336,5853,2893997
2026-01-08,00:00:00,1767810600,5853,5950,5645.5,5716.5,1039700
2026-01-09,00:00:00,1767897000,5662,5836.5,5646,5691,533373
2026-01-12,00:00:00,1768156200,5650,5762.5,5582.5,5693.5,301050
2026-01-13,00:00:00,1768242600,5744,5824,5681,5793,384976
2026-01-14,00:00:00,1768329000,5700,5766,5467,5505,922269
2026-01-16,00:00:00,1768501800,5505,5693,5480,5605.5,595759
2026-01-19,00:00:00,1768761000,5604.5,5614.5,5486.5,5563,260863
2026-01-20,00:00:00,1768847400,5565,5566,5361,5387,268719
2026-01-21,00:00:00,1768933800,5367,5449.5,5280.5,5347.5,396287
2026-01-22,00:00:00,1769020200,5375,5547.5,5373,5464,377733
2026-01-23,00:00:00,1769106600,5474,5507.5,5374.5,5409.5,194177
2026-01-27,00:00:00,1769452200,5404,5445,5340,5415,188198
2026-01-28,00:00:00,1769538600,5438,5453.5,5350.5,5391,121318
2026-01-29,00:00:00,1769625000,5395,5405.5,5263,5332,209744
2026-01-30,00:00:00,1769711400,5324,5333,5241.5,5323.5,166386
2026-02-01,00:00:00,1769884200,5317.5,5570,5281,5421,334294
2026-02-02,00:00:00,1769970600,5448,5450.5,5344,5440,192320
2026-02-03,00:00:00,1770057000,5600,5636.5,5450,5508,201609
2026-02-04,00:00:00,1770143400,5408,5531.5,5310,5510,360048
2026-02-05,00:00:00,1770229800,5497,5565,5374.5,5406,207397
2026-02-06,00:00:00,1770316200,5390,5390,5120,5198.5,426399
2026-02-09,00:00:00,1770575400,5229,5284,5200.5,5233,165677
2026-02-10,00:00:00,1770661800,5260,5394.5,5228,5381,213253
2026-02-11,00:00:00,1770748200,5385,5398.5,5221,5250.5,158972
2026-02-12,00:00:00,1770834600,5206,5224.5,4955.5,4976,564653
2026-02-13,00:00:00,1770921000,4850,4891.5,4755,4824,441804
2026-02-16,00:00:00,1771180200,4824,4845,4750,4821,215518
2026-02-17,00:00:00,1771266600,4820.5,5044,4806.5,4919,423010
2026-02-18,00:00:00,1771353000,4940,4940,4821,4885,181973
2026-02-19,00:00:00,1771439400,4889.5,4981,4812,4839.5,282759
2026-02-20,00:00:00,1771525800,4830,4910,4788,4859,227011
2026-02-23,00:00:00,1771785000,4845.5,4873,4679,4714,327068
2026-02-24,00:00:00,1771871400,4675.5,4700,4455,4498,465584
2026-02-25,00:00:00,1771957800,4524.5,4670,4524,4577,433884
2026-02-26,00:00:00,1772044200,4600,4696,4470.5,4507.5,469675
2026-02-27,00:00:00,1772130600,4522,4596,4490.5,4513,345149
2026-03-02,00:00:00,1772389800,4317.7,4529,4317.7,4449.3,303080
2026-03-04,00:00:00,1772562600,4415,4448,4318,4357.7,279451
2026-03-05,00:00:00,1772649000,4400,4424,4334.4,4400,199593
2026-03-06,00:00:00,1772735400,4420,4490,4321,4330.2,267961
2026-03-09,00:00:00,1772994600,4295,4321.3,4221.5,4303.7,197809
2026-03-10,00:00:00,1773081000,4352,4380,4265,4356.6,241362
2026-03-11,00:00:00,1773167400,4377.7,4425,4325,4343.4,218308
2026-03-12,00:00:00,1773253800,4340,4380,4253,4330,227665
2026-03-13,00:00:00,1773340200,4325,4327,4234.9,4255,185443
2026-03-16,00:00:00,1773599400,4233.7,4255,4118.2,4202.2,407416
2026-03-17,00:00:00,1773685800,4210,4218,4050.9,4103.6,479527
2026-03-18,00:00:00,1773772200,4112,4321.1,4112,4207.4,609173
2026-03-19,00:00:00,1773858600,4178.1,4178.1,4021.6,4039.3,365192
2026-03-20,00:00:00,1773945000,4107.9,4280,4105,4237.7,826879
2026-03-23,00:00:00,1774204200,4190,4190,4111,4130.6,299035
2026-03-24,00:00:00,1774290600,4216,4280,4100,4180.2,291011
2026-03-25,00:00:00,1774377000,4205.6,4288,4187.5,4213.4,262185
2026-03-27,00:00:00,1774549800,4190.1,4264.6,4140,4160.8,325398
