Date,Time,Timestamp,Open,High,Low,Close,Volume
2026-05-04,09:15:00,1777866300,584.3,590.55,582,585.4,251650
2026-05-04,10:15:00,1777869900,585.35,588.3,582,585.55,393536
2026-05-04,11:15:00,1777873500,586,587,581,581,480730
2026-05-04,12:15:00,1777877100,581.75,584.6,581.15,583.25,554513
2026-05-04,13:15:00,1777880700,582.75,590.7,578.25,587.9,707508
2026-05-04,14:15:00,1777884300,587.5,592,587.5,589.6,939495
2026-05-04,15:15:00,1777887900,590.3,592.95,589.5,592,1048568
2026-05-05,09:15:00,1777952700,602.05,659.7,602.05,638.05,16824688
2026-05-05,10:15:00,1777956300,638.5,649.95,634.7,636.9,22420328
2026-05-05,11:15:00,1777959900,636.95,639.05,633.25,636.8,23920531
2026-05-05,12:15:00,1777963500,636.85,641.7,624.45,625.35,26154463
2026-05-05,13:15:00,1777967100,625.65,627.3,618,619.5,27741279
2026-05-05,14:15:00,1777970700,619.35,624.95,618.1,621,29174966
2026-05-05,15:15:00,1777974300,620.8,632.6,617,627.5,30590600
2026-05-06,09:15:00,1778039100,634,638.4,626.35,633.05,883044
2026-05-06,10:15:00,1778042700,633.3,633.5,627.75,628.85,1070007
2026-05-06,11:15:00,1778046300,628.7,630.5,627.05,629.1,1273161
2026-05-06,12:15:00,1778049900,629.05,629.1,621.6,626.6,1457914
2026-05-06,13:15:00,1778053500,626.25,628.75,625.7,627.15,1568092
2026-05-06,14:15:00,1778057100,627.3,630.4,626.6,628.1,1800694
2026-05-06,15:15:00,1778060700,627.7,628.05,625.5,627,1901179
2026-05-07,09:15:00,1778125500,630.5,631.35,622.15,627.25,418071
2026-05-07,10:15:00,1778129100,627.7,629.35,624.8,625,551389
2026-05-07,11:15:00,1778132700,625.3,626.85,623.35,624.15,671326
2026-05-07,12:15:00,1778136300,624.55,628.5,624.4,628,743981
2026-05-07,13:15:00,1778139900,627.95,630.7,625.7,628.3,870970
2026-05-07,14:15:00,1778143500,628.35,635,625,626.9,1163346
2026-05-07,15:15:00,1778147100,626.85,629.9,626.85,628.9,1322969
2026-05-08,09:15:00,1778211900,629,634.95,624.75,628.4,326683
2026-05-08,10:15:00,1778215500,628.05,635.95,627.9,632.9,473288
2026-05-08,11:15:00,1778219100,633.05,633.85,630.1,632.2,541090
2026-05-08,12:15:00,1778222700,632,635,630.05,632.8,624977
2026-05-08,13:15:00,1778226300,632.1,634,630,630.25,704544
2026-05-08,14:15:00,1778229900,630.55,632.7,629,630,804104
2026-05-08,15:15:00,1778233500,629.9,632.5,629.5,632.05,925120
2026-05-11,09:15:00,1778471100,628.85,633.85,622.05,626.75,448194
2026-05-11,10:15:00,1778474700,626.7,635.95,624.1,635.3,629336
2026-05-11,11:15:00,1778478300,635.4,642,634,640.4,952607
2026-05-11,12:15:00,1778481900,640.35,642.45,638.05,640,1114232
2026-05-11,13:15:00,1778485500,639.8,640.45,638.15,638.65,1213113
2026-05-11,14:15:00,1778489100,638.35,639.4,627.9,628.6,1486042
2026-05-11,15:15:00,1778492700,628.3,630.75,628.3,630.55,1579234
2026-05-12,09:15:00,1778557500,630.3,630.3,614.75,624.25,403381
2026-05-12,10:15:00,1778561100,623.85,625.2,618.2,623.75,610114
2026-05-12,11:15:00,1778564700,623.65,627,622.2,622.3,686366
2026-05-12,12:15:00,1778568300,622.85,628.65,620.15,626.25,878854
2026-05-12,13:15:00,1778571900,626.3,627,621.65,621.65,966626
2026-05-12,14:15:00,1778575500,622.1,624.25,613,614.25,1109874
2026-05-12,15:15:00,1778579100,614.7,618.15,614.35,614.8,1198857
2026-05-13,09:15:00,1778643900,613,622.55,613,621.2,247408
2026-05-13,10:15:00,1778647500,620.85,623.9,618.75,621.4,379511
2026-05-13,11:15:00,1778651100,621.7,624.8,621.2,622.7,447324
2026-05-13,12:15:00,1778654700,622.35,626,620.55,625.4,577921
2026-05-13,13:15:00,1778658300,625.05,626.6,623.8,624.9,653653
2026-05-13,14:15:00,1778661900,625.05,625.5,622,624.85,743998
2026-05-13,15:15:00,1778665500,625.45,628.15,625.45,627.3,833337
2026-05-14,09:15:00,1778730300,627.35,630.15,615,619,239469
2026-05-14,10:15:00,1778733900,618.6,620.4,611.9,616.5,339628
2026-05-14,11:15:00,1778737500,616.45,620,615.5,617.2,413199
2026-05-14,12:15:00,1778741100,617.85,621.5,616.15,621.05,485573
2026-05-14,13:15:00,1778744700,621.4,624,620.05,621.35,553144
