Date,Time,Timestamp,Open,High,Low,Close,Volume
2026-05-29,09:15:00,1780026300,725,728.95,724,725.3,30868
2026-05-29,09:16:00,1780026360,726.85,726.85,721.9,721.95,45158
2026-05-29,09:17:00,1780026420,721,721.75,719.85,721.7,58776
2026-05-29,09:18:00,1780026480,721.2,722.65,721.05,721.15,65032
2026-05-29,09:19:00,1780026540,721.25,721.25,719.2,719.2,70022
2026-05-29,09:20:00,1780026600,719.6,720.7,719.15,719.4,76513
2026-05-29,09:21:00,1780026660,718.05,719.3,716.7,716.7,87544
2026-05-29,09:22:00,1780026720,714.8,715.75,712.6,712.75,108692
2026-05-29,09:23:00,1780026780,712.15,713.25,712.05,713.25,114893
2026-05-29,09:24:00,1780026840,713.4,714.35,712.9,712.9,126274
2026-05-29,09:25:00,1780026900,712.75,713.5,712.15,712.4,131988
2026-05-29,09:26:00,1780026960,712.3,715,712.3,715,136464
2026-05-29,09:27:00,1780027020,713.8,715.4,713.8,714.25,141927
2026-05-29,09:28:00,1780027080,714.8,715.15,714.05,714.5,143413
2026-05-29,09:29:00,1780027140,713.2,713.65,711.8,711.8,148532
2026-05-29,09:30:00,1780027200,711.2,712.4,711.2,711.2,154834
2026-05-29,09:31:00,1780027260,711.7,712,711.3,711.8,159251
2026-05-29,09:32:00,1780027320,711.35,712.1,711.3,711.75,161779
2026-05-29,09:33:00,1780027380,711.4,712.5,711.3,711.85,164456
2026-05-29,09:34:00,1780027440,712.5,712.55,711.6,711.6,166088
2026-05-29,09:35:00,1780027500,711.65,714.5,711.65,713.95,169547
2026-05-29,09:36:00,1780027560,713.8,714.8,713.15,714,173606
2026-05-29,09:37:00,1780027620,714.85,714.9,714.35,714.55,176048
2026-05-29,09:38:00,1780027680,714.35,714.6,713.45,713.6,179981
2026-05-29,09:39:00,1780027740,714.35,714.6,713.9,713.95,183424
2026-05-29,09:40:00,1780027800,713.45,714,713.15,713.15,187866
2026-05-29,09:41:00,1780027860,714,714.45,713.5,713.5,191118
2026-05-29,09:42:00,1780027920,713.2,713.7,712.8,713.45,195253
2026-05-29,09:43:00,1780027980,713.65,713.65,712.8,712.8,196807
2026-05-29,09:44:00,1780028040,712.3,712.4,710.5,710.5,204646
2026-05-29,09:45:00,1780028100,710.25,711.6,710.05,711.6,213545
2026-05-29,09:46:00,1780028160,711.7,712.95,711.7,712.6,220118
2026-05-29,09:47:00,1780028220,712.85,713,711.8,712.65,221844
2026-05-29,09:48:00,1780028280,712.15,712.85,711.85,712.85,234836
2026-05-29,09:49:00,1780028340,712.25,712.85,711.35,712.2,242943
2026-05-29,09:50:00,1780028400,712.95,714.15,711.85,714.15,244989
2026-05-29,09:51:00,1780028460,714.1,714.5,712.85,713.45,246457
2026-05-29,09:52:00,1780028520,712.95,713.3,712.05,712.7,247958
2026-05-29,09:53:00,1780028580,712.4,713.9,712.4,712.9,250227
2026-05-29,09:54:00,1780028640,713.3,713.45,712.05,713.45,253625
2026-05-29,09:55:00,1780028700,712.3,712.9,711.65,711.65,255388
2026-05-29,09:56:00,1780028760,712,713,711.8,712.7,261388
2026-05-29,09:57:00,1780028820,712.25,713,712.05,712.05,262711
2026-05-29,09:58:00,1780028880,712.25,712.6,712,712,265038
2026-05-29,09:59:00,1780028940,712.2,712.4,711.05,711.7,267083
2026-05-29,10:00:00,1780029000,711.25,712.4,711.25,712.05,268930
2026-05-29,10:01:00,1780029060,711.9,712.35,711.75,711.9,269434
2026-05-29,10:02:00,1780029120,711.75,712.65,711.75,712.6,271022
2026-05-29,10:03:00,1780029180,712.05,713,712.05,713,274274
2026-05-29,10:04:00,1780029240,713.3,714.15,711.45,711.45,279260
2026-05-29,10:05:00,1780029300,711.4,711.45,710.4,711.4,283300
2026-05-29,10:06:00,1780029360,711.05,711.7,710.6,710.65,285127
2026-05-29,10:07:00,1780029420,710.7,710.7,710.2,710.2,286958
2026-05-29,10:08:00,1780029480,710.05,711,710.05,711,289834
2026-05-29,10:09:00,1780029540,710.85,711,710.5,710.85,291437
2026-05-29,10:10:00,1780029600,710.15,710.85,710.15,710.75,292499
2026-05-29,10:11:00,1780029660,710.5,711,710.05,710.95,294962
2026-05-29,10:12:00,1780029720,710.6,711.6,710.6,711.05,296305
2026-05-29,10:13:00,1780029780,711,711.15,710.85,710.85,298208
2026-05-29,10:14:00,1780029840,711,711.4,710.85,711.15,298773
2026-05-29,10:15:00,1780029900,711,711.45,710.85,710.85,300850
2026-05-29,10:16:00,1780029960,710.9,711.15,710.8,711.1,301879
2026-05-29,10:17:00,1780030020,711.7,711.7,711.1,711.4,302988
2026-05-29,10:18:00,1780030080,711.25,711.55,711.15,711.4,303200
2026-05-29,10:19:00,1780030140,711.2,711.6,711.2,711.55,305069
2026-05-29,10:20:00,1780030200,711.6,712.3,711.6,711.95,305890
2026-05-29,10:21:00,1780030260,711.75,711.95,711.25,711.25,306346
2026-05-29,10:22:00,1780030320,710.7,711,710.5,710.9,309331
2026-05-29,10:23:00,1780030380,711,711.15,710.6,711.15,311064
2026-05-29,10:24:00,1780030440,711.2,711.35,710.4,710.4,312839
2026-05-29,10:25:00,1780030500,710.65,710.65,709.75,710,324672
2026-05-29,10:26:00,1780030560,710.05,710.45,710,710.35,328086
2026-05-29,10:27:00,1780030620,710.4,711.7,710.4,711,330765
2026-05-29,10:28:00,1780030680,710.9,710.9,709.5,709.8,333067
2026-05-29,10:29:00,1780030740,709.9,709.9,709.25,709.4,335129
2026-05-29,10:30:00,1780030800,709.7,709.7,708,708.8,344705
2026-05-29,10:31:00,1780030860,709.2,709.5,708.8,709.15,348220
2026-05-29,10:32:00,1780030920,708.8,709.45,708.5,708.9,357036
2026-05-29,10:33:00,1780030980,709.35,709.35,708.55,709,361280
2026-05-29,10:34:00,1780031040,709.2,712.05,708.7,712.05,362531
2026-05-29,10:35:00,1780031100,712.8,716.2,712.25,715.8,388484
2026-05-29,10:36:00,1780031160,716.7,716.95,715.8,716.1,394367
2026-05-29,10:37:00,1780031220,716.3,719.5,716.05,719.25,406809
2026-05-29,10:38:00,1780031280,718.4,720,718.4,719.6,424140
2026-05-29,10:39:00,1780031340,720,720,718.2,718.8,431075
2026-05-29,10:40:00,1780031400,718.65,719.4,718,719.4,438053
2026-05-29,10:41:00,1780031460,719.2,719.45,718,718.6,440663
2026-05-29,10:42:00,1780031520,718.1,718.6,717.5,718,442265
2026-05-29,10:43:00,1780031580,717.9,717.95,717.15,717.15,443697
2026-05-29,10:44:00,1780031640,717.85,717.85,716.6,717.65,448480
2026-05-29,10:45:00,1780031700,717.6,717.6,716.1,716.9,451534
2026-05-29,10:46:00,1780031760,716.75,717.3,716.3,717.25,455172
2026-05-29,10:47:00,1780031820,717.15,717.15,716.15,717,456544
2026-05-29,10:48:00,1780031880,716.4,716.75,715.8,716.4,459222
2026-05-29,10:49:00,1780031940,715.3,716.35,715.3,716,460030
2026-05-29,10:50:00,1780032000,716.25,716.25,715.4,715.4,461351
2026-05-29,10:51:00,1780032060,715.2,715.25,714.7,714.7,462269
2026-05-29,10:52:00,1780032120,715.1,715.1,714.1,714.8,464813
2026-05-29,10:53:00,1780032180,714.75,714.85,714.05,714.2,467011
