Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-12-03,00:00:00,1764700200,3744,3770.9,3705.1,3720.9,163478
2025-12-04,00:00:00,1764786600,3733.5,3807.9,3720,3795.7,561605
2025-12-05,00:00:00,1764873000,3805.1,3805.1,3756,3785.9,197257
2025-12-08,00:00:00,1765132200,3785.1,3800,3751.2,3760,144529
2025-12-09,00:00:00,1765218600,3760,3778.6,3714.5,3763.9,210622
2025-12-10,00:00:00,1765305000,3765.6,3809.8,3742,3794.4,257257
2025-12-11,00:00:00,1765391400,3790,3804.3,3764.5,3799,100122
2025-12-12,00:00:00,1765477800,3801.5,3827.8,3759.6,3791.5,168916
2025-12-15,00:00:00,1765737000,3791.8,3809.9,3752.5,3782.6,168589
2025-12-16,00:00:00,1765823400,3799.2,3799.2,3745.1,3765.1,136916
2025-12-17,00:00:00,1765909800,3765.1,3784,3725,3770.8,132340
2025-12-18,00:00:00,1765996200,3782.9,3784.1,3714.9,3759.5,125105
2025-12-19,00:00:00,1766082600,3748,3812.7,3745.5,3800.3,150394
2025-12-22,00:00:00,1766341800,3811.2,3824.7,3781,3816,275033
2025-12-23,00:00:00,1766428200,3817,3828.9,3780.4,3820.1,195979
2025-12-24,00:00:00,1766514600,3825,3840,3801.1,3834.3,152700
2025-12-26,00:00:00,1766687400,3833,3846.1,3802.5,3816.6,38231
2025-12-29,00:00:00,1766946600,3801,3816.5,3767.4,3793.7,86172
2025-12-30,00:00:00,1767033000,3790,3863,3745.1,3822.1,371621
2025-12-31,00:00:00,1767119400,3834,3856.9,3791.3,3850,151815
2026-01-01,00:00:00,1767205800,3860,3863.5,3815.1,3848.4,39767
2026-01-02,00:00:00,1767292200,3856.7,3891.2,3821,3885.3,57479
2026-01-05,00:00:00,1767551400,3885.3,3900.1,3855,3869.8,100222
2026-01-06,00:00:00,1767637800,3879.8,3948,3859.8,3936.8,193169
2026-01-07,00:00:00,1767724200,3936.8,4104.8,3936,4092.2,893695
2026-01-08,00:00:00,1767810600,4080,4080,4015.7,4026.4,202187
2026-01-09,00:00:00,1767897000,4016,4037.6,3950,3963.4,312744
2026-01-12,00:00:00,1768156200,3960,3967.7,3893.8,3949.8,161556
2026-01-13,00:00:00,1768242600,3940,3959.9,3903.7,3940.3,202650
2026-01-14,00:00:00,1768329000,3940.3,4012.9,3906.4,4003.7,194665
2026-01-16,00:00:00,1768501800,4020,4032,3972,4018.2,171667
2026-01-19,00:00:00,1768761000,4033.3,4107.2,4002,4086.6,433688
2026-01-20,00:00:00,1768847400,4105,4105,3962,3976.8,203141
2026-01-21,00:00:00,1768933800,3960,4030,3936.9,3981.8,367318
2026-01-22,00:00:00,1769020200,3982.5,4032.1,3964.4,4020.5,167617
2026-01-23,00:00:00,1769106600,4021,4037.6,3903.7,3932.2,315842
2026-01-27,00:00:00,1769452200,3968,4012.9,3910.4,3997.4,249417
2026-01-28,00:00:00,1769538600,3944.6,4013.1,3922.5,3958.7,384358
2026-01-29,00:00:00,1769625000,3936,3970.2,3900,3930.1,219303
2026-01-30,00:00:00,1769711400,3920,4008.9,3695,3960.8,544103
2026-02-01,00:00:00,1769884200,3980,4018.3,3926.5,3997.1,127410
2026-02-02,00:00:00,1769970600,4018.5,4018.5,3903.9,3987.2,293121
2026-02-03,00:00:00,1770057000,4039.9,4104.1,4010.2,4045.6,464524
