Date,Time,Timestamp,Open,High,Low,Close,Volume
2026-05-29,09:15:00,1780026300,121.99,121.99,121.26,121.3,156111
2026-05-29,09:16:00,1780026360,121.39,121.47,120.4,120.53,272625
2026-05-29,09:17:00,1780026420,120.58,120.67,120.4,120.47,316342
2026-05-29,09:18:00,1780026480,120.41,120.47,120.4,120.4,344240
2026-05-29,09:19:00,1780026540,120.41,120.62,120.41,120.62,387624
2026-05-29,09:20:00,1780026600,120.59,120.7,120.5,120.59,426744
2026-05-29,09:21:00,1780026660,120.5,120.66,120.42,120.42,451783
2026-05-29,09:22:00,1780026720,120.39,120.75,120.34,120.7,513838
2026-05-29,09:23:00,1780026780,120.6,121.36,120.5,121.08,596873
2026-05-29,09:24:00,1780026840,121.07,121.15,121,121.05,614395
2026-05-29,09:25:00,1780026900,121.01,121.3,121,121.28,655824
2026-05-29,09:26:00,1780026960,121.3,121.35,121.27,121.29,691768
2026-05-29,09:27:00,1780027020,121.34,121.35,121.17,121.2,704439
2026-05-29,09:28:00,1780027080,121.25,121.6,121.25,121.35,737921
2026-05-29,09:29:00,1780027140,121.3,121.38,121.14,121.14,749942
2026-05-29,09:30:00,1780027200,121.08,121.22,120.97,121.17,780595
2026-05-29,09:31:00,1780027260,121.18,121.25,121.09,121.13,790621
2026-05-29,09:32:00,1780027320,121.09,121.13,121,121.09,801184
2026-05-29,09:33:00,1780027380,121.03,121.05,120.9,120.92,820423
2026-05-29,09:34:00,1780027440,120.91,121.21,120.9,121.12,858488
2026-05-29,09:35:00,1780027500,121.14,121.35,121.12,121.3,870405
2026-05-29,09:36:00,1780027560,121.26,121.48,121.26,121.32,896787
2026-05-29,09:37:00,1780027620,121.31,121.4,121.3,121.34,903444
2026-05-29,09:38:00,1780027680,121.39,121.71,121.31,121.37,939601
2026-05-29,09:39:00,1780027740,121.41,121.46,121.35,121.39,944469
2026-05-29,09:40:00,1780027800,121.34,121.67,121.34,121.5,973969
2026-05-29,09:41:00,1780027860,121.44,121.44,121.3,121.3,982659
2026-05-29,09:42:00,1780027920,121.35,121.35,121.09,121.11,993174
2026-05-29,09:43:00,1780027980,121.14,121.15,121.05,121.06,1004389
2026-05-29,09:44:00,1780028040,121.1,121.1,120.97,120.97,1019247
2026-05-29,09:45:00,1780028100,121.02,121.28,120.95,121.24,1039783
2026-05-29,09:46:00,1780028160,121.25,121.35,121.21,121.26,1049258
2026-05-29,09:47:00,1780028220,121.27,121.35,121.14,121.14,1054130
2026-05-29,09:48:00,1780028280,121.18,121.23,121.13,121.2,1060457
2026-05-29,09:49:00,1780028340,121.17,121.25,121.13,121.21,1065036
2026-05-29,09:50:00,1780028400,121.29,121.5,121.29,121.5,1090412
2026-05-29,09:51:00,1780028460,121.52,121.55,121.47,121.55,1095746
2026-05-29,09:52:00,1780028520,121.47,121.49,121.33,121.36,1102800
2026-05-29,09:53:00,1780028580,121.33,121.51,121.3,121.42,1110373
2026-05-29,09:54:00,1780028640,121.47,121.47,121.3,121.3,1117081
2026-05-29,09:55:00,1780028700,121.36,121.4,121.25,121.25,1120138
2026-05-29,09:56:00,1780028760,121.28,121.3,121.2,121.2,1123086
