Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-12-03,00:00:00,1764700200,1342,1375,1330.5,1335.9,845596
2025-12-04,00:00:00,1764786600,1329.5,1343.4,1325.6,1329.4,509272
2025-12-05,00:00:00,1764873000,1325,1330.8,1312.5,1327,568640
2025-12-08,00:00:00,1765132200,1326,1329.9,1309.5,1322.5,335954
2025-12-09,00:00:00,1765218600,1315,1339.9,1310,1335.9,529692
2025-12-10,00:00:00,1765305000,1331.1,1345.7,1327.3,1340.9,610249
2025-12-11,00:00:00,1765391400,1331,1356,1327.7,1353.4,454556
2025-12-12,00:00:00,1765477800,1355,1379.7,1353.6,1377.2,371973
2025-12-15,00:00:00,1765737000,1370.1,1391,1362,1388.9,215764
2025-12-16,00:00:00,1765823400,1380,1402.3,1375.5,1394.3,569307
2025-12-17,00:00:00,1765909800,1390,1396,1375.7,1380.5,662702
2025-12-18,00:00:00,1765996200,1377.1,1425.9,1370.4,1401.7,1063259
2025-12-19,00:00:00,1766082600,1397,1415,1364.5,1375.5,1059210
2025-12-22,00:00:00,1766341800,1375.5,1392.7,1372,1388,201211
2025-12-23,00:00:00,1766428200,1388.8,1391.9,1376.2,1385.6,232195
2025-12-24,00:00:00,1766514600,1385.6,1420,1377.8,1394.7,476963
2025-12-26,00:00:00,1766687400,1390,1412.4,1377,1381.1,281489
2025-12-29,00:00:00,1766946600,1384.5,1399.3,1376,1380.1,423594
2025-12-30,00:00:00,1767033000,1377,1378.8,1346.4,1350.7,367193
2025-12-31,00:00:00,1767119400,1350.7,1375,1343.7,1361.2,326590
2026-01-01,00:00:00,1767205800,1361.2,1388,1361.2,1384.3,283325
2026-01-02,00:00:00,1767292200,1389,1447.6,1386.9,1430.2,1109054
2026-01-05,00:00:00,1767551400,1429.5,1494.6,1423.2,1476.8,1588073
2026-01-06,00:00:00,1767637800,1476.8,1505,1472.8,1486.2,1231903
2026-01-07,00:00:00,1767724200,1485,1517.9,1482.4,1507.6,1046719
2026-01-08,00:00:00,1767810600,1507.7,1512,1465.1,1469.1,375644
2026-01-09,00:00:00,1767897000,1465,1482.8,1458,1466.8,368916
2026-01-12,00:00:00,1768156200,1461,1483.3,1457,1468.2,802829
2026-01-13,00:00:00,1768242600,1470,1479.8,1445.5,1460.7,403722
2026-01-14,00:00:00,1768329000,1459,1459,1429.1,1439.9,464407
2026-01-16,00:00:00,1768501800,1440,1448.5,1407,1411.4,432002
2026-01-19,00:00:00,1768761000,1405.2,1417.6,1395,1398.4,592965
2026-01-20,00:00:00,1768847400,1390.5,1402.4,1319.2,1324.3,634651
2026-01-21,00:00:00,1768933800,1320,1331.3,1274.2,1290.6,868081
2026-01-22,00:00:00,1769020200,1304,1313,1274.9,1293.5,740297
2026-01-23,00:00:00,1769106600,1298,1363,1295,1315.4,1639531
2026-01-27,00:00:00,1769452200,1320,1343.4,1288,1330.6,879649
2026-01-28,00:00:00,1769538600,1341,1379.9,1333.6,1372.9,744898
2026-01-29,00:00:00,1769625000,1374.9,1374.9,1332.6,1349.1,712808
2026-01-30,00:00:00,1769711400,1341.4,1364.2,1280,1327.9,1448958
2026-02-01,00:00:00,1769884200,1328,1331.1,1283.3,1294.8,248364
2026-02-02,00:00:00,1769970600,1297.4,1331.7,1270,1326.8,804266
2026-02-03,00:00:00,1770057000,1351,1387,1350.1,1366.9,885505
2026-02-04,00:00:00,1770143400,1368.4,1427,1360.2,1419.5,598049
2026-02-05,00:00:00,1770229800,1429,1434.2,1404.7,1426.8,392029
2026-02-06,00:00:00,1770316200,1420,1439.4,1404.1,1435,458866
2026-02-09,00:00:00,1770575400,1440,1506,1431.4,1502.9,769229
2026-02-10,00:00:00,1770661800,1510,1530,1459.3,1475.6,1416129
2026-02-11,00:00:00,1770748200,1482.8,1509.5,1472.3,1506.5,633002
2026-02-12,00:00:00,1770834600,1502.3,1546.8,1488.6,1535.8,1343371
2026-02-13,00:00:00,1770921000,1534,1534,1510.2,1525.4,534253
2026-02-16,00:00:00,1771180200,1530,1539.8,1517.4,1530.6,300771
2026-02-17,00:00:00,1771266600,1540,1540,1513.2,1529.7,444923
2026-02-18,00:00:00,1771353000,1534.9,1552.8,1519.6,1543.4,1073285
2026-02-19,00:00:00,1771439400,1551,1551.3,1504,1512.7,657967
2026-02-20,00:00:00,1771525800,1509.9,1550.9,1505.1,1546.9,935468
2026-02-23,00:00:00,1771785000,1548.1,1563,1529.7,1538.2,555656
2026-02-24,00:00:00,1771871400,1534.1,1555,1531,1538,927647
2026-02-25,00:00:00,1771957800,1548,1566.4,1513.1,1522.4,1200666
2026-02-26,00:00:00,1772044200,1533,1559,1521,1544.5,1229111
2026-02-27,00:00:00,1772130600,1550,1582.5,1534.2,1561.3,1650861
2026-03-02,00:00:00,1772389800,1521,1539,1482.7,1499.1,1419196
2026-03-04,00:00:00,1772562600,1470.1,1480,1430,1438.9,664840
2026-03-05,00:00:00,1772649000,1438.9,1498,1438,1485.3,821653
2026-03-06,00:00:00,1772735400,1480,1489.4,1460.2,1478.4,686869
2026-03-09,00:00:00,1772994600,1462,1469.7,1413,1436.5,1094929
2026-03-10,00:00:00,1773081000,1460,1472,1434,1448.9,415157
2026-03-11,00:00:00,1773167400,1455,1509.8,1453.2,1471.4,1149992
2026-03-12,00:00:00,1773253800,1469,1474.8,1420,1449.4,799532
2026-03-13,00:00:00,1773340200,1440,1448.9,1385.2,1414.2,1524789
2026-03-16,00:00:00,1773599400,1410.6,1421.6,1361,1406.4,814633
2026-03-17,00:00:00,1773685800,1419,1427.6,1396.5,1420.4,582855
2026-03-18,00:00:00,1773772200,1420,1448,1410.3,1422.6,441894
2026-03-19,00:00:00,1773858600,1400,1401.9,1341.4,1347.2,1242317
2026-03-20,00:00:00,1773945000,1353,1378,1318.4,1324.5,681533
2026-03-23,00:00:00,1774204200,1305,1305,1223,1251.2,1982017
2026-03-24,00:00:00,1774290600,1283.4,1309.9,1246.4,1302.1,1335206
2026-03-25,00:00:00,1774377000,1317.7,1381,1317.7,1368.8,1350940
2026-03-27,00:00:00,1774549800,1350,1359,1317.9,1322.6,1254069
2026-03-30,00:00:00,1774809000,1291,1313.5,1253.1,1272.8,1622222
2026-04-01,00:00:00,1774981800,1300,1310.4,1214.4,1249.7,2810600
2026-04-02,00:00:00,1775068200,1239.2,1241.4,1186.8,1235.4,2452341
2026-04-06,00:00:00,1775413800,1225,1256.6,1204.1,1252,1213038
2026-04-07,00:00:00,1775500200,1235.3,1245.2,1213,1220.2,1023903
2026-04-08,00:00:00,1775586600,1250,1278,1246.4,1264.8,1548576
2026-04-09,00:00:00,1775673000,1264.8,1291.7,1241.2,1283.9,2040449
2026-04-10,00:00:00,1775759400,1299.7,1319,1280.5,1315.6,1419604
2026-04-13,00:00:00,1776018600,1286,1368,1271.7,1361.6,2793680
2026-04-15,00:00:00,1776191400,1390,1412.8,1380.8,1402.2,1396462
2026-04-16,00:00:00,1776277800,1409,1432.1,1387.2,1408.8,1292882
2026-04-17,00:00:00,1776364200,1416.6,1447.8,1393.5,1440.1,1266294
2026-04-20,00:00:00,1776623400,1447,1476.5,1429.9,1438,1789507
