Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-12-03,00:00:00,1764700200,22.85,22.87,22.32,22.4,102870973
2025-12-04,00:00:00,1764786600,22.49,22.97,22.33,22.76,135564479
2025-12-05,00:00:00,1764873000,22.79,22.79,22.47,22.6,81360183
2025-12-08,00:00:00,1765132200,22.63,22.69,21.8,21.9,92735902
2025-12-09,00:00:00,1765218600,21.79,22.18,21.58,22.02,75695676
2025-12-10,00:00:00,1765305000,22.03,22.19,21.67,21.72,59340201
2025-12-11,00:00:00,1765391400,21.78,22,21.6,21.94,49809860
2025-12-12,00:00:00,1765477800,21.94,22.09,21.84,21.92,65886403
2025-12-15,00:00:00,1765737000,21.87,21.95,21.7,21.76,42862660
2025-12-16,00:00:00,1765823400,21.7,21.8,21.33,21.5,58377894
2025-12-17,00:00:00,1765909800,21.51,21.68,21.46,21.56,52042505
2025-12-18,00:00:00,1765996200,21.56,21.59,21.3,21.44,37324141
2025-12-19,00:00:00,1766082600,21.45,21.76,21.45,21.7,86903781
2025-12-22,00:00:00,1766341800,21.78,21.86,21.7,21.78,40151576
2025-12-23,00:00:00,1766428200,21.78,21.87,21.65,21.74,41573838
2025-12-24,00:00:00,1766514600,21.73,21.95,21.66,21.69,45436981
2025-12-26,00:00:00,1766687400,21.67,21.73,21.47,21.52,37356486
2025-12-29,00:00:00,1766946600,21.52,21.59,21.31,21.36,50264490
2025-12-30,00:00:00,1767033000,21.4,21.48,21.15,21.37,267083134
2025-12-31,00:00:00,1767119400,21.4,21.78,21.39,21.6,64801196
2026-01-01,00:00:00,1767205800,21.66,21.7,21.44,21.49,32482816
2026-01-02,00:00:00,1767292200,21.5,22.34,21.48,22.29,114890325
2026-01-05,00:00:00,1767551400,22.35,22.91,22.18,22.83,153037809
2026-01-06,00:00:00,1767637800,22.8,23.2,22.67,22.81,121289455
2026-01-07,00:00:00,1767724200,22.89,23.57,22.72,23.5,188593277
2026-01-08,00:00:00,1767810600,23.49,23.5,22.62,22.72,137071427
2026-01-09,00:00:00,1767897000,22.62,23.23,22.55,22.84,109751170
2026-01-12,00:00:00,1768156200,22.8,23.04,22.46,22.96,113760125
2026-01-13,00:00:00,1768242600,23.06,23.12,22.6,22.79,65671077
2026-01-14,00:00:00,1768329000,22.8,23.06,22.67,22.95,69741380
2026-01-16,00:00:00,1768501800,23,23.67,23,23.46,171164616
2026-01-19,00:00:00,1768761000,23.99,23.99,22.66,22.76,195595177
2026-01-20,00:00:00,1768847400,22.65,22.69,21.61,21.7,165413896
2026-01-21,00:00:00,1768933800,21.68,22.02,21.51,21.66,133777591
2026-01-22,00:00:00,1769020200,21.89,22.05,21.55,21.63,93938702
2026-01-23,00:00:00,1769106600,21.73,21.76,20.8,20.92,120490912
2026-01-27,00:00:00,1769452200,21,21.18,20.68,21.02,111906765
2026-01-28,00:00:00,1769538600,21.2,21.55,21.18,21.48,87803981
2026-01-29,00:00:00,1769625000,21.48,21.55,21.02,21.31,262833336
2026-01-30,00:00:00,1769711400,21.15,21.48,21.02,21.41,81922208
2026-02-01,00:00:00,1769884200,21.45,21.56,20.9,21.14,57297614
2026-02-02,00:00:00,1769970600,21.18,21.35,20.81,21.19,76912343
2026-02-03,00:00:00,1770057000,21.99,21.99,21.25,21.31,92631268
2026-02-04,00:00:00,1770143400,21.31,21.63,21.26,21.55,101189935
2026-02-05,00:00:00,1770229800,21.59,21.65,21.2,21.38,79887065
2026-02-06,00:00:00,1770316200,21.36,21.43,21.07,21.29,63575388
2026-02-09,00:00:00,1770575400,21.39,21.64,21.3,21.56,66727230
