Date,Time,Timestamp,Open,High,Low,Close,Volume
2024-06-03,00:00:00,1717353000.0,1045.0,1064.2,933.8,1055.8,9895190.0
2024-06-10,00:00:00,1717957800.0,1062.9,1111.8,1059.0,1109.55,6482733.0
2024-06-18,00:00:00,1718649000.0,1107.5,1109.5,1050.0,1085.05,4974064.0
2024-06-24,00:00:00,1719167400.0,1080.1,1091.3,1050.05,1073.95,7234297.0
2024-07-01,00:00:00,1719772200.0,1093.35,1166.85,1059.0,1162.45,12118001.0
2024-07-08,00:00:00,1720377000.0,1164.9,1203.0,1134.0,1175.15,8917419.0
2024-07-15,00:00:00,1720981800.0,1174.0,1198.95,1137.15,1144.45,4990335.0
2024-07-22,00:00:00,1721586600.0,1135.0,1215.0,1123.2,1206.05,6136390.0
2024-07-29,00:00:00,1722191400.0,1227.0,1265.0,1210.5,1249.9,7011485.0
2024-08-05,00:00:00,1722796200.0,1210.05,1324.3,1210.05,1300.9,11553906.0
2024-08-12,00:00:00,1723401000.0,1298.0,1298.0,1157.2,1187.55,14331633.0
2024-08-19,00:00:00,1724005800.0,1197.95,1220.0,1171.0,1178.7,9930232.0
2024-08-26,00:00:00,1724610600.0,1130.0,1159.35,1105.1,1127.9,51154139.0
2024-09-02,00:00:00,1725215400.0,1127.0,1139.95,1097.2,1100.0,9452512.0
2024-09-09,00:00:00,1725820200.0,1100.0,1135.1,1088.95,1118.55,5866433.0
2024-09-16,00:00:00,1726425000.0,1133.0,1133.0,1042.1,1054.6,8316842.0
2024-09-23,00:00:00,1727029800.0,1062.8,1078.5,1038.55,1075.95,8510736.0
2024-09-30,00:00:00,1727634600.0,1080.9,1088.85,1050.1,1057.35,6772434.0
2024-10-07,00:00:00,1728239400.0,1060.85,1071.55,1036.6,1064.4,5035815.0
2024-10-14,00:00:00,1728844200.0,1065.3,1071.75,1008.5,1022.45,7556107.0
2024-10-21,00:00:00,1729449000.0,1022.45,1029.25,983.95,990.6,4830995.0
2024-10-28,00:00:00,1730053800.0,990.6,1016.8,977.0,1004.0,3806170.0
2024-11-04,00:00:00,1730658600.0,1008.0,1011.65,965.0,970.35,6099730.0
2024-11-11,00:00:00,1731263400.0,970.0,990.0,933.0,957.4,6817457.0
2024-11-18,00:00:00,1731868200.0,964.05,966.0,933.6,949.05,2573974.0
2024-11-25,00:00:00,1732473000.0,955.15,972.75,945.0,965.95,5230231.0
2024-12-02,00:00:00,1733077800.0,965.95,996.65,961.55,995.1,5428381.0
2024-12-09,00:00:00,1733682600.0,995.1,1000.0,955.05,978.5,3962966.0
2024-12-16,00:00:00,1734287400.0,981.5,991.1,965.0,973.5,4336133.0
2024-12-23,00:00:00,1734892200.0,978.75,985.5,953.1,972.4,4021833.0
2024-12-30,00:00:00,1735497000.0,973.2,997.4,952.5,975.8,7604785.0
2025-01-06,00:00:00,1736101800.0,974.75,1027.95,954.9,1004.4,12773625.0
2025-01-13,00:00:00,1736706600.0,990.1,1007.3,966.25,994.65,4791224.0
2025-01-20,00:00:00,1737311400.0,1005.0,1008.8,955.0,957.6,2795002.0
2025-01-27,00:00:00,1737916200.0,950.0,980.65,891.15,975.8,4939042.0
2025-02-03,00:00:00,1738521000.0,972.0,1026.55,945.0,994.15,11755390.0
2025-02-10,00:00:00,1739125800.0,996.0,998.4,897.1,901.85,3707081.0
2025-02-17,00:00:00,1739730600.0,904.3,928.9,855.1,885.35,7794401.0
2025-02-24,00:00:00,1740335400.0,885.35,905.0,867.1,876.6,4890802.0
2025-03-03,00:00:00,1740940200.0,879.0,925.0,859.5,900.8,6069385.0
2025-03-10,00:00:00,1741545000.0,900.8,911.15,872.0,883.1,3813641.0
2025-03-17,00:00:00,1742149800.0,888.35,930.0,887.15,918.6,5896204.0
2025-03-24,00:00:00,1742754600.0,918.6,939.5,880.55,886.4,7181076.0
2025-04-01,00:00:00,1743445800.0,888.0,949.65,834.5,866.9,9968993.0
2025-04-07,00:00:00,1743964200.0,795.0,879.0,795.0,868.85,7298248.0
2025-04-15,00:00:00,1744655400.0,889.8,889.8,813.0,831.55,15892552.0
2025-04-21,00:00:00,1745173800.0,832.35,887.25,830.25,859.65,6283426.0
2025-04-28,00:00:00,1745778600.0,862.95,901.85,861.25,885.6,4265455.0
2025-05-05,00:00:00,1746383400.0,885.6,895.0,859.0,878.65,3920923.0
2025-05-12,00:00:00,1746988200.0,881.0,909.5,866.25,902.7,4507069.0
2025-05-19,00:00:00,1747593000.0,906.0,920.0,865.65,908.6,8175816.0
2025-05-26,00:00:00,1748197800.0,914.0,934.0,908.1,930.0,4752170.0
2025-06-02,00:00:00,1748802600.0,933.95,962.5,917.05,960.15,5342034.0
2025-06-09,00:00:00,1749407400.0,964.9,995.7,959.85,974.95,5512071.0
2025-06-16,00:00:00,1750012200.0,971.0,977.0,944.0,957.1,4939943.0
2025-06-23,00:00:00,1750617000.0,948.6,988.95,946.9,981.8,4882791.0
2025-06-30,00:00:00,1751221800.0,987.5,1015.0,978.7,1001.0,4535754.0
2025-07-07,00:00:00,1751826600.0,1001.0,1003.95,965.0,979.6,4131962.0
2025-07-14,00:00:00,1752431400.0,982.05,990.5,961.5,974.95,4407197.0
2025-07-21,00:00:00,1753036200.0,974.0,981.95,951.55,976.4,4072227.0
2025-07-28,00:00:00,1753641000.0,976.4,1000.2,946.35,949.05,5224020.0
2025-08-04,00:00:00,1754245800.0,949.95,964.2,919.05,936.15,3704709.0
2025-08-11,00:00:00,1754850600.0,940.95,1002.85,934.05,988.8,3896665.0
2025-08-18,00:00:00,1755455400.0,988.8,999.9,977.3,988.8,2956356.0
2025-08-25,00:00:00,1756060200.0,992.05,1029.5,968.4,981.05,7504799.0
2025-09-01,00:00:00,1756665000.0,988.0,1039.05,987.0,1013.85,7150808.0
2025-09-08,00:00:00,1757269800.0,1014.05,1054.6,1006.05,1044.75,4189184.0
2025-09-15,00:00:00,1757874600.0,1047.0,1059.05,1025.5,1037.3,3689328.0
2025-09-22,00:00:00,1758479400.0,1037.3,1048.4,972.7,975.0,5522982.0
2025-09-29,00:00:00,1759084200.0,975.0,1001.7,975.0,988.3,3063532.0
2025-10-06,00:00:00,1759689000.0,988.3,1015.65,975.3,993.45,6231175.0
2025-10-13,00:00:00,1760293800.0,990.0,998.0,974.55,987.65,3696464.0
2025-10-20,00:00:00,1760898600.0,988.0,1016.0,988.0,1004.9,2156473.0
2025-10-27,00:00:00,1761503400.0,1013.55,1017.15,973.5,974.45,2829028.0
2025-11-03,00:00:00,1762108200.0,970.5,998.0,926.85,944.1,4566742.0
2025-11-10,00:00:00,1762713000.0,947.0,973.0,935.05,944.45,4822707.0
2025-11-17,00:00:00,1763317800.0,948.0,949.95,920.5,924.3,3575575.0
2025-11-24,00:00:00,1763922600.0,927.0,948.8,921.0,942.5,8090622.0
2025-12-01,00:00:00,1764527400.0,942.1,947.0,929.25,931.45,4282851.0
2025-12-08,00:00:00,1765132200.0,930.0,938.7,912.6,929.15,3707844.0
2025-12-15,00:00:00,1765737000.0,929.0,929.6,909.35,919.6,2830959.0
2025-12-22,00:00:00,1766341800.0,925.2,937.0,909.0,911.55,1849952.0
2025-12-29,00:00:00,1766946600.0,912.2,921.15,896.75,916.9,2327562.0
2026-01-05,00:00:00,1767551400.0,915.1,941.0,890.5,894.9,2638640.0
2026-01-12,00:00:00,1768156200.0,888.0,902.05,865.4,868.1,2699673.0
2026-01-19,00:00:00,1768761000.0,868.1,897.15,855.95,882.0,3338596.0
2026-01-27,00:00:00,1769452200.0,890.0,899.2,875.95,878.1,2041797.0
2026-02-02,00:00:00,1769970600.0,876.3,916.85,863.65,888.15,2863128.0
2026-02-09,00:00:00,1770575400.0,897.45,933.35,882.0,904.7,7288523.0
2026-02-16,00:00:00,1771180200.0,905.0,919.75,898.3,900.75,2231941.0
2026-02-23,00:00:00,1771785000.0,906.95,947.55,899.1,921.7,3769796.0
2026-03-02,00:00:00,1772389800.0,893.65,919.5,889.0,913.05,2718026.0
2026-03-09,00:00:00,1772994600.0,888.0,936.15,885.1,905.9,2921150.0
2026-03-16,00:00:00,1773599400.0,907.1,911.9,874.0,890.5,2683865.0
2026-03-23,00:00:00,1774204200.0,890.45,914.0,858.0,896.7,2604949.0
2026-03-30,00:00:00,1774809000.0,885.0,900.0,835.5,864.25,2907508.0
2026-04-06,00:00:00,1775413800.0,870.0,917.0,853.05,915.4,3269714.0
2026-04-13,00:00:00,1776018600.0,902.7,948.0,893.4,943.95,2181265.0
2026-04-20,00:00:00,1776623400.0,945.0,962.9,921.7,927.4,3462673.0
2026-04-27,00:00:00,1777228200.0,929.6,953.9,890.4,891.9,4295740.0
2026-05-04,00:00:00,1777833000.0,895.0,953.0,893.15,940.05,3426720.0
2026-05-11,00:00:00,1778437800.0,940.0,1018.8,925.1,1011.7,8970159.0
2026-05-18,00:00:00,1779042600.0,1010.0,1093.65,987.85,1038.95,23892773.0
2026-05-25,00:00:00,1779647400.0,1049.8,1115.5,1041.5,1077.7,11008524.0
