Date,Time,Timestamp,Open,High,Low,Close,Volume
2026-05-29,09:15:00,1780026300,482,482,471.2,472.5,6400
2026-05-29,09:16:00,1780026360,472.55,474.3,471.7,474.3,8165
2026-05-29,09:17:00,1780026420,474.25,475.2,474.25,474.75,14131
2026-05-29,09:18:00,1780026480,474.25,474.9,473.8,474.7,15460
2026-05-29,09:19:00,1780026540,474.8,474.95,474.1,474.1,16256
2026-05-29,09:20:00,1780026600,474.85,474.95,474.2,474.4,16788
2026-05-29,09:21:00,1780026660,474.9,474.9,473.65,473.65,17364
2026-05-29,09:22:00,1780026720,473.9,474.1,473.35,473.45,18185
2026-05-29,09:23:00,1780026780,473.2,473.75,473,473,18689
2026-05-29,09:24:00,1780026840,472.7,473.1,472.6,473,19790
2026-05-29,09:25:00,1780026900,472.6,472.6,472,472,21314
2026-05-29,09:26:00,1780026960,472.2,473,472,472.3,22444
2026-05-29,09:27:00,1780027020,472,472,471.55,471.55,23271
2026-05-29,09:28:00,1780027080,471.8,471.8,471.3,471.3,23909
2026-05-29,09:29:00,1780027140,471.15,471.45,471.1,471.45,24493
2026-05-29,09:30:00,1780027200,471.75,472.7,471.75,472.05,25769
2026-05-29,09:31:00,1780027260,471.8,471.8,471.2,471.2,26450
2026-05-29,09:32:00,1780027320,472.45,472.9,472,472.75,27315
2026-05-29,09:33:00,1780027380,472.65,472.85,472.3,472.3,27759
2026-05-29,09:34:00,1780027440,472.35,472.35,471.65,471.65,27962
2026-05-29,09:35:00,1780027500,471.9,472.25,471.75,472.2,28468
2026-05-29,09:36:00,1780027560,472.05,472.7,472.05,472.3,28890
2026-05-29,09:37:00,1780027620,472,472.8,472,472.8,29215
2026-05-29,09:38:00,1780027680,472.75,472.75,472.3,472.55,30061
2026-05-29,09:39:00,1780027740,472.5,472.8,472.5,472.8,30936
2026-05-29,09:40:00,1780027800,473.55,473.55,473.1,473.25,31261
2026-05-29,09:41:00,1780027860,473.3,473.3,472.8,472.85,31761
2026-05-29,09:42:00,1780027920,472.9,476.2,472.7,475.5,34915
2026-05-29,09:43:00,1780027980,475.55,475.55,475,475.1,36009
2026-05-29,09:44:00,1780028040,475.5,475.5,475,475,36509
2026-05-29,09:45:00,1780028100,475.1,476,475,476,36715
2026-05-29,09:46:00,1780028160,475.7,475.75,475.2,475.2,37035
2026-05-29,09:47:00,1780028220,475,476.3,475,476.05,37882
2026-05-29,09:48:00,1780028280,475.95,475.95,475.5,475.5,37995
2026-05-29,09:49:00,1780028340,475.8,475.95,475.5,475.95,39178
2026-05-29,09:50:00,1780028400,476,476.55,476,476.1,39552
2026-05-29,09:51:00,1780028460,475.8,476,475.6,475.6,40112
2026-05-29,09:52:00,1780028520,475.8,475.8,475.35,475.35,40180
2026-05-29,09:53:00,1780028580,475.55,475.9,475.55,475.9,41023
2026-05-29,09:54:00,1780028640,475.85,475.85,475.35,475.45,41314
2026-05-29,09:55:00,1780028700,475.8,475.8,475.3,475.3,41489
2026-05-29,09:56:00,1780028760,475.4,475.4,475.05,475.3,41638
2026-05-29,09:57:00,1780028820,475.05,475.2,475,475.15,41802
2026-05-29,09:58:00,1780028880,475.35,475.4,475.25,475.25,42339
2026-05-29,09:59:00,1780028940,475.05,475.5,475.05,475.5,42710
2026-05-29,10:00:00,1780029000,475.7,475.7,475.45,475.45,42984
2026-05-29,10:01:00,1780029060,475,475.3,475,475,43123
2026-05-29,10:02:00,1780029120,475.2,475.2,475,475,43521
2026-05-29,10:03:00,1780029180,475.05,475.5,475.05,475.5,43804
2026-05-29,10:04:00,1780029240,476,476,475.4,475.4,44163
2026-05-29,10:05:00,1780029300,475.2,475.75,475.2,475.75,44565
2026-05-29,10:06:00,1780029360,475.5,475.65,475.4,475.65,44891
2026-05-29,10:07:00,1780029420,475.75,476,475.4,475.4,45537
2026-05-29,10:08:00,1780029480,475.7,475.85,475.7,475.85,45665
2026-05-29,10:09:00,1780029540,475.3,475.65,475.3,475.65,45758
2026-05-29,10:10:00,1780029600,474.9,474.9,474.1,474.1,49700
2026-05-29,10:11:00,1780029660,474.2,475.6,474.2,474.6,52378
