Date,Time,Timestamp,Open,High,Low,Close,Volume
2024-06-03,00:00:00,1717353000.0,638.0,643.8,563.0,634.55,6696093.0
2024-06-10,00:00:00,1717957800.0,647.0,679.45,634.55,675.75,8375899.0
2024-06-18,00:00:00,1718649000.0,680.0,718.8,675.0,708.3,7178404.0
2024-06-24,00:00:00,1719167400.0,701.6,713.55,677.65,686.25,5838803.0
2024-07-01,00:00:00,1719772200.0,685.5,728.9,683.1,721.9,6141405.0
2024-07-08,00:00:00,1720377000.0,721.9,725.75,680.0,706.1,3193434.0
2024-07-15,00:00:00,1720981800.0,706.0,714.8,669.05,671.35,2558064.0
2024-07-22,00:00:00,1721586600.0,660.1,713.55,630.0,707.45,4308403.0
2024-07-29,00:00:00,1722191400.0,707.45,757.0,707.0,738.4,7746523.0
2024-08-05,00:00:00,1722796200.0,721.0,765.5,701.0,748.4,7546544.0
2024-08-12,00:00:00,1723401000.0,765.0,765.0,593.05,603.25,36827866.0
2024-08-19,00:00:00,1724005800.0,606.15,632.0,604.0,620.8,9491519.0
2024-08-26,00:00:00,1724610600.0,624.5,648.9,618.15,627.05,9991248.0
2024-09-02,00:00:00,1725215400.0,627.05,636.0,594.45,604.6,8833221.0
2024-09-09,00:00:00,1725820200.0,604.0,604.4,566.0,569.0,10921197.0
2024-09-16,00:00:00,1726425000.0,571.0,575.8,559.0,573.8,7706769.0
2024-09-23,00:00:00,1727029800.0,577.0,593.85,570.2,583.4,8835460.0
2024-09-30,00:00:00,1727634600.0,583.4,592.8,549.0,551.15,6242077.0
2024-10-07,00:00:00,1728239400.0,552.9,557.75,524.65,529.2,6682738.0
2024-10-14,00:00:00,1728844200.0,531.0,541.65,509.05,524.25,5284280.0
2024-10-21,00:00:00,1729449000.0,524.25,526.75,480.4,488.6,5912846.0
2024-10-28,00:00:00,1730053800.0,490.0,528.35,483.9,525.75,5675637.0
2024-11-04,00:00:00,1730658600.0,529.5,529.5,472.5,474.4,14923028.0
2024-11-11,00:00:00,1731263400.0,454.95,458.0,426.2,438.25,30544855.0
2024-11-18,00:00:00,1731868200.0,439.0,441.95,422.6,430.85,4295710.0
2024-11-25,00:00:00,1732473000.0,435.7,459.75,434.75,448.3,6920909.0
2024-12-02,00:00:00,1733077800.0,448.0,453.4,440.2,451.6,7144310.0
2024-12-09,00:00:00,1733682600.0,452.0,456.5,427.75,437.2,6411901.0
2024-12-16,00:00:00,1734287400.0,439.6,442.6,402.1,403.85,6006409.0
2024-12-23,00:00:00,1734892200.0,405.95,418.75,403.05,411.25,4854368.0
2024-12-30,00:00:00,1735497000.0,411.45,424.4,406.0,420.1,5535491.0
2025-01-06,00:00:00,1736101800.0,421.0,432.0,390.25,421.75,18906035.0
2025-01-13,00:00:00,1736706600.0,415.0,444.4,403.25,442.7,14343914.0
2025-01-20,00:00:00,1737311400.0,446.4,466.4,428.15,439.05,18000137.0
2025-01-27,00:00:00,1737916200.0,435.0,463.85,406.95,459.65,14527997.0
2025-02-03,00:00:00,1738521000.0,445.05,477.75,428.5,465.4,14040295.0
2025-02-10,00:00:00,1739125800.0,466.9,467.85,409.8,414.95,5886941.0
2025-02-17,00:00:00,1739730600.0,409.35,427.1,404.15,412.65,3937912.0
2025-02-24,00:00:00,1740335400.0,411.95,411.95,374.45,376.0,5272417.0
2025-03-03,00:00:00,1740940200.0,377.0,413.55,364.15,406.3,5561784.0
2025-03-10,00:00:00,1741545000.0,406.3,414.4,382.1,382.75,4047246.0
2025-03-17,00:00:00,1742149800.0,385.0,409.45,382.25,407.25,6065338.0
2025-03-24,00:00:00,1742754600.0,410.4,412.2,385.2,390.75,7836466.0
2025-04-01,00:00:00,1743445800.0,391.25,404.25,372.0,374.05,5486156.0
2025-04-07,00:00:00,1743964200.0,357.55,387.1,344.2,382.95,6716783.0
2025-04-15,00:00:00,1744655400.0,387.9,407.8,386.1,399.75,4889535.0
2025-04-21,00:00:00,1745173800.0,401.1,448.95,399.05,428.95,19083528.0
2025-04-28,00:00:00,1745778600.0,428.95,438.35,418.6,426.65,3387328.0
2025-05-05,00:00:00,1746383400.0,426.65,470.9,424.05,451.6,17865023.0
2025-05-12,00:00:00,1746988200.0,465.0,476.7,457.0,474.65,8873980.0
2025-05-19,00:00:00,1747593000.0,474.65,492.9,464.2,469.3,7754331.0
2025-05-26,00:00:00,1748197800.0,470.0,495.0,464.0,469.25,8735189.0
2025-06-02,00:00:00,1748802600.0,470.0,490.05,463.25,476.85,5292085.0
2025-06-09,00:00:00,1749407400.0,479.75,492.4,457.5,462.1,6958181.0
2025-06-16,00:00:00,1750012200.0,461.95,468.9,433.35,441.3,6454171.0
2025-06-23,00:00:00,1750617000.0,435.0,480.5,434.1,479.15,9203299.0
2025-06-30,00:00:00,1751221800.0,480.05,487.0,473.1,476.55,4010206.0
2025-07-07,00:00:00,1751826600.0,475.95,478.65,440.0,441.0,4739662.0
2025-07-14,00:00:00,1752431400.0,439.0,459.65,436.5,446.65,4427792.0
2025-07-21,00:00:00,1753036200.0,447.0,448.2,417.5,430.25,9234198.0
2025-07-28,00:00:00,1753641000.0,430.85,450.6,404.2,406.35,14645448.0
2025-08-04,00:00:00,1754245800.0,407.65,409.2,373.0,375.1,9348327.0
2025-08-11,00:00:00,1754850600.0,375.1,393.25,367.5,376.1,4845237.0
2025-08-18,00:00:00,1755455400.0,380.05,395.75,375.3,382.3,3321615.0
2025-08-25,00:00:00,1756060200.0,382.95,391.65,372.0,376.1,2413486.0
2025-09-01,00:00:00,1756665000.0,376.1,389.0,375.05,376.55,2379433.0
2025-09-08,00:00:00,1757269800.0,377.65,400.1,376.4,389.4,3768975.0
2025-09-15,00:00:00,1757874600.0,391.25,398.7,385.65,393.2,2865569.0
2025-09-22,00:00:00,1758479400.0,394.0,395.25,371.5,374.6,2172244.0
2025-09-29,00:00:00,1759084200.0,374.65,382.8,370.1,380.6,1195038.0
2025-10-06,00:00:00,1759689000.0,380.6,383.05,373.1,378.0,1646932.0
2025-10-13,00:00:00,1760293800.0,378.05,385.6,370.0,374.8,2440650.0
2025-10-20,00:00:00,1760898600.0,376.1,385.0,371.8,381.7,1263353.0
2025-10-27,00:00:00,1761503400.0,383.0,388.0,376.1,379.95,1835393.0
2025-11-03,00:00:00,1762108200.0,379.95,419.5,379.5,391.8,21529126.0
2025-11-10,00:00:00,1762713000.0,389.5,401.8,384.8,393.0,4079843.0
2025-11-17,00:00:00,1763317800.0,393.0,398.95,381.4,384.75,2216335.0
2025-11-24,00:00:00,1763922600.0,384.05,385.8,376.65,382.3,1782028.0
2025-12-01,00:00:00,1764527400.0,384.35,384.35,362.0,363.05,2181729.0
2025-12-08,00:00:00,1765132200.0,366.05,367.0,345.05,356.95,3125301.0
2025-12-15,00:00:00,1765737000.0,363.0,382.8,360.65,369.8,12077175.0
2025-12-22,00:00:00,1766341800.0,370.2,392.7,369.0,376.4,2923717.0
2025-12-29,00:00:00,1766946600.0,376.0,380.3,365.9,376.95,2047165.0
2026-01-05,00:00:00,1767551400.0,376.0,379.7,360.65,361.65,1838163.0
2026-01-12,00:00:00,1768156200.0,361.65,365.7,352.55,354.6,2034000.0
2026-01-19,00:00:00,1768761000.0,354.0,357.75,338.05,352.8,3026171.0
2026-01-27,00:00:00,1769452200.0,352.0,375.75,346.15,370.7,3141362.0
2026-02-02,00:00:00,1769970600.0,366.0,456.4,360.85,440.95,23179925.0
2026-02-09,00:00:00,1770575400.0,448.9,474.7,443.1,446.4,7222540.0
2026-02-16,00:00:00,1771180200.0,446.4,468.8,445.0,450.65,3056600.0
2026-02-23,00:00:00,1771785000.0,454.0,462.95,437.0,447.15,2610153.0
2026-03-02,00:00:00,1772389800.0,416.0,450.25,400.0,419.35,3798148.0
2026-03-09,00:00:00,1772994600.0,404.65,456.75,399.4,420.75,6591772.0
2026-03-16,00:00:00,1773599400.0,420.95,437.65,410.35,427.35,3916655.0
2026-03-23,00:00:00,1774204200.0,420.95,435.5,401.65,417.4,3364399.0
2026-03-30,00:00:00,1774809000.0,413.5,416.9,395.9,408.7,2582001.0
2026-04-06,00:00:00,1775413800.0,408.7,432.0,394.6,423.75,3509617.0
2026-04-13,00:00:00,1776018600.0,418.0,442.5,410.0,440.85,7849560.0
2026-04-20,00:00:00,1776623400.0,442.8,480.2,436.1,472.75,5689518.0
2026-04-27,00:00:00,1777228200.0,478.0,512.4,477.1,507.5,7960118.0
2026-05-04,00:00:00,1777833000.0,513.0,523.1,475.55,485.45,11727331.0
2026-05-11,00:00:00,1778437800.0,482.0,498.0,458.25,466.25,3994365.0
2026-05-18,00:00:00,1779042600.0,461.0,484.8,440.6,476.2,3878905.0
2026-05-25,00:00:00,1779647400.0,479.0,501.4,470.6,475.0,3115035.0
