Date,Time,Timestamp,Open,High,Low,Close,Volume
2026-05-04,09:15:00,1777866300,896.1,899.85,886.25,891,69077
2026-05-04,10:15:00,1777869900,889.75,892.9,887,891.95,88363
2026-05-04,11:15:00,1777873500,892,898.25,890.4,891.4,116203
2026-05-04,12:15:00,1777877100,891.35,893.15,885.2,886.6,143156
2026-05-04,13:15:00,1777880700,886.65,888.3,880,888.2,163449
2026-05-04,14:15:00,1777884300,888,890.3,882.05,888.9,184063
2026-05-04,15:15:00,1777887900,889,897,889,894,202287
2026-05-05,09:15:00,1777952700,889.75,896.45,885,889.85,32530
2026-05-05,10:15:00,1777956300,889.35,890.1,884.05,886.35,49384
2026-05-05,11:15:00,1777959900,886.4,886.7,877.05,883.8,81429
2026-05-05,12:15:00,1777963500,883.85,888,882.85,886.35,94980
2026-05-05,13:15:00,1777967100,885.85,886.8,880.3,880.9,102493
2026-05-05,14:15:00,1777970700,880.65,883.95,880.3,881.5,119680
2026-05-05,15:15:00,1777974300,881.8,884.65,881.05,882,134332
2026-05-06,09:15:00,1778039100,885,891.15,883.7,889.4,29510
2026-05-06,10:15:00,1778042700,889.3,890,885.15,886.9,47967
2026-05-06,11:15:00,1778046300,886,888.5,885,886.45,58136
2026-05-06,12:15:00,1778049900,885,887.8,883.7,887.2,74715
2026-05-06,13:15:00,1778053500,887.25,887.75,885.75,886.9,88137
2026-05-06,14:15:00,1778057100,887,891.85,886,887.95,217858
2026-05-06,15:15:00,1778060700,886.9,888.85,886.1,886.1,324334
2026-05-07,09:15:00,1778125500,893.9,910,893,905.8,270939
2026-05-07,10:15:00,1778129100,906.3,907.45,905,906.3,305293
2026-05-07,11:15:00,1778132700,906.35,906.8,903.6,905.25,329403
2026-05-07,12:15:00,1778136300,905.3,910.8,905,906,428018
2026-05-07,13:15:00,1778139900,905.85,908.4,904.5,906.4,488916
2026-05-07,14:15:00,1778143500,906.4,907.85,903.55,903.55,532223
2026-05-07,15:15:00,1778147100,904.25,907.4,903.55,907,582088
2026-05-08,09:15:00,1778211900,909,911.55,894,897,66875
2026-05-08,10:15:00,1778215500,897.55,897.55,893.55,895.95,88428
2026-05-08,11:15:00,1778219100,896.45,937.9,845.55,934.75,2116906
2026-05-08,12:15:00,1778222700,933.75,966.05,933.3,945.9,3771252
2026-05-08,13:15:00,1778226300,945.8,954.3,937,946.05,4064620
2026-05-08,14:15:00,1778229900,945.9,957,943.25,947.85,4299773
2026-05-08,15:15:00,1778233500,947.15,950,945,950,4410524
2026-05-11,09:15:00,1778471100,946.9,946.9,911.55,921.65,269748
2026-05-11,10:15:00,1778474700,922.35,931,915.4,930.15,334927
2026-05-11,11:15:00,1778478300,930.5,943.45,930,935.7,436949
2026-05-11,12:15:00,1778481900,935.8,936.5,931.95,933.45,467216
2026-05-11,13:15:00,1778485500,933,934.15,930.05,930.8,496519
2026-05-11,14:15:00,1778489100,930.85,933.3,920.15,921.4,564884
2026-05-11,15:15:00,1778492700,920.8,924.8,920,922.9,585657
2026-05-12,09:15:00,1778557500,921.65,932.85,897.55,915.1,120180
2026-05-12,10:15:00,1778561100,913.25,915.9,900.45,901,154315
2026-05-12,11:15:00,1778564700,900.4,905.05,899,903,184434
2026-05-12,12:15:00,1778568300,902.7,903.15,891.8,895.75,229561
2026-05-12,13:15:00,1778571900,895,897.85,884,884,276207
2026-05-12,14:15:00,1778575500,883.9,889.9,877.3,879.45,331872
2026-05-12,15:15:00,1778579100,878.2,887.4,878,885.8,367554
2026-05-13,09:15:00,1778643900,879.45,902.8,879.45,896.75,100127
2026-05-13,10:15:00,1778647500,896.8,899.6,883,886.4,135632
2026-05-13,11:15:00,1778651100,886.65,891.55,886.65,890,159524
2026-05-13,12:15:00,1778654700,891.5,892.9,885.55,890.15,182281
2026-05-13,13:15:00,1778658300,890.45,894.95,888,890.7,202401
2026-05-13,14:15:00,1778661900,890.9,890.95,885.35,885.55,227151
2026-05-13,15:15:00,1778665500,885.6,890,885.15,890,247663
