Date,Time,Timestamp,Open,High,Low,Close,Volume
2026-05-26,09:15:00,1779767100,893,914.9,893,908.85,888924
2026-05-26,09:20:00,1779767400,910.75,923.6,909,917.1,1779742
2026-05-26,09:25:00,1779767700,917,919.1,909,911.6,2211358
2026-05-26,09:30:00,1779768000,911.05,914.95,908,913,2474644
2026-05-26,09:35:00,1779768300,913.25,916.6,909.05,910.3,2708589
2026-05-26,09:40:00,1779768600,910.85,910.9,905,908.65,2973353
2026-05-26,09:45:00,1779768900,908.25,909.8,907,907.55,3095470
2026-05-26,09:50:00,1779769200,908,908.6,903.85,904,3262705
2026-05-26,09:55:00,1779769500,903.9,908,903.8,907.5,3349719
2026-05-26,10:00:00,1779769800,908.3,912.8,904.25,910.5,3565435
2026-05-26,10:05:00,1779770100,910.75,911,905.65,906,3618775
2026-05-26,10:10:00,1779770400,906.25,909.5,905.85,907.15,3690951
2026-05-26,10:15:00,1779770700,906.8,907.35,902.1,904.8,3833715
2026-05-26,10:20:00,1779771000,904.95,904.95,900.75,902.35,3924460
2026-05-26,10:25:00,1779771300,902.55,904,901.8,903.9,3976741
2026-05-26,10:30:00,1779771600,903.95,904,896.6,897,4123813
2026-05-26,10:35:00,1779771900,896.55,901.5,895.5,901,4225444
2026-05-26,10:40:00,1779772200,900.45,902.4,900.45,902,4263860
2026-05-26,10:45:00,1779772500,902.7,906.3,900.1,904.95,4363395
2026-05-26,10:50:00,1779772800,904.55,906.5,901.05,903.35,4423767
2026-05-26,10:55:00,1779773100,903.4,904.7,903,903.1,4453327
2026-05-26,11:00:00,1779773400,902.2,905,902.2,904.5,4485678
2026-05-26,11:05:00,1779773700,904.2,904.5,903,903.2,4506519
2026-05-26,11:10:00,1779774000,903.1,903.5,901.05,901.85,4535285
2026-05-26,11:15:00,1779774300,901.6,902.9,901.1,902.3,4550453
2026-05-26,11:20:00,1779774600,901.85,902.35,900.1,900.1,4579282
2026-05-26,11:25:00,1779774900,900.15,902,900.1,901.6,4595157
2026-05-26,11:30:00,1779775200,901.15,901.4,896.5,897.05,4650456
2026-05-26,11:35:00,1779775500,897.8,899,895,895.45,4731481
2026-05-26,11:40:00,1779775800,895.05,897,894,896,4787787
2026-05-26,11:45:00,1779776100,895.8,896.05,892.1,895,4860737
2026-05-26,11:50:00,1779776400,894.65,894.9,892.5,893,4886762
2026-05-26,11:55:00,1779776700,892.65,893.95,890,890.25,4957823
2026-05-26,12:00:00,1779777000,890.2,892.5,890,891.4,4996147
2026-05-26,12:05:00,1779777300,890.95,892.8,890.1,892.05,5028637
2026-05-26,12:10:00,1779777600,892.55,892.8,891.25,891.6,5049539
2026-05-26,12:15:00,1779777900,891.25,891.6,888.2,889.05,5104127
2026-05-26,12:20:00,1779778200,889.4,889.9,888.5,889,5125329
2026-05-26,12:25:00,1779778500,889.3,889.75,886.9,889.4,5172992
2026-05-26,12:30:00,1779778800,889.2,889.8,888,889.45,5200835
2026-05-26,12:35:00,1779779100,889.75,890.5,889.45,890.4,5217876
2026-05-26,12:40:00,1779779400,889.9,892.05,889.9,891.4,5251938
2026-05-26,12:45:00,1779779700,891.3,891.4,888,888.5,5290734
2026-05-26,12:50:00,1779780000,888.4,889.75,888,889.75,5310582
2026-05-26,12:55:00,1779780300,889.5,892.45,889.5,890.45,5347159
2026-05-26,13:00:00,1779780600,890.05,891,890,890,5360416
2026-05-26,13:05:00,1779780900,890.2,890.5,888.85,889.4,5380418
2026-05-26,13:10:00,1779781200,889.7,889.7,888.25,888.45,5389167
2026-05-26,13:15:00,1779781500,888.9,889,886.9,887.2,5430439
2026-05-26,13:20:00,1779781800,887.5,889.3,887.2,887.6,5447253
2026-05-26,13:25:00,1779782100,887.7,888.5,887.5,887.9,5461158
2026-05-26,13:30:00,1779782400,888.4,888.75,886.9,886.9,5474411
2026-05-26,13:35:00,1779782700,887.05,887.4,884,886,5534194
2026-05-26,13:40:00,1779783000,885.05,887.95,884.75,886.45,5557106
2026-05-26,13:45:00,1779783300,886.4,888.4,886.35,888.4,5568119
2026-05-26,13:50:00,1779783600,888.6,889.7,888.05,888.45,5590842
2026-05-26,13:55:00,1779783900,888.85,889,887.25,887.45,5601639
2026-05-26,14:00:00,1779784200,887.4,887.95,886,886.15,5614709
2026-05-26,14:05:00,1779784500,886.1,887.65,886,886.85,5621053
2026-05-26,14:10:00,1779784800,886.5,888.6,886.25,888.5,5644667
2026-05-26,14:15:00,1779785100,887.95,888.4,886.55,887.25,5652736
2026-05-26,14:20:00,1779785400,886.9,890.95,886.9,890.45,5712594
2026-05-26,14:25:00,1779785700,890.15,890.45,888.5,889,5731518
2026-05-26,14:30:00,1779786000,889.1,890.9,888.7,888.8,5759663
2026-05-26,14:35:00,1779786300,888.95,890.5,888.65,889.7,5777382
2026-05-26,14:40:00,1779786600,889.15,889.7,887,888.5,5815325
2026-05-26,14:45:00,1779786900,888.1,889.5,887.65,888.5,5838177
2026-05-26,14:50:00,1779787200,888.25,888.95,885.8,886.05,5875814
2026-05-26,14:55:00,1779787500,886,889,885.8,886.6,5915008
2026-05-26,15:00:00,1779787800,887.65,888.95,886.75,886.85,5950035
2026-05-26,15:05:00,1779788100,887.2,894,886.3,891.95,6065131
2026-05-26,15:10:00,1779788400,893.65,894.6,890.95,891,6174369
2026-05-26,15:15:00,1779788700,890.9,892,882.45,885.7,6325324
2026-05-26,15:20:00,1779789000,886.45,892.3,886.45,890,6466092
2026-05-26,15:25:00,1779789300,890.1,892.95,886.9,889,6550172
2026-05-27,09:15:00,1779853500,886,886.4,878,886.4,73903
2026-05-27,09:20:00,1779853800,886.85,889.3,883.2,884.05,127477
2026-05-27,09:25:00,1779854100,884.2,884.35,880.25,881.15,156561
2026-05-27,09:30:00,1779854400,881,882.85,880.25,882.6,174111
2026-05-27,09:35:00,1779854700,882,884.75,881,882.9,200436
2026-05-27,09:40:00,1779855000,882.85,885,882.3,883,209316
2026-05-27,09:45:00,1779855300,883.25,883.25,879.2,881.5,232608
2026-05-27,09:50:00,1779855600,881,881.7,877.2,877.8,252923
2026-05-27,09:55:00,1779855900,877.6,878.85,875.25,876.3,277630
2026-05-27,10:00:00,1779856200,876.55,878.35,876.25,877.2,290433
2026-05-27,10:05:00,1779856500,877.25,882.4,877,881.2,309432
2026-05-27,10:10:00,1779856800,881.4,881.55,879,879.65,320639
2026-05-27,10:15:00,1779857100,880.05,881.5,878.75,881.4,333779
2026-05-27,10:20:00,1779857400,881.5,882.4,880.35,881.65,344813
2026-05-27,10:25:00,1779857700,882.15,882.2,879.9,880.25,352768
2026-05-27,10:30:00,1779858000,880.75,881,880.25,880.3,356532
2026-05-27,10:35:00,1779858300,880.35,881.5,880,880.15,361395
2026-05-27,10:40:00,1779858600,880.9,881.5,880.05,881.05,367219
2026-05-27,10:45:00,1779858900,880.9,887.95,880.9,886,413586
2026-05-27,10:50:00,1779859200,886.45,889.85,886,889.85,453091
2026-05-27,10:55:00,1779859500,890.3,898.8,889.9,894.15,548775
2026-05-27,11:00:00,1779859800,894.5,902.3,893.5,899.8,672924
2026-05-27,11:05:00,1779860100,898.7,905.2,898.55,904.35,767343
2026-05-27,11:10:00,1779860400,904,909.7,898.45,906.45,926857
2026-05-27,11:15:00,1779860700,906.05,911.6,904,908,1098754
2026-05-27,11:20:00,1779861000,907.55,908.15,902.65,903.35,1156301
2026-05-27,11:25:00,1779861300,903.8,904,899.7,901.35,1213508
2026-05-27,11:30:00,1779861600,901.15,902,899,900.75,1249359
2026-05-27,11:35:00,1779861900,900,908,899.25,906.4,1295543
2026-05-27,11:40:00,1779862200,906.7,913.1,903.45,907.8,1518513
2026-05-27,11:45:00,1779862500,907.2,910,906.5,908,1581864
2026-05-27,11:50:00,1779862800,907.95,912.65,902.7,904.1,1670983
2026-05-27,11:55:00,1779863100,904.7,905.95,901.15,902,1704031
2026-05-27,12:00:00,1779863400,901.95,902.5,897.5,901,1766846
2026-05-27,12:05:00,1779863700,899.35,900.35,898,899.5,1795209
2026-05-27,12:10:00,1779864000,899,903.35,899,901.6,1816351
2026-05-27,12:15:00,1779864300,900.7,904.85,900.25,904.25,1836910
2026-05-27,12:20:00,1779864600,904.3,904.5,903,903,1844948
2026-05-27,12:25:00,1779864900,903.45,905.9,902.7,905.7,1865502
