Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-12-03,00:00:00,1764700200,4120,4120,4062.5,4082.6,6192
2025-12-04,00:00:00,1764786600,4036.4,4090.5,4025,4063.5,7171
2025-12-05,00:00:00,1764873000,4051,4091.9,4023,4045.7,10741
2025-12-08,00:00:00,1765132200,4045.7,4059.8,4017,4024.1,10052
2025-12-09,00:00:00,1765218600,4020.2,4085,3979.9,4021.4,16519
2025-12-10,00:00:00,1765305000,4015,4074,3985,4004.1,7479
2025-12-11,00:00:00,1765391400,4004.1,4010.7,3888,3909.6,27162
2025-12-12,00:00:00,1765477800,3920,3932.6,3863.1,3901.4,25750
2025-12-15,00:00:00,1765737000,3901,4010,3891.4,3956.2,15554
2025-12-16,00:00:00,1765823400,3968,3968,3890,3896.2,7723
2025-12-17,00:00:00,1765909800,3909,3909,3820,3830.3,12142
2025-12-18,00:00:00,1765996200,3830.9,3843.7,3785.8,3815.2,12032
2025-12-19,00:00:00,1766082600,3837,3906,3815.2,3897.8,14985
2025-12-22,00:00:00,1766341800,3897.8,3950,3885.3,3931.7,9997
2025-12-23,00:00:00,1766428200,3931.7,3956.8,3880,3915,13339
2025-12-24,00:00:00,1766514600,3890,3925,3867.5,3909.7,12030
2025-12-26,00:00:00,1766687400,3885,3918.2,3862.2,3893.6,14270
2025-12-29,00:00:00,1766946600,3914,3944.4,3862.1,3910.5,24635
2025-12-30,00:00:00,1767033000,3910.5,3910.5,3816.3,3858.8,40467
2025-12-31,00:00:00,1767119400,3875.5,3997,3862.1,3958.2,13943
2026-01-01,00:00:00,1767205800,3985,4019.4,3905,3915.5,11232
2026-01-02,00:00:00,1767292200,3916,3945,3868.3,3934.8,9213
2026-01-05,00:00:00,1767551400,3920,3973,3900,3960.5,10771
2026-01-06,00:00:00,1767637800,3926.1,3960.5,3888,3898,8765
2026-01-07,00:00:00,1767724200,3899,3924.9,3801,3810.5,13077
2026-01-08,00:00:00,1767810600,3810.7,3828.3,3758,3796.3,17458
2026-01-09,00:00:00,1767897000,3766.3,3812.6,3735.5,3754.4,11000
2026-01-12,00:00:00,1768156200,3754,3760,3622,3658.1,22816
2026-01-13,00:00:00,1768242600,3694.5,3694.5,3602.1,3617.2,13543
2026-01-14,00:00:00,1768329000,3615,3645.9,3585.5,3617.8,20957
2026-01-16,00:00:00,1768501800,3617.8,3641,3602,3633.3,8788
2026-01-19,00:00:00,1768761000,3605,3625.5,3580.1,3610.9,8983
2026-01-20,00:00:00,1768847400,3610.3,3615,3542,3584.6,11591
2026-01-21,00:00:00,1768933800,3584.9,3591.9,3524.9,3559.9,13793
2026-01-22,00:00:00,1769020200,3564.9,3663,3564.9,3648.2,10999
2026-01-23,00:00:00,1769106600,3664.9,3692.4,3600,3637.4,8810
2026-01-27,00:00:00,1769452200,3630,3637.4,3537,3549.8,86952
2026-01-28,00:00:00,1769538600,3549.8,3650.4,3545.6,3622,8743
2026-01-29,00:00:00,1769625000,3658.3,3665.1,3563.5,3617.9,14733
2026-01-30,00:00:00,1769711400,3627.5,3662,3572.4,3646.5,25705
2026-02-01,00:00:00,1769884200,3646.5,3662.4,3581.1,3649.7,25873
2026-02-02,00:00:00,1769970600,3649.7,3655.9,3552.2,3631.8,9675
2026-02-03,00:00:00,1770057000,3671.7,3820,3643.3,3759.6,37945
2026-02-04,00:00:00,1770143400,3777.9,3789.8,3700.4,3755.9,17790
2026-02-05,00:00:00,1770229800,3745,3797,3723.9,3753.7,19708
2026-02-06,00:00:00,1770316200,3737,3745.5,3615,3648.4,17747
2026-02-09,00:00:00,1770575400,3665,3943.5,3653.2,3925.7,47756
2026-02-10,00:00:00,1770661800,3926,3960,3831.5,3855.8,27108
2026-02-11,00:00:00,1770748200,3855.8,3868.5,3790.3,3849.7,18755
2026-02-12,00:00:00,1770834600,3849.7,3853.7,3753,3769.1,14947
2026-02-13,00:00:00,1770921000,3705,3785,3633.7,3653.6,51319
2026-02-16,00:00:00,1771180200,3654,3750,3606.1,3633.4,12723
2026-02-17,00:00:00,1771266600,3613.1,3706.9,3613.1,3654.2,15093
2026-02-18,00:00:00,1771353000,3639.6,3809.9,3636,3666.2,39498
2026-02-19,00:00:00,1771439400,3669,3688.2,3540,3550.5,26015
2026-02-20,00:00:00,1771525800,3550.5,3585,3525,3573.6,7149
2026-02-23,00:00:00,1771785000,3560,3592.5,3540,3571.5,12198
2026-02-24,00:00:00,1771871400,3570,3586,3514.5,3530.6,13316
2026-02-25,00:00:00,1771957800,3534.1,3555.2,3514,3526.5,12078
2026-02-26,00:00:00,1772044200,3522,3560,3518.1,3529.4,8698
2026-02-27,00:00:00,1772130600,3529.4,3537.3,3421,3452.1,22699
2026-03-02,00:00:00,1772389800,3400,3611,3378.2,3589.4,61511
2026-03-04,00:00:00,1772562600,3565.1,3577.8,3466.7,3491.8,22401
2026-03-05,00:00:00,1772649000,3485.5,3510.7,3440,3453.9,13428
2026-03-06,00:00:00,1772735400,3461.6,3500,3420.2,3430.5,10926
2026-03-09,00:00:00,1772994600,3400,3401.2,3292,3312.8,19702
2026-03-10,00:00:00,1773081000,3332.8,3475,3325,3461.8,19606
