Date,Time,Timestamp,Open,High,Low,Close,Volume
2019-02-07,00:00:00,1549477800.0,294.0,300.0,250.0,276.2,14098843.0
2019-03-01,00:00:00,1551378600.0,273.2,355.0,271.25,337.55,4550249.0
2019-04-01,00:00:00,1554057000.0,325.35,351.95,310.0,321.95,440598.0
2019-05-02,00:00:00,1556735400.0,320.05,358.8,294.5,349.15,1594891.0
2019-06-03,00:00:00,1559500200.0,349.15,350.0,300.4,317.95,662509.0
2019-07-01,00:00:00,1561919400.0,320.0,330.0,277.5,320.15,1329921.0
2019-08-01,00:00:00,1564597800.0,315.85,352.0,282.15,293.1,1123556.0
2019-09-03,00:00:00,1567449000.0,294.05,350.0,280.0,315.85,1454394.0
2019-10-01,00:00:00,1569868200.0,319.95,348.15,293.2,325.5,519612.0
2019-11-01,00:00:00,1572546600.0,317.75,379.45,314.0,354.95,906560.0
2019-12-02,00:00:00,1575225000.0,358.8,402.0,320.0,348.95,2127094.0
2020-01-01,00:00:00,1577817000.0,350.1,364.0,320.0,329.9,1680245.0
2020-02-03,00:00:00,1580668200.0,308.55,379.95,285.0,328.5,966176.0
2020-03-02,00:00:00,1583087400.0,346.0,349.95,179.9,205.15,1565576.0
2020-04-01,00:00:00,1585679400.0,220.0,220.0,142.55,147.8,2834591.0
2020-05-04,00:00:00,1588530600.0,147.8,148.0,99.6,100.4,2714295.0
2020-06-01,00:00:00,1590949800.0,115.0,176.0,109.85,131.2,16751111.0
2020-07-01,00:00:00,1593541800.0,131.25,157.0,126.0,127.9,3795982.0
2020-08-03,00:00:00,1596393000.0,127.9,178.0,127.0,156.3,9435098.0
2020-09-01,00:00:00,1598898600.0,161.45,164.0,135.0,138.35,3056825.0
2020-10-01,00:00:00,1601490600.0,141.4,149.75,127.35,136.4,2154407.0
2020-11-02,00:00:00,1604255400.0,135.8,161.9,135.0,150.85,5011519.0
2020-12-01,00:00:00,1606761000.0,150.9,217.7,149.75,183.4,14089110.0
2021-01-01,00:00:00,1609439400.0,185.4,194.8,161.3,171.4,3965215.0
2021-02-01,00:00:00,1612117800.0,173.7,182.1,162.6,166.05,5637975.0
2021-03-01,00:00:00,1614537000.0,166.4,186.9,145.7,146.3,5915432.0
2021-04-01,00:00:00,1617215400.0,148.5,155.0,122.65,143.2,3721127.0
2021-05-03,00:00:00,1619980200.0,143.2,184.8,139.05,176.5,6816756.0
2021-06-01,00:00:00,1622485800.0,176.5,196.0,171.1,177.2,8165403.0
