Date,Time,Timestamp,Open,High,Low,Close,Volume
2026-05-04,09:15:00,1777866300,512,513.75,501.2,509.2,135778
2026-05-04,10:15:00,1777869900,509.25,511.75,506.55,511.3,171508
2026-05-04,11:15:00,1777873500,511.35,515,510.4,511.85,243855
2026-05-04,12:15:00,1777877100,511.3,519.5,510.4,518.95,308737
2026-05-04,13:15:00,1777880700,518.85,520.5,514.4,520,417424
2026-05-04,14:15:00,1777884300,520.2,527.45,518,526.7,595178
2026-05-04,15:15:00,1777887900,527,528.25,522.35,524,677185
2026-05-05,09:15:00,1777952700,523.7,533,521.85,525.05,226373
2026-05-05,10:15:00,1777956300,525.2,527,522,522.95,289954
2026-05-05,11:15:00,1777959900,522.5,525.45,519,522.8,345355
2026-05-05,12:15:00,1777963500,522.75,527.3,520.8,526.6,384923
2026-05-05,13:15:00,1777967100,526.65,530.9,525.05,529.35,445225
2026-05-05,14:15:00,1777970700,529.65,529.9,526.05,529.1,495603
2026-05-05,15:15:00,1777974300,528.45,530,528,528,532372
2026-05-06,09:15:00,1778039100,534,579,534,562.5,2547213
2026-05-06,10:15:00,1778042700,562.05,562.75,552,556.25,3304247
2026-05-06,11:15:00,1778046300,556.6,558.7,552.15,553.8,3477466
2026-05-06,12:15:00,1778049900,553.5,555,547.1,550,3641971
2026-05-06,13:15:00,1778053500,549.95,554,548,551.5,3945813
2026-05-06,14:15:00,1778057100,551.95,559,545.5,559,4284167
2026-05-06,15:15:00,1778060700,558.7,562,557.3,559,4496194
2026-05-07,09:15:00,1778125500,560.5,568.8,560.5,567,222586
2026-05-07,10:15:00,1778129100,566.95,574.8,565.25,571.6,409008
2026-05-07,11:15:00,1778132700,571.25,571.95,568,569.15,516713
2026-05-07,12:15:00,1778136300,569.1,570.85,568.7,569.8,596469
2026-05-07,13:15:00,1778139900,569.85,570.85,565.55,567.25,708399
2026-05-07,14:15:00,1778143500,567.7,567.8,561.35,561.65,817925
2026-05-07,15:15:00,1778147100,561.6,566,560.25,566,869468
2026-05-08,09:15:00,1778211900,564.1,566.85,558.5,563.85,146322
2026-05-08,10:15:00,1778215500,564,564.4,557,560.65,278731
2026-05-08,11:15:00,1778219100,560.65,561.55,557.95,558.2,367109
2026-05-08,12:15:00,1778222700,558.45,561.35,556,561,421656
2026-05-08,13:15:00,1778226300,561,562.7,560,561.25,528016
2026-05-08,14:15:00,1778229900,561.3,561.7,554.05,560.7,764816
2026-05-08,15:15:00,1778233500,560.45,563,560.45,562.4,809770
2026-05-11,09:15:00,1778471100,555,555,526.75,535.2,211768
2026-05-11,10:15:00,1778474700,535,535.2,523.8,529.95,340586
2026-05-11,11:15:00,1778478300,530.25,532.3,527.15,528.95,370074
2026-05-11,12:15:00,1778481900,528.9,529.65,524.05,526.3,414546
2026-05-11,13:15:00,1778485500,526.2,527.85,525,525.4,443065
2026-05-11,14:15:00,1778489100,525.85,529.3,525.1,528.25,545714
2026-05-11,15:15:00,1778492700,528,532.6,527.5,532.5,623895
2026-05-12,09:15:00,1778557500,528,531.05,513.8,519.55,199052
2026-05-12,10:15:00,1778561100,519.8,522.75,515.4,515.4,294259
2026-05-12,11:15:00,1778564700,515.45,515.7,511,511.45,340109
2026-05-12,12:15:00,1778568300,511.4,514.2,508.3,509.65,413767
2026-05-12,13:15:00,1778571900,510,510.5,505.85,506.55,469656
2026-05-12,14:15:00,1778575500,506.05,509.65,500,500.8,579755
2026-05-12,15:15:00,1778579100,500.65,506,500.5,504,630979
2026-05-13,09:15:00,1778643900,508.95,511.7,498.1,504.45,143269
2026-05-13,10:15:00,1778647500,503.6,509.2,499.2,500.75,182739
2026-05-13,11:15:00,1778651100,501,512.5,500.75,508.8,247644
2026-05-13,12:15:00,1778654700,509.45,509.45,502.9,504.8,269732
2026-05-13,13:15:00,1778658300,504.3,506.6,502.15,505.45,299302
2026-05-13,14:15:00,1778661900,505.55,506.6,504,506.25,357916
2026-05-13,15:15:00,1778665500,506.15,507.1,505,505,384740
2026-05-14,09:15:00,1778730300,510.85,512.15,491.9,497.2,112590
2026-05-14,10:15:00,1778733900,497,497.6,488.65,489.2,156009
2026-05-14,11:15:00,1778737500,489.3,498.4,488.15,497.05,222118
2026-05-14,12:15:00,1778741100,497.75,500.55,496,497,255017
2026-05-14,13:15:00,1778744700,496.5,498.75,495.35,496.35,274974
2026-05-14,14:15:00,1778748300,496.3,502.05,495.4,497.9,354936
2026-05-14,15:15:00,1778751900,497.75,500.4,496.1,496.1,422981
2026-05-15,09:15:00,1778816700,498,498.6,488.8,491.7,89005
2026-05-15,10:15:00,1778820300,491.95,494.6,490.1,491.25,115637
2026-05-15,11:15:00,1778823900,491.35,491.85,488.25,489.05,139572
2026-05-15,12:15:00,1778827500,489.3,492.1,487,489.9,175670
2026-05-15,13:15:00,1778831100,490.15,490.6,487.3,488.25,190478
2026-05-15,14:15:00,1778834700,488.7,488.8,482.4,484,265263
2026-05-15,15:15:00,1778838300,483.7,485.7,483.5,485.35,291498
2026-05-18,09:15:00,1779075900,478,484.1,469.65,484.1,184137
2026-05-18,10:15:00,1779079500,484.5,484.7,479,482.7,241749
2026-05-18,11:15:00,1779083100,482.75,484.5,480,480.2,270391
2026-05-18,12:15:00,1779086700,480.6,481.95,480,481.7,288441
2026-05-18,13:15:00,1779090300,481.75,483.7,480.55,481.9,315866
2026-05-18,14:15:00,1779093900,481.65,484.85,481,483.75,362983
