Date,Time,Timestamp,Open,High,Low,Close,Volume
2026-05-04,09:15:00,1777866300,20124,20244,19511,19810,45301
2026-05-04,10:15:00,1777869900,19816,19842,19511,19561,65569
2026-05-04,11:15:00,1777873500,19570,19586,19226,19230,89530
2026-05-04,12:15:00,1777877100,19228,19260,19078,19166,113731
2026-05-04,13:15:00,1777880700,19168,19239,19080,19235,126233
2026-05-04,14:15:00,1777884300,19237,19390,19226,19351,149211
2026-05-04,15:15:00,1777887900,19350,19380,19276,19380,163269
2026-05-05,09:15:00,1777952700,19427,19535,19105,19167,28546
2026-05-05,10:15:00,1777956300,19166,19250,18900,18956,50406
2026-05-05,11:15:00,1777959900,18947,19223,18947,19170,69307
2026-05-05,12:15:00,1777963500,19182,19249,19103,19225,83836
2026-05-05,13:15:00,1777967100,19233,19233,19079,19079,92936
2026-05-05,14:15:00,1777970700,19078,19140,18836,18982,119239
2026-05-05,15:15:00,1777974300,18972,19055,18911,19022,131403
2026-05-06,09:15:00,1778039100,19400,20399,19291,20342,114866
2026-05-06,10:15:00,1778042700,20357,20372,19935,20018,157072
2026-05-06,11:15:00,1778046300,20022,20155,19991,20110,177280
2026-05-06,12:15:00,1778049900,20115,20140,20021,20057,192785
2026-05-06,13:15:00,1778053500,20055,20241,20040,20151,206625
2026-05-06,14:15:00,1778057100,20145,20264,20002,20083,236670
2026-05-06,15:15:00,1778060700,20068,20280,20064,20250,256297
2026-05-07,09:15:00,1778125500,20350,20448,19980,20111,31233
2026-05-07,10:15:00,1778129100,20105,20193,20100,20157,37774
2026-05-07,11:15:00,1778132700,20155,20380,20105,20334,49519
2026-05-07,12:15:00,1778136300,20330,21069,20330,20950,105727
2026-05-07,13:15:00,1778139900,20959,21040,20809,20891,128787
2026-05-07,14:15:00,1778143500,20890,20957,20625,20651,146512
2026-05-07,15:15:00,1778147100,20650,20767,20628,20696,158712
2026-05-08,09:15:00,1778211900,20696,20917,20423,20502,33351
2026-05-08,10:15:00,1778215500,20520,21180,20441,20896,66941
2026-05-08,11:15:00,1778219100,20898,21012,20850,20889,78617
2026-05-08,12:15:00,1778222700,20882,20956,20760,20803,87990
2026-05-08,13:15:00,1778226300,20800,20980,20781,20901,97562
2026-05-08,14:15:00,1778229900,20913,20964,20850,20900,110877
2026-05-08,15:15:00,1778233500,20902,20918,20825,20880,123727
2026-05-11,09:15:00,1778471100,20668,20974,20497,20701,32174
2026-05-11,10:15:00,1778474700,20700,20705,20525,20608,44715
2026-05-11,11:15:00,1778478300,20602,20660,20543,20580,51761
2026-05-11,12:15:00,1778481900,20583,20615,20358,20517,65999
2026-05-11,13:15:00,1778485500,20510,20849,20477,20640,81406
2026-05-11,14:15:00,1778489100,20636,20767,20550,20575,94052
2026-05-11,15:15:00,1778492700,20578,20665,20572,20640,101140
2026-05-12,09:15:00,1778557500,20600,20600,20214,20310,22019
2026-05-12,10:15:00,1778561100,20323,20364,20070,20070,33092
2026-05-12,11:15:00,1778564700,20074,20188,20051,20072,38657
2026-05-12,12:15:00,1778568300,20069,20095,19845,20050,51217
2026-05-12,13:15:00,1778571900,20063,20100,19937,20028,57964
2026-05-12,14:15:00,1778575500,20020,20122,19800,19831,73715
2026-05-12,15:15:00,1778579100,19820,19872,19773,19840,82502
2026-05-13,09:15:00,1778643900,19950,20129,19763,19998,22260
2026-05-13,10:15:00,1778647500,19980,20131,19750,19829,32428
2026-05-13,11:15:00,1778651100,19827,20195,19812,20188,42374
2026-05-13,12:15:00,1778654700,20181,20195,20000,20024,48232
2026-05-13,13:15:00,1778658300,20024,20075,19960,20052,53526
2026-05-13,14:15:00,1778661900,20060,20062,19850,19889,60510
2026-05-13,15:15:00,1778665500,19880,20020,19860,20020,66308
2026-05-14,09:15:00,1778730300,20217,20330,19400,19495,34661
2026-05-14,10:15:00,1778733900,19489,19690,19417,19590,46060
2026-05-14,11:15:00,1778737500,19609,19871,19600,19843,67950
2026-05-14,12:15:00,1778741100,19850,20149,19848,20005,82800
2026-05-14,13:15:00,1778744700,20010,20045,19870,20029,89284
2026-05-14,14:15:00,1778748300,20025,20140,20006,20057,102033
2026-05-14,15:15:00,1778751900,20046,20250,20046,20201,112183
2026-05-15,09:15:00,1778816700,20209,21100,20050,20798,77264
2026-05-15,10:15:00,1778820300,20806,20850,20484,20495,96863
2026-05-15,11:15:00,1778823900,20497,20560,20320,20482,112530
2026-05-15,12:15:00,1778827500,20487,20642,20460,20522,120730
2026-05-15,13:15:00,1778831100,20523,20553,20350,20419,128069
2026-05-15,14:15:00,1778834700,20408,20472,20310,20410,139499
2026-05-15,15:15:00,1778838300,20401,20410,20261,20275,149866
2026-05-18,09:15:00,1779075900,20099,20099,19423,19500,33790
2026-05-18,10:15:00,1779079500,19496,19590,19350,19575,49002
2026-05-18,11:15:00,1779083100,19571,19770,19550,19610,59059
2026-05-18,12:15:00,1779086700,19618,19724,19552,19648,66052
2026-05-18,13:15:00,1779090300,19655,19658,19554,19641,71632
2026-05-18,14:15:00,1779093900,19631,19640,19505,19550,80994
2026-05-18,15:15:00,1779097500,19555,19614,19505,19613,91115
2026-05-19,09:15:00,1779162300,19650,19653,19423,19550,23580
2026-05-19,10:15:00,1779165900,19557,19580,19302,19340,38416
2026-05-19,11:15:00,1779169500,19335,19516,19292,19375,48500
2026-05-19,12:15:00,1779173100,19379,19379,19229,19275,60901
2026-05-19,13:15:00,1779176700,19277,19349,19230,19321,66777
2026-05-19,14:15:00,1779180300,19314,19322,19188,19215,79032
