Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-12-03,00:00:00,1764700200,1775,1798.2,1766.9,1788.6,163330
2025-12-04,00:00:00,1764786600,1780,1818,1780,1800.3,154839
2025-12-05,00:00:00,1764873000,1800,1815.6,1781.7,1793.5,152874
2025-12-08,00:00:00,1765132200,1799.8,1838.6,1780.3,1796.7,260210
2025-12-09,00:00:00,1765218600,1780,1820,1730,1802.4,310084
2025-12-10,00:00:00,1765305000,1811.8,1844.1,1789.9,1799,108557
2025-12-11,00:00:00,1765391400,1796.9,1829.7,1767,1772.8,86756
2025-12-12,00:00:00,1765477800,1784.3,1850,1784.3,1844.2,286250
2025-12-15,00:00:00,1765737000,1844,1875,1831.4,1864.7,205093
2025-12-16,00:00:00,1765823400,1867.1,1877.4,1817,1847.4,222864
2025-12-17,00:00:00,1765909800,1845.4,1861.1,1822.2,1835.5,119275
2025-12-18,00:00:00,1765996200,1825.9,1832.5,1794,1820.6,118811
2025-12-19,00:00:00,1766082600,1823.6,1849,1782.5,1811.2,451688
2025-12-22,00:00:00,1766341800,1819.7,1850.9,1815,1844,171682
2025-12-23,00:00:00,1766428200,1844.9,1857,1829.9,1845.1,121674
2025-12-24,00:00:00,1766514600,1845,1880,1831.4,1867.9,191514
2025-12-26,00:00:00,1766687400,1881,1910,1850,1875.4,359965
2025-12-29,00:00:00,1766946600,1880.5,1913.6,1816.1,1851.5,316846
2025-12-30,00:00:00,1767033000,1850,1885,1822.3,1866.6,308203
2025-12-31,00:00:00,1767119400,1865.5,1876.1,1845.2,1857.8,143443
2026-01-01,00:00:00,1767205800,1867,1875,1838.5,1858.5,90386
2026-01-02,00:00:00,1767292200,1860.4,1875.9,1847.1,1860.5,127868
2026-01-05,00:00:00,1767551400,1855,1863.6,1810,1817.8,143399
2026-01-06,00:00:00,1767637800,1818,1833,1801,1820.5,142034
2026-01-07,00:00:00,1767724200,1825.4,1834,1780,1784.5,147895
2026-01-08,00:00:00,1767810600,1775,1779.5,1715,1726.9,271441
2026-01-09,00:00:00,1767897000,1717.1,1733.8,1671,1680,159216
2026-01-12,00:00:00,1768156200,1679.9,1683,1596,1618,423926
2026-01-13,00:00:00,1768242600,1619.5,1650,1616,1625.4,138022
2026-01-14,00:00:00,1768329000,1625.4,1645.6,1608.7,1613.4,110852
2026-01-16,00:00:00,1768501800,1613.4,1632.9,1589.1,1593.4,111674
2026-01-19,00:00:00,1768761000,1575.1,1591.8,1556,1579.6,166023
2026-01-20,00:00:00,1768847400,1579.6,1604.1,1541,1554.1,191045
2026-01-21,00:00:00,1768933800,1550,1620,1505,1553.8,245125
2026-01-22,00:00:00,1769020200,1570.9,1624,1503.5,1516.5,329519
2026-01-23,00:00:00,1769106600,1524.1,1602,1518.2,1549.9,399195
2026-01-27,00:00:00,1769452200,1575,1579.8,1460,1466.3,325658
2026-01-28,00:00:00,1769538600,1479,1559,1470.3,1554.8,233866
2026-01-29,00:00:00,1769625000,1559.9,1631.2,1536,1623.9,257501
2026-01-30,00:00:00,1769711400,1620,1637,1573.5,1604.4,208522
2026-02-01,00:00:00,1769884200,1609.7,1621,1507.3,1561.8,127428
2026-02-02,00:00:00,1769970600,1555,1630.3,1526,1624.8,188570
2026-02-03,00:00:00,1770057000,1660,1689.2,1616.4,1658,342498
2026-02-04,00:00:00,1770143400,1658,1672.8,1645,1662.3,120109
2026-02-05,00:00:00,1770229800,1662.3,1678,1649,1667.2,118915
2026-02-06,00:00:00,1770316200,1661.9,1661.9,1624.5,1643,70669
2026-02-09,00:00:00,1770575400,1644.6,1677,1644.6,1674.3,100581
2026-02-10,00:00:00,1770661800,1735,1763.8,1678.1,1701,442130
2026-02-11,00:00:00,1770748200,1712,1727.5,1669.3,1692.2,137053
2026-02-12,00:00:00,1770834600,1692.2,1693.7,1665.7,1672.3,66654
2026-02-13,00:00:00,1770921000,1670,1676.2,1639,1653.6,100145
2026-02-16,00:00:00,1771180200,1648.4,1673.9,1618,1664.2,81362
2026-02-17,00:00:00,1771266600,1640,1668,1640,1653.1,67894
2026-02-18,00:00:00,1771353000,1653.1,1662.5,1615.1,1619.5,100729
2026-02-19,00:00:00,1771439400,1625.8,1667,1619.5,1632.3,187013
2026-02-20,00:00:00,1771525800,1630,1630,1570.9,1585.9,98953
2026-02-23,00:00:00,1771785000,1595,1604,1568,1591.9,117252
2026-02-24,00:00:00,1771871400,1581.9,1591.9,1565,1579.8,59839
2026-02-25,00:00:00,1771957800,1584.3,1600.8,1579.8,1594.5,65822
2026-02-26,00:00:00,1772044200,1602,1655.9,1598,1627.4,256561
2026-02-27,00:00:00,1772130600,1621,1621,1595.3,1613,63652
2026-03-02,00:00:00,1772389800,1519.9,1605.6,1519.9,1561.2,220872
2026-03-04,00:00:00,1772562600,1537.2,1546.9,1512.6,1534.1,147986
2026-03-05,00:00:00,1772649000,1534,1546.9,1515.2,1536.8,136142
2026-03-06,00:00:00,1772735400,1536.6,1553.9,1522.2,1539.1,128475
2026-03-09,00:00:00,1772994600,1510.3,1522.5,1472,1496.7,222167
2026-03-10,00:00:00,1773081000,1524.4,1524.4,1500.2,1509.7,126648
2026-03-11,00:00:00,1773167400,1509.7,1538.7,1492.2,1505.3,212918
2026-03-12,00:00:00,1773253800,1505,1518,1468,1503.2,204548
2026-03-13,00:00:00,1773340200,1532,1547.9,1412.3,1420,403094
2026-03-16,00:00:00,1773599400,1430,1439.9,1382.6,1399.9,277302
2026-03-17,00:00:00,1773685800,1411.9,1440.5,1390.5,1414.2,235505
