Date,Time,Timestamp,Open,High,Low,Close,Volume
2018-07-02,00:00:00,1530469800.0,33.65,36.4,30.4,35.85,6011110.0
2018-08-01,00:00:00,1533061800.0,35.95,38.95,32.15,32.85,4705093.0
2018-09-03,00:00:00,1535913000.0,33.1,35.1,26.25,26.5,3409468.0
2018-10-01,00:00:00,1538332200.0,26.7,32.25,23.6,29.95,5602869.0
2018-11-01,00:00:00,1541010600.0,30.25,32.9,26.45,26.9,4343595.0
2018-12-03,00:00:00,1543775400.0,27.1,30.55,25.0,28.85,3549477.0
2019-01-01,00:00:00,1546281000.0,29.0,30.9,24.5,26.15,4144318.0
2019-02-01,00:00:00,1548959400.0,26.3,27.2,21.85,24.2,2644571.0
2019-03-01,00:00:00,1551378600.0,24.6,29.2,24.05,25.6,4483180.0
2019-04-01,00:00:00,1554057000.0,25.75,27.0,23.8,23.85,2760453.0
2019-05-02,00:00:00,1556735400.0,23.95,29.25,22.25,25.3,3585488.0
2019-06-03,00:00:00,1559500200.0,25.3,25.75,21.75,22.6,1986446.0
2019-07-01,00:00:00,1561919400.0,22.6,23.9,18.9,19.55,3422711.0
2019-08-01,00:00:00,1564597800.0,20.0,20.0,12.6,15.05,2904959.0
2019-09-03,00:00:00,1567449000.0,15.25,21.8,13.85,18.55,4353287.0
2019-10-01,00:00:00,1569868200.0,18.45,19.1,15.5,17.0,2496021.0
2019-11-01,00:00:00,1572546600.0,17.0,17.85,15.0,15.45,2851847.0
2019-12-02,00:00:00,1575225000.0,15.65,16.65,14.9,15.85,4722242.0
2020-01-01,00:00:00,1577817000.0,15.95,19.65,15.7,19.0,6723227.0
2020-02-03,00:00:00,1580668200.0,18.2,18.7,15.15,16.1,2477037.0
2020-03-02,00:00:00,1583087400.0,16.25,17.0,9.3,11.0,5828770.0
2020-04-01,00:00:00,1585679400.0,11.05,14.9,10.8,13.05,2874679.0
2020-05-04,00:00:00,1588530600.0,12.75,13.45,11.05,11.9,2079520.0
2020-06-01,00:00:00,1590949800.0,12.05,17.9,12.05,15.95,17857098.0
2020-07-01,00:00:00,1593541800.0,16.05,17.8,14.45,14.65,13532609.0
2020-08-03,00:00:00,1596393000.0,14.75,18.1,14.1,16.0,19209646.0
2020-09-01,00:00:00,1598898600.0,16.0,17.0,14.95,16.2,6929057.0
2020-10-01,00:00:00,1601490600.0,16.2,21.35,15.15,20.75,14319800.0
2020-11-02,00:00:00,1604255400.0,21.0,25.0,18.1,22.65,14993018.0
2020-12-01,00:00:00,1606761000.0,23.45,43.9,22.05,41.1,50332264.0
2021-01-01,00:00:00,1609439400.0,41.7,41.7,32.6,36.5,19686717.0
2021-02-01,00:00:00,1612117800.0,37.25,40.3,33.45,37.5,25310283.0
2021-03-01,00:00:00,1614537000.0,38.0,42.8,32.05,33.35,16642388.0
2021-04-01,00:00:00,1617215400.0,34.0,37.5,29.85,34.85,8804260.0
2021-05-03,00:00:00,1619980200.0,35.4,48.25,33.8,46.1,37843159.0
2021-06-01,00:00:00,1622485800.0,46.4,50.4,42.5,48.95,39734579.0
2021-07-01,00:00:00,1625077800.0,49.3,58.0,47.8,51.65,48261370.0
2021-08-02,00:00:00,1627842600.0,52.1,53.5,41.25,50.45,29822250.0
2021-09-01,00:00:00,1630434600.0,50.45,52.5,45.9,48.65,14414466.0
2021-10-01,00:00:00,1633026600.0,48.5,59.8,47.3,49.95,35583423.0
2021-11-01,00:00:00,1635705000.0,50.0,61.9,48.0,53.95,28787937.0
2021-12-01,00:00:00,1638297000.0,55.7,68.8,55.15,62.95,50672948.0
2022-01-03,00:00:00,1641148200.0,63.15,73.45,61.3,69.65,34254784.0
2022-02-01,00:00:00,1643653800.0,70.0,83.65,58.1,60.05,56253831.0
2022-03-02,00:00:00,1646159400.0,60.0,68.45,56.2,63.4,21269818.0
2022-04-01,00:00:00,1648751400.0,63.75,92.2,58.65,87.05,162131090.0
2022-05-02,00:00:00,1651429800.0,86.95,93.35,67.4,83.15,119077670.0
2022-06-01,00:00:00,1654021800.0,83.55,105.4,74.2,94.9,179399008.0
2022-07-01,00:00:00,1656613800.0,95.0,98.75,85.6,87.75,68623273.0
2022-08-01,00:00:00,1659292200.0,87.8,91.5,74.5,81.5,67651736.0
2022-09-01,00:00:00,1661970600.0,80.7,104.3,79.65,93.35,221622574.0
2022-10-03,00:00:00,1664735400.0,93.8,121.75,91.6,104.35,132372411.0
2022-11-01,00:00:00,1667241000.0,104.0,119.15,98.0,114.6,96812973.0
2022-12-01,00:00:00,1669833000.0,114.95,116.6,89.6,105.7,51096678.0
