Date,Time,Timestamp,Open,High,Low,Close,Volume
2026-05-04,09:15:00,1777866300,412,422.65,412,412.8,123642
2026-05-04,10:15:00,1777869900,412.5,416.85,410.5,416.85,143859
2026-05-04,11:15:00,1777873500,416.45,416.95,412.1,412.15,154637
2026-05-04,12:15:00,1777877100,412.4,413.15,410.4,410.4,166168
2026-05-04,13:15:00,1777880700,410.85,411.05,407.45,411.05,183044
2026-05-04,14:15:00,1777884300,411.5,412.35,408.2,410.25,199542
2026-05-04,15:15:00,1777887900,410.8,413.5,410,410,223944
2026-05-05,09:15:00,1777952700,409.1,418.45,409,411.9,57604
2026-05-05,10:15:00,1777956300,411.85,412.15,409.35,411,68524
2026-05-05,11:15:00,1777959900,410.25,411,406.15,407.95,86463
2026-05-05,12:15:00,1777963500,407.95,411.25,407.85,410,94518
2026-05-05,13:15:00,1777967100,410.9,410.9,407.15,407.55,102215
2026-05-05,14:15:00,1777970700,407.6,412.65,407.6,410.3,117003
2026-05-05,15:15:00,1777974300,410.45,413.8,410,411.75,136679
2026-05-06,09:15:00,1778039100,412.4,418.65,409.3,410.9,62068
2026-05-06,10:15:00,1778042700,410.9,410.9,403.2,403.2,112911
2026-05-06,11:15:00,1778046300,403.85,404.95,403.1,404.2,140781
2026-05-06,12:15:00,1778049900,404,404.1,400.55,402.65,162292
2026-05-06,13:15:00,1778053500,403.1,405.4,402.65,405.2,180671
2026-05-06,14:15:00,1778057100,405.6,409.35,405,408.05,218310
2026-05-06,15:15:00,1778060700,407.75,411.35,407.55,410.7,246481
2026-05-07,09:15:00,1778125500,410.1,414.95,407.45,408.7,64561
2026-05-07,10:15:00,1778129100,408.7,410.2,407.2,408.15,76438
2026-05-07,11:15:00,1778132700,408.7,416.45,408.7,413.75,130936
2026-05-07,12:15:00,1778136300,413.95,415.5,411.2,411.9,156078
2026-05-07,13:15:00,1778139900,411.85,412.15,408.3,409.2,180926
2026-05-07,14:15:00,1778143500,409.65,410,408,408,205127
2026-05-07,15:15:00,1778147100,408.25,410,407.5,408,235527
2026-05-08,09:15:00,1778211900,407.5,408.6,398.5,399.5,108065
2026-05-08,10:15:00,1778215500,399.45,399.9,396.8,398.45,154162
2026-05-08,11:15:00,1778219100,399,406.6,397.1,404.7,204294
2026-05-08,12:15:00,1778222700,404.15,406,400.2,401.2,222152
2026-05-08,13:15:00,1778226300,401.1,403.5,400.7,401.75,239157
2026-05-08,14:15:00,1778229900,401.6,403.7,400.35,401,258711
2026-05-08,15:15:00,1778233500,401.05,402.75,400.25,402.75,276492
2026-05-11,09:15:00,1778471100,398.1,403.35,395,398.5,57565
2026-05-11,10:15:00,1778474700,398.75,399.85,395.3,399.25,75095
2026-05-11,11:15:00,1778478300,398.8,399.5,396.6,398.05,79174
2026-05-11,12:15:00,1778481900,397.85,399.4,396.8,398.8,83984
2026-05-11,13:15:00,1778485500,398.8,399.65,397,397,98499
2026-05-11,14:15:00,1778489100,397.1,399.15,393.3,393.3,118825
2026-05-11,15:15:00,1778492700,394.05,398.7,394.05,396,137212
2026-05-12,09:15:00,1778557500,394.7,395.2,388.9,393.1,35235
