Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-12-03,00:00:00,1764700200,1201.7,1208.3,1161,1185.8,315578
2025-12-04,00:00:00,1764786600,1186,1204.5,1162,1169.2,166027
2025-12-05,00:00:00,1764873000,1168.8,1179,1150,1165.4,244847
2025-12-08,00:00:00,1765132200,1165.4,1166.9,1123.7,1154.4,215700
2025-12-09,00:00:00,1765218600,1140.1,1177.5,1135,1172.9,147433
2025-12-10,00:00:00,1765305000,1172.9,1204,1156.4,1168.9,264704
2025-12-11,00:00:00,1765391400,1170,1185.2,1162.1,1168.9,85985
2025-12-12,00:00:00,1765477800,1171,1178.6,1162,1172.7,58370
2025-12-15,00:00:00,1765737000,1172.6,1183.9,1162,1176.4,75998
2025-12-16,00:00:00,1765823400,1176.4,1177,1150,1157.7,108662
2025-12-17,00:00:00,1765909800,1160,1174.5,1152.2,1160.9,137888
2025-12-18,00:00:00,1765996200,1158,1160.9,1117,1120.2,154469
2025-12-19,00:00:00,1766082600,1122,1162.1,1121.2,1151.2,155235
2025-12-22,00:00:00,1766341800,1151,1173,1140,1166.5,245210
2025-12-23,00:00:00,1766428200,1163.8,1184.5,1151.9,1172.9,95134
2025-12-24,00:00:00,1766514600,1160,1208,1156.5,1200.3,270844
2025-12-26,00:00:00,1766687400,1210,1213.9,1191.1,1196.1,52527
2025-12-29,00:00:00,1766946600,1196.1,1200,1175,1194.8,139552
2025-12-30,00:00:00,1767033000,1194,1194,1158.7,1162.8,54036
2025-12-31,00:00:00,1767119400,1170,1207.9,1168.1,1202.4,111327
2026-01-01,00:00:00,1767205800,1219,1227.2,1186,1202.2,185454
2026-01-02,00:00:00,1767292200,1210.1,1214.1,1193.2,1196.8,56112
2026-01-05,00:00:00,1767551400,1204.9,1221,1196.8,1199.5,111579
2026-01-06,00:00:00,1767637800,1205.9,1206.6,1187.2,1194.5,75793
2026-01-07,00:00:00,1767724200,1192.2,1195.3,1167.7,1173.7,59582
2026-01-08,00:00:00,1767810600,1181,1195.4,1130.5,1136.6,75645
2026-01-09,00:00:00,1767897000,1149,1154.9,1105,1115.6,125815
2026-01-12,00:00:00,1768156200,1113.3,1125,1086,1120.8,133910
2026-01-13,00:00:00,1768242600,1120,1137.6,1118.2,1127.7,53526
2026-01-14,00:00:00,1768329000,1125,1149.3,1117.4,1136.8,87057
2026-01-16,00:00:00,1768501800,1138,1155.6,1133,1149.1,167163
2026-01-19,00:00:00,1768761000,1149.6,1149.6,1112.3,1118.1,62136
