Date,Time,Timestamp,Open,High,Low,Close,Volume
2018-07-02,00:00:00,1530469800.0,288.85,300.1,256.0,273.95,772698.0
2018-08-01,00:00:00,1533061800.0,273.95,284.4,246.2,272.05,703711.0
2018-09-03,00:00:00,1535913000.0,270.0,287.4,218.1,228.05,479328.0
2018-10-01,00:00:00,1538332200.0,229.45,244.0,194.75,199.65,311950.0
2018-11-01,00:00:00,1541010600.0,202.4,215.4,171.15,172.6,629771.0
2018-12-03,00:00:00,1543775400.0,173.0,175.15,144.0,152.65,3015683.0
2019-01-01,00:00:00,1546281000.0,151.15,155.0,134.15,139.8,1085898.0
2019-02-01,00:00:00,1548959400.0,141.5,160.5,134.25,159.1,1105955.0
2019-03-01,00:00:00,1551378600.0,159.35,185.0,157.95,163.65,1083131.0
2019-04-01,00:00:00,1554057000.0,170.0,183.0,164.3,168.45,703930.0
2019-05-02,00:00:00,1556735400.0,170.0,185.0,146.0,184.15,1064196.0
2019-06-03,00:00:00,1559500200.0,184.15,190.0,172.15,183.7,433460.0
2019-07-01,00:00:00,1561919400.0,183.7,200.2,153.15,179.85,489373.0
2019-08-01,00:00:00,1564597800.0,177.0,177.2,142.0,147.7,245975.0
2019-09-03,00:00:00,1567449000.0,149.95,171.0,147.0,159.4,162630.0
2019-10-01,00:00:00,1569868200.0,159.2,161.85,137.25,153.15,203868.0
2019-11-01,00:00:00,1572546600.0,152.3,154.95,135.45,135.85,299820.0
2019-12-02,00:00:00,1575225000.0,138.45,159.9,118.65,148.05,878664.0
2020-01-01,00:00:00,1577817000.0,150.6,161.5,140.65,147.2,893405.0
2020-02-03,00:00:00,1580668200.0,145.45,181.0,134.05,141.5,1420371.0
2020-03-02,00:00:00,1583087400.0,144.8,151.9,76.25,86.8,636394.0
2020-04-01,00:00:00,1585679400.0,85.0,115.0,83.1,104.35,857353.0
2020-05-04,00:00:00,1588530600.0,102.5,102.5,85.25,96.2,604534.0
