Date,Time,Timestamp,Open,High,Low,Close,Volume
2026-05-29,09:15:00,1780026300,16145,16145,16034,16034,72
2026-05-29,09:16:00,1780026360,16033,16077,16013,16040,130
2026-05-29,09:17:00,1780026420,16050,16077,16001,16077,309
2026-05-29,09:18:00,1780026480,16098,16098,16073,16074,350
2026-05-29,09:19:00,1780026540,16091,16091,16031,16031,408
2026-05-29,09:20:00,1780026600,16001,16008,16001,16008,438
2026-05-29,09:21:00,1780026660,16040,16040,16040,16040,446
2026-05-29,09:22:00,1780026720,16037,16037,15952,15952,559
2026-05-29,09:23:00,1780026780,15962,15962,15950,15952,573
2026-05-29,09:24:00,1780026840,15935,15935,15921,15921,585
2026-05-29,09:25:00,1780026900,15915,15915,15915,15915,593
2026-05-29,09:26:00,1780026960,15903,15915,15898,15898,598
2026-05-29,09:27:00,1780027020,15915,15915,15915,15915,599
2026-05-29,09:28:00,1780027080,15902,15902,15900,15900,605
2026-05-29,09:29:00,1780027140,15900,15900,15900,15900,612
2026-05-29,09:30:00,1780027200,15885,15885,15885,15885,614
2026-05-29,09:31:00,1780027260,15893,15919,15873,15919,650
2026-05-29,09:32:00,1780027320,15937,15940,15937,15940,655
2026-05-29,09:33:00,1780027380,15937,15944,15912,15944,663
2026-05-29,09:34:00,1780027440,15980,16005,15958,15958,707
2026-05-29,09:35:00,1780027500,15996,15996,15996,15996,711
2026-05-29,09:36:00,1780027560,16010,16010,15994,15994,734
2026-05-29,09:38:00,1780027680,16010,16010,16010,16010,800
2026-05-29,09:39:00,1780027740,16012,16041,16012,16041,806
2026-05-29,09:40:00,1780027800,16048,16066,16048,16066,840
2026-05-29,09:41:00,1780027860,16038,16138,16038,16084,954
2026-05-29,09:42:00,1780027920,16063,16063,16050,16050,960
2026-05-29,09:43:00,1780027980,16055,16055,16020,16021,975
2026-05-29,09:45:00,1780028100,16020,16031,16003,16031,987
2026-05-29,09:48:00,1780028280,16020,16020,16013,16013,990
2026-05-29,09:49:00,1780028340,16007,16007,16007,16007,993
2026-05-29,09:50:00,1780028400,16009,16032,16009,16032,1051
2026-05-29,09:51:00,1780028460,16030,16069,16030,16069,1133
2026-05-29,09:52:00,1780028520,16028,16028,16028,16028,1135
2026-05-29,09:53:00,1780028580,16026,16026,16026,16026,1136
2026-05-29,09:54:00,1780028640,16052,16052,16052,16052,1137
2026-05-29,09:55:00,1780028700,16011,16023,15972,15972,1233
2026-05-29,09:56:00,1780028760,15951,15953,15951,15953,1242
2026-05-29,09:57:00,1780028820,15957,15957,15957,15957,1243
2026-05-29,09:58:00,1780028880,15957,15957,15957,15957,1244
2026-05-29,10:00:00,1780029000,15955,15983,15955,15979,1287
2026-05-29,10:02:00,1780029120,15963,15963,15963,15963,1290
2026-05-29,10:03:00,1780029180,15990,15990,15990,15990,1300
2026-05-29,10:04:00,1780029240,16001,16001,15981,15981,1336
2026-05-29,10:06:00,1780029360,15981,15981,15981,15981,1338
2026-05-29,10:07:00,1780029420,16000,16000,16000,16000,1339
2026-05-29,10:09:00,1780029540,15999,15999,15999,15999,1341
2026-05-29,10:10:00,1780029600,15959,15959,15959,15959,1371
2026-05-29,10:11:00,1780029660,15958,15958,15958,15958,1372
2026-05-29,10:13:00,1780029780,15940,15940,15940,15940,1376
2026-05-29,10:14:00,1780029840,15959,15960,15959,15960,1391
2026-05-29,10:16:00,1780029960,15949,15949,15940,15940,1395
2026-05-29,10:19:00,1780030140,15941,15958,15941,15958,1400
2026-05-29,10:21:00,1780030260,15940,15940,15940,15940,1402
2026-05-29,10:22:00,1780030320,15965,15965,15965,15965,1405
2026-05-29,10:23:00,1780030380,15940,15945,15935,15935,1444
2026-05-29,10:24:00,1780030440,15919,15919,15919,15919,1451
2026-05-29,10:28:00,1780030680,15880,15880,15880,15880,1482
2026-05-29,10:29:00,1780030740,15881,15881,15881,15881,1486
2026-05-29,10:30:00,1780030800,15880,15880,15880,15880,1487
2026-05-29,10:32:00,1780030920,15895,15895,15895,15895,1488
2026-05-29,10:35:00,1780031100,15885,15885,15885,15885,1490
2026-05-29,10:36:00,1780031160,15885,15885,15885,15885,1491
2026-05-29,10:37:00,1780031220,15899,15899,15899,15899,1493
2026-05-29,10:40:00,1780031400,15900,15915,15900,15915,1547
2026-05-29,10:42:00,1780031520,15915,15915,15915,15915,1548
2026-05-29,10:43:00,1780031580,15902,15902,15902,15902,1549
2026-05-29,10:44:00,1780031640,15875,15875,15875,15875,1593
2026-05-29,10:45:00,1780031700,15850,15850,15806,15806,1613
2026-05-29,10:46:00,1780031760,15834,15835,15834,15835,1635
2026-05-29,10:48:00,1780031880,15851,15851,15851,15851,1636
2026-05-29,10:49:00,1780031940,15841,15841,15841,15841,1638
2026-05-29,10:50:00,1780032000,15875,15875,15864,15864,1649
2026-05-29,10:51:00,1780032060,15851,15851,15851,15851,1650
2026-05-29,10:54:00,1780032240,15860,15860,15828,15828,1654
2026-05-29,10:55:00,1780032300,15831,15857,15831,15857,1657
2026-05-29,10:57:00,1780032420,15837,15837,15837,15837,1658
2026-05-29,10:58:00,1780032480,15821,15821,15821,15821,1659
2026-05-29,10:59:00,1780032540,15842,15842,15842,15842,1661
2026-05-29,11:00:00,1780032600,15843,15843,15843,15843,1663
2026-05-29,11:04:00,1780032840,15849,15849,15849,15849,1664
2026-05-29,11:05:00,1780032900,15841,15841,15841,15841,1666
2026-05-29,11:07:00,1780033020,15825,15825,15825,15825,1670
2026-05-29,11:08:00,1780033080,15791,15791,15791,15791,1690
2026-05-29,11:09:00,1780033140,15820,15820,15820,15820,1697
2026-05-29,11:10:00,1780033200,15839,15839,15839,15839,1698
2026-05-29,11:18:00,1780033680,15801,15801,15801,15801,1699
2026-05-29,11:20:00,1780033800,15802,15818,15802,15818,1710
2026-05-29,11:23:00,1780033980,15802,15802,15802,15802,1711
2026-05-29,11:26:00,1780034160,15819,15819,15819,15819,1712
2026-05-29,11:27:00,1780034220,15838,15838,15838,15838,1718
2026-05-29,11:29:00,1780034340,15839,15839,15839,15839,1734
2026-05-29,11:30:00,1780034400,15850,15981,15850,15981,1904
2026-05-29,11:32:00,1780034520,15960,15996,15960,15996,1987
2026-05-29,11:33:00,1780034580,15976,15976,15976,15976,1988
2026-05-29,11:34:00,1780034640,15993,15993,15993,15993,1989
2026-05-29,11:36:00,1780034760,15968,15968,15968,15968,1999
2026-05-29,11:37:00,1780034820,15993,15994,15967,15967,2006
2026-05-29,11:38:00,1780034880,15996,15996,15996,15996,2007
2026-05-29,11:40:00,1780035000,16000,16000,16000,16000,
2026-05-29,11:41:00,1780035060,15973,15973,15934,15934,2164
2026-05-29,11:46:00,1780035360,15914,15914,15914,15914,2167
2026-05-29,11:49:00,1780035540,15924,15924,15924,15924,2168
2026-05-29,11:53:00,1780035780,15871,15871,15844,15844,2202
2026-05-29,11:54:00,1780035840,15918,15918,15901,15901,2270
2026-05-29,11:56:00,1780035960,15895,15895,15895,15895,2275
2026-05-29,11:57:00,1780036020,15916,15916,15916,15916,2280
2026-05-29,11:58:00,1780036080,15900,15900,15900,15900,2293
2026-05-29,12:00:00,1780036200,15924,15924,15924,15924,2298
2026-05-29,12:05:00,1780036500,15905,15905,15905,15905,2304
2026-05-29,12:09:00,1780036740,15925,15925,15925,15925,2314
2026-05-29,12:11:00,1780036860,15912,15912,15912,15912,2334
2026-05-29,12:13:00,1780036980,15911,15911,15868,15868,2409
2026-05-29,12:15:00,1780037100,15859,15859,15859,15859,2410
2026-05-29,12:16:00,1780037160,15875,15875,15875,15875,2411
2026-05-29,12:18:00,1780037280,15849,15849,15849,15849,2416
2026-05-29,12:21:00,1780037460,15849,15849,15849,15849,2426
2026-05-29,12:24:00,1780037640,15853,15853,15853,15853,2427
2026-05-29,12:27:00,1780037820,15853,15853,15853,15853,2428
2026-05-29,12:33:00,1780038180,15878,15896,15878,15896,2452
2026-05-29,12:36:00,1780038360,15869,15869,15869,15869,2471
2026-05-29,12:37:00,1780038420,15894,15894,15894,15894,2474
2026-05-29,12:38:00,1780038480,15917,15917,15917,15917,2484
2026-05-29,12:39:00,1780038540,15883,15883,15883,15883,2499
2026-05-29,12:40:00,1780038600,15869,15869,15869,15869,2512
2026-05-29,12:41:00,1780038660,15903,15903,15903,15903,2517
2026-05-29,12:45:00,1780038900,15935,15935,15935,15935,2527
2026-05-29,12:46:00,1780038960,15938,15938,15938,15938,2530
2026-05-29,12:51:00,1780039260,15920,15920,15920,15920,2541
2026-05-29,12:52:00,1780039320,15910,15910,15910,15910,2551
2026-05-29,12:53:00,1780039380,15910,15910,15910,15910,2555
2026-05-29,12:58:00,1780039680,15899,15908,15899,15908,2569
2026-05-29,12:59:00,1780039740,15869,15869,15869,15869,
2026-05-29,13:00:00,1780039800,15869,15869,15869,15869,2605
2026-05-29,13:05:00,1780040100,15869,15869,15869,15869,2614
2026-05-29,13:11:00,1780040460,15845,15845,15845,15845,
2026-05-29,13:12:00,1780040520,15845,15845,15845,15845,2623
2026-05-29,13:15:00,1780040700,15830,15830,15830,15830,2624
2026-05-29,13:19:00,1780040940,15850,15850,15810,15810,2638
2026-05-29,13:20:00,1780041000,15800,15817,15800,15817,2748
2026-05-29,13:22:00,1780041120,15823,15823,15823,15823,2750
2026-05-29,13:25:00,1780041300,15846,15846,15846,15846,2776
2026-05-29,13:38:00,1780042080,15820,15820,15817,15817,2781
2026-05-29,13:39:00,1780042140,15810,15810,15810,15810,2793
2026-05-29,13:40:00,1780042200,15810,15810,15810,15810,2795
2026-05-29,13:41:00,1780042260,15826,15826,15826,15826,2801
2026-05-29,13:48:00,1780042680,15835,15835,15835,15835,2803
2026-05-29,13:49:00,1780042740,15832,15832,15832,15832,2804
2026-05-29,13:52:00,1780042920,15825,15833,15825,15833,2816
2026-05-29,13:54:00,1780043040,15803,15803,15803,15803,2819
2026-05-29,13:55:00,1780043100,15808,15808,15808,15808,2821
2026-05-29,13:56:00,1780043160,15790,15790,15790,15790,2822
2026-05-29,13:57:00,1780043220,15800,15800,15800,15800,2824
2026-05-29,14:00:00,1780043400,15808,15808,15808,15808,2830
2026-05-29,14:03:00,1780043580,15791,15798,15775,15798,2873
2026-05-29,14:06:00,1780043760,15772,15772,15772,15772,2876
2026-05-29,14:09:00,1780043940,15790,15790,15790,15790,2877
2026-05-29,14:13:00,1780044180,15784,15784,15784,15784,2879
2026-05-29,14:14:00,1780044240,15769,15769,15769,15769,2930
2026-05-29,14:15:00,1780044300,15765,15765,15765,15765,2933
2026-05-29,14:19:00,1780044540,15751,15751,15751,15751,2936
2026-05-29,14:21:00,1780044660,15731,15767,15731,15767,2950
2026-05-29,14:25:00,1780044900,15767,15767,15767,15767,2960
2026-05-29,14:29:00,1780045140,15770,15770,15770,15770,2963
2026-05-29,14:31:00,1780045260,15763,15763,15763,15763,2964
