Date,Time,Timestamp,Open,High,Low,Close,Volume
2026-05-04,09:15:00,1777866300,167.37,168.1,165.62,165.96,872328
2026-05-04,10:15:00,1777869900,165.95,166.9,165.55,166.79,1175672
2026-05-04,11:15:00,1777873500,166.73,167.25,166.02,166.11,1592055
2026-05-04,12:15:00,1777877100,166.23,167.5,165.72,166.11,1926805
2026-05-04,13:15:00,1777880700,166.1,166.54,164.95,166.49,2172594
2026-05-04,14:15:00,1777884300,166.36,166.88,165.3,165.94,2471943
2026-05-04,15:15:00,1777887900,165.89,166.8,165.8,165.8,2718728
2026-05-05,09:15:00,1777952700,166.18,168.4,164.95,167.43,699237
2026-05-05,10:15:00,1777956300,167.41,167.98,166.8,167.24,1118517
2026-05-05,11:15:00,1777959900,167.25,167.5,166.67,167.47,1347085
2026-05-05,12:15:00,1777963500,167.36,168.13,167.36,167.75,1559075
2026-05-05,13:15:00,1777967100,167.86,167.86,167,167.2,1664103
2026-05-05,14:15:00,1777970700,167.22,167.45,166.9,167.1,1851491
2026-05-05,15:15:00,1777974300,167.15,167.85,167.15,167.6,2061484
2026-05-06,09:15:00,1778039100,168.4,170.01,167.06,168.7,1510453
2026-05-06,10:15:00,1778042700,168.65,168.77,166.41,167.4,2070612
2026-05-06,11:15:00,1778046300,167.48,167.67,166.61,167.37,2260576
2026-05-06,12:15:00,1778049900,167.35,168.82,167.2,168.63,2497800
2026-05-06,13:15:00,1778053500,168.51,168.83,168.21,168.57,2657913
2026-05-06,14:15:00,1778057100,168.59,171.01,168.5,170.25,3779269
2026-05-06,15:15:00,1778060700,170.17,170.2,170,170.09,4076331
2026-05-07,09:15:00,1778125500,170.5,171.38,167.76,169.75,955883
2026-05-07,10:15:00,1778129100,169.95,170.14,168.74,169.04,1244318
2026-05-07,11:15:00,1778132700,169,170.15,168.99,169.81,1422368
2026-05-07,12:15:00,1778136300,169.93,170.29,169.6,170.1,1536330
2026-05-07,13:15:00,1778139900,169.98,170.7,169.66,170.18,1682103
2026-05-07,14:15:00,1778143500,170.14,170.99,169.93,170.1,1948066
2026-05-07,15:15:00,1778147100,170.08,170.54,169.9,170.03,2100790
2026-05-08,09:15:00,1778211900,170.19,171.6,169.16,170.12,883950
2026-05-08,10:15:00,1778215500,170.19,171.25,169.9,170.13,1137265
2026-05-08,11:15:00,1778219100,170.2,170.48,170,170.29,1230539
2026-05-08,12:15:00,1778222700,170.23,170.5,170,170.19,1315974
2026-05-08,13:15:00,1778226300,170.16,170.35,168.96,169.5,1493940
2026-05-08,14:15:00,1778229900,169.25,170.33,168.9,170,2204030
2026-05-08,15:15:00,1778233500,170.05,170.2,169.94,170.1,2358235
2026-05-11,09:15:00,1778471100,169.42,169.65,165.73,166.55,1025556
2026-05-11,10:15:00,1778474700,166.59,166.85,165.51,166.79,1247839
2026-05-11,11:15:00,1778478300,166.75,168.8,166.41,168.65,1681845
2026-05-11,12:15:00,1778481900,168.5,169.2,168.21,169.2,1894505
2026-05-11,13:15:00,1778485500,169.13,169.3,168.26,168.46,2017098
2026-05-11,14:15:00,1778489100,168.47,168.69,165.52,165.72,2452980
2026-05-11,15:15:00,1778492700,165.8,167.41,165.54,167.2,3001855
2026-05-12,09:15:00,1778557500,165.87,166.79,163.5,165.81,517923
2026-05-12,10:15:00,1778561100,165.79,166.46,163.62,164.47,1644447
