Date,Time,Timestamp,Open,High,Low,Close,Volume
2026-05-04,09:15:00,1777866300,509,511,498.65,499.75,430462
2026-05-04,10:15:00,1777869900,499.3,500.8,494.2,497.5,637937
2026-05-04,11:15:00,1777873500,497,498.75,494.45,495.55,715732
2026-05-04,12:15:00,1777877100,495.45,496.7,493.45,494.4,804024
2026-05-04,13:15:00,1777880700,494.5,496.9,492.1,496.45,888052
2026-05-04,14:15:00,1777884300,496.65,498.9,493.95,494.95,1029459
2026-05-04,15:15:00,1777887900,495.2,499.5,495,497,1159881
2026-05-05,09:15:00,1777952700,496.4,504.4,489.25,489.4,345296
2026-05-05,10:15:00,1777956300,489.8,490.2,487.25,487.4,434320
2026-05-05,11:15:00,1777959900,487.35,488.45,485.2,488.3,499177
2026-05-05,12:15:00,1777963500,488.2,488.85,483.6,487.15,606668
2026-05-05,13:15:00,1777967100,487.05,487.35,484.05,485.15,662714
2026-05-05,14:15:00,1777970700,485.4,489.95,485.1,487.95,808829
2026-05-05,15:15:00,1777974300,487.75,492.3,487.75,491.5,894997
2026-05-06,09:15:00,1778039100,493.6,497.55,485.25,487.1,255813
2026-05-06,10:15:00,1778042700,487,488.75,485.3,488.55,360843
2026-05-06,11:15:00,1778046300,488.5,489.85,486.4,486.8,430406
2026-05-06,12:15:00,1778049900,486.75,486.75,482.4,485,519366
2026-05-06,13:15:00,1778053500,485.2,486.75,484.15,485.15,590620
2026-05-06,14:15:00,1778057100,485.5,491.5,485.15,490.65,753926
2026-05-06,15:15:00,1778060700,490.85,497,490.6,495.45,864699
2026-05-07,09:15:00,1778125500,497,510.4,491.95,494.85,455294
2026-05-07,10:15:00,1778129100,494.6,503.75,493.9,500.25,660913
2026-05-07,11:15:00,1778132700,500.45,501.95,498.6,499.5,760784
2026-05-07,12:15:00,1778136300,499.8,507.7,499.5,503.8,937213
2026-05-07,13:15:00,1778139900,503.75,504.3,501.5,502,1012637
2026-05-07,14:15:00,1778143500,502.3,503.5,500,500.35,1114488
2026-05-07,15:15:00,1778147100,500.3,502.75,498.65,502,1263215
2026-05-08,09:15:00,1778211900,499.85,514,498,506.7,468927
2026-05-08,10:15:00,1778215500,506.4,510.85,505.15,507.7,609428
2026-05-08,11:15:00,1778219100,507.55,508.8,505.35,505.75,673109
2026-05-08,12:15:00,1778222700,505.9,507.95,504.4,507.3,735016
