Date,Time,Timestamp,Open,High,Low,Close,Volume
2026-05-26,09:15:00,1779767100,84.1,84.47,83.84,84,35984
2026-05-26,09:20:00,1779767400,83.97,84.34,83.92,84.13,72338
2026-05-26,09:25:00,1779767700,84.32,84.75,84.32,84.71,110957
2026-05-26,09:30:00,1779768000,84.64,85,84.6,84.6,138134
2026-05-26,09:35:00,1779768300,84.52,84.77,84.35,84.67,144443
2026-05-26,09:40:00,1779768600,84.69,84.69,84.56,84.56,146618
2026-05-26,09:45:00,1779768900,84.65,84.65,84.52,84.52,149134
2026-05-26,09:50:00,1779769200,84.57,84.57,84.38,84.45,152813
2026-05-26,09:55:00,1779769500,84.42,84.45,84.25,84.3,155942
2026-05-26,10:00:00,1779769800,84.31,84.42,84.3,84.36,159406
2026-05-26,10:05:00,1779770100,84.42,84.44,84.33,84.42,165475
2026-05-26,10:10:00,1779770400,84.39,84.5,84.14,84.42,180975
2026-05-26,10:15:00,1779770700,84.41,84.46,84.34,84.45,185754
2026-05-26,10:20:00,1779771000,84.36,84.43,84.29,84.29,189627
2026-05-26,10:25:00,1779771300,84.37,84.37,84.24,84.26,193886
2026-05-26,10:30:00,1779771600,84.3,84.3,84.26,84.26,193930
2026-05-26,10:35:00,1779771900,84.3,84.44,84.28,84.38,199167
2026-05-26,10:40:00,1779772200,84.39,84.39,84.3,84.32,205496
2026-05-26,10:45:00,1779772500,84.27,84.38,84.26,84.38,206812
2026-05-26,10:50:00,1779772800,84.34,84.46,84.32,84.4,213309
2026-05-26,10:55:00,1779773100,84.36,84.39,84.26,84.33,218578
2026-05-26,11:00:00,1779773400,84.32,84.33,84.32,84.32,219315
2026-05-26,11:05:00,1779773700,84.28,84.33,84.24,84.33,221784
2026-05-26,11:10:00,1779774000,84.24,84.33,84.24,84.28,223306
2026-05-26,11:15:00,1779774300,84.33,84.33,84.26,84.29,224547
2026-05-26,11:20:00,1779774600,84.25,84.29,84.2,84.2,232279
2026-05-26,11:25:00,1779774900,84.18,84.32,84.11,84.22,236042
2026-05-26,11:30:00,1779775200,84.29,84.33,84.22,84.22,237932
2026-05-26,11:35:00,1779775500,84.3,84.3,84.18,84.19,240677
2026-05-26,11:40:00,1779775800,84.27,84.28,84.18,84.18,240886
2026-05-26,11:45:00,1779776100,84.09,84.32,84.09,84.26,250389
2026-05-26,11:50:00,1779776400,84.26,84.26,84.18,84.26,250956
2026-05-26,11:55:00,1779776700,84.21,84.25,84.2,84.21,251654
2026-05-26,12:00:00,1779777000,84.18,84.18,84.1,84.1,251966
2026-05-26,12:05:00,1779777300,84.13,84.3,84.13,84.22,253741
2026-05-26,12:10:00,1779777600,84.29,84.35,84.2,84.26,259902
2026-05-26,12:15:00,1779777900,84.3,84.3,84.15,84.24,269162
2026-05-26,12:20:00,1779778200,84.3,84.3,84.14,84.14,269874
2026-05-26,12:25:00,1779778500,84.22,84.34,84.16,84.24,275222
2026-05-26,12:30:00,1779778800,84.29,84.41,84.24,84.34,277113
2026-05-26,12:35:00,1779779100,84.35,84.35,84.25,84.27,277672
2026-05-26,12:40:00,1779779400,84.28,84.38,84.28,84.32,281066
2026-05-26,12:45:00,1779779700,84.28,84.38,84.27,84.27,282506
2026-05-26,12:50:00,1779780000,84.12,84.31,84.12,84.28,284062
2026-05-26,12:55:00,1779780300,84.3,84.31,84.13,84.13,287018
2026-05-26,13:00:00,1779780600,84.19,84.19,84.13,84.15,287336
2026-05-26,13:05:00,1779780900,84.15,84.33,84.15,84.22,288892
2026-05-26,13:10:00,1779781200,84.28,84.28,84.17,84.24,290235
2026-05-26,13:15:00,1779781500,84.15,84.17,84.05,84.17,293868
2026-05-26,13:20:00,1779781800,84.26,84.26,84.16,84.16,294056
