Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-12-03,00:00:00,1764700200,1645,1661.9,1611.6,1648.4,141297
2025-12-04,00:00:00,1764786600,1641,1678.5,1627.9,1667.8,100642
2025-12-05,00:00:00,1764873000,1659.4,1690.7,1649.9,1685.8,197165
2025-12-08,00:00:00,1765132200,1681.1,1684.9,1633,1666.5,178258
2025-12-09,00:00:00,1765218600,1659,1669,1610.1,1657.6,287711
2025-12-10,00:00:00,1765305000,1651.1,1699.8,1635.2,1692.4,201165
2025-12-11,00:00:00,1765391400,1672.2,1674.3,1637,1653.6,96107
2025-12-12,00:00:00,1765477800,1647,1647.6,1598,1635.3,237575
2025-12-15,00:00:00,1765737000,1618.9,1634.7,1609.5,1616.3,64107
2025-12-16,00:00:00,1765823400,1612.9,1616.8,1583.6,1593.2,64469
2025-12-17,00:00:00,1765909800,1596.7,1624.9,1587.4,1618,93850
2025-12-18,00:00:00,1765996200,1627,1689.4,1590.6,1634.4,90979
2025-12-19,00:00:00,1766082600,1647.5,1750,1634.3,1716.2,1544972
2025-12-22,00:00:00,1766341800,1709.9,1715.8,1670,1704.2,93228
2025-12-23,00:00:00,1766428200,1699.9,1742,1672,1731.2,149205
2025-12-24,00:00:00,1766514600,1729.9,1729.9,1679.8,1723,135430
2025-12-26,00:00:00,1766687400,1709,1749,1700.1,1741,60685
2025-12-29,00:00:00,1766946600,1741,1808.9,1701.1,1769.6,125455
2025-12-30,00:00:00,1767033000,1765,1789,1728,1773.4,137792
2025-12-31,00:00:00,1767119400,1772.9,1824,1736.6,1810.6,204449
2026-01-01,00:00:00,1767205800,1809,1809,1761.2,1787.7,88614
2026-01-02,00:00:00,1767292200,1762.2,1804.1,1746.1,1799.5,152688
2026-01-05,00:00:00,1767551400,1780,1802,1780,1796.7,84349
2026-01-06,00:00:00,1767637800,1791,1804.9,1765.4,1798.1,112318
2026-01-07,00:00:00,1767724200,1785.5,1790,1764.1,1775.2,83920
2026-01-08,00:00:00,1767810600,1769.9,1800,1733.2,1785.9,122428
2026-01-09,00:00:00,1767897000,1794.8,1794.8,1742.1,1760.4,81342
2026-01-12,00:00:00,1768156200,1759,1759.2,1697,1738,158510
2026-01-13,00:00:00,1768242600,1722.1,1785,1706.1,1778.7,53005
2026-01-14,00:00:00,1768329000,1775.1,1802.4,1755,1775.8,68665
2026-01-16,00:00:00,1768501800,1758,1771.2,1729.9,1755.1,76868
