Date,Time,Timestamp,Open,High,Low,Close,Volume
2026-05-26,09:15:00,1779767100,543.9,547.6,543.9,546.5,36972
2026-05-26,09:20:00,1779767400,546.6,546.9,544,545.15,54918
2026-05-26,09:25:00,1779767700,545.85,545.85,544,544.85,61591
2026-05-26,09:30:00,1779768000,545,546.2,542,542.5,88125
2026-05-26,09:35:00,1779768300,542,543.7,541.75,543,122297
2026-05-26,09:40:00,1779768600,542.95,543.95,542.55,543.95,124266
2026-05-26,09:45:00,1779768900,543.5,544.85,542.1,542.7,136349
2026-05-26,09:50:00,1779769200,542.8,543.15,542.2,543.05,139640
2026-05-26,09:55:00,1779769500,542.7,542.95,539.15,540,149549
2026-05-26,10:00:00,1779769800,539.5,541.8,538.95,541.75,173884
2026-05-26,10:05:00,1779770100,541.6,541.6,539.7,540,180839
2026-05-26,10:10:00,1779770400,539.7,540,539.6,539.6,190963
2026-05-26,10:15:00,1779770700,540,540.2,539.25,539.75,197299
2026-05-26,10:20:00,1779771000,539.85,540,539.55,540,198783
2026-05-26,10:25:00,1779771300,539.75,540,539.75,539.75,201789
2026-05-26,10:30:00,1779771600,540,540,538.4,539.65,211778
2026-05-26,10:35:00,1779771900,539.55,540,538.5,539,220193
2026-05-26,10:40:00,1779772200,538.9,539.65,538.55,539,223810
2026-05-26,10:45:00,1779772500,539,539,538.6,538.6,224756
2026-05-26,10:50:00,1779772800,538.55,538.85,538.2,538.45,230657
2026-05-26,10:55:00,1779773100,537.95,537.95,537.2,537.5,234771
2026-05-26,11:00:00,1779773400,537.55,537.6,536,537,244014
2026-05-26,11:05:00,1779773700,536.8,537,536.25,536.9,247023
2026-05-26,11:10:00,1779774000,536.85,536.85,533,534.65,280046
2026-05-26,11:15:00,1779774300,534.6,535,534.6,534.95,299949
2026-05-26,11:20:00,1779774600,534.7,534.95,533.2,533.45,311997
2026-05-26,11:25:00,1779774900,533.4,533.7,533,533.35,316888
2026-05-26,11:30:00,1779775200,533.4,533.7,532.85,533.15,320573
2026-05-26,11:35:00,1779775500,533.1,533.9,533.1,533.85,324741
2026-05-26,11:40:00,1779775800,533.9,535,533.6,534.2,364254
2026-05-26,11:45:00,1779776100,534.15,534.6,533.7,534.4,366928
2026-05-26,11:50:00,1779776400,534.45,534.75,533,533.4,371651
2026-05-26,11:55:00,1779776700,533.65,533.9,532.2,532.85,375351
2026-05-26,12:00:00,1779777000,532.8,534.5,532.2,533.85,391228
