Date,Time,Timestamp,Open,High,Low,Close,Volume
2026-05-04,09:15:00,1777866300,336.35,336.4,328.65,330.85,908666
2026-05-04,10:15:00,1777869900,331.1,331.8,329.25,331.15,1144412
2026-05-04,11:15:00,1777873500,331.2,331.7,329.3,329.3,1345845
2026-05-04,12:15:00,1777877100,329.25,330.9,328.5,329.35,1547558
2026-05-04,13:15:00,1777880700,329.15,332.85,327.1,331.7,1803127
2026-05-04,14:15:00,1777884300,331.75,332.65,330,332.35,2083767
2026-05-04,15:15:00,1777887900,332.2,333.8,331.05,332.7,2403690
2026-05-05,09:15:00,1777952700,331.5,337.5,329.5,333.3,1007428
2026-05-05,10:15:00,1777956300,333,333.95,331.5,332.5,1224972
2026-05-05,11:15:00,1777959900,332.7,332.85,329.5,331.25,1369286
2026-05-05,12:15:00,1777963500,331.35,331.6,328.45,329,1582812
2026-05-05,13:15:00,1777967100,328.9,329.35,320.2,323.4,2351870
2026-05-05,14:15:00,1777970700,323.3,324.45,321.05,321.5,2889331
2026-05-05,15:15:00,1777974300,321.55,323.75,321.4,323.7,3167464
2026-05-06,09:15:00,1778039100,325,327,315.25,318.45,1534470
2026-05-06,10:15:00,1778042700,318.35,319.2,317.75,318.15,1838896
2026-05-06,11:15:00,1778046300,318.3,318.4,313.85,315,2454259
2026-05-06,12:15:00,1778049900,314.75,315.15,311.45,312.45,3041348
2026-05-06,13:15:00,1778053500,312.2,313.4,311.5,312,3810260
2026-05-06,14:15:00,1778057100,311.85,314.8,311.7,312.9,4851240
2026-05-06,15:15:00,1778060700,312.8,313.5,312.35,313,5401020
2026-05-07,09:15:00,1778125500,314.5,322.35,313.7,321.9,1390075
2026-05-07,10:15:00,1778129100,321.75,322.9,319.2,320,1758086
2026-05-07,11:15:00,1778132700,319.9,327.8,319.9,327.5,2823167
2026-05-07,12:15:00,1778136300,327.45,327.9,326.2,327.2,3286434
2026-05-07,13:15:00,1778139900,327.3,332,326.45,330.45,4142247
2026-05-07,14:15:00,1778143500,330.3,330.85,327.25,327.65,4582636
2026-05-07,15:15:00,1778147100,327.6,330.85,326,330.5,5400837
2026-05-08,09:15:00,1778211900,328,331.2,325.5,326.2,812785
2026-05-08,10:15:00,1778215500,326.5,327.9,325.7,326.4,1016708
2026-05-08,11:15:00,1778219100,326.45,326.45,324,325,1202376
2026-05-08,12:15:00,1778222700,325.25,325.9,322.6,324.5,1389186
2026-05-08,13:15:00,1778226300,324.4,324.7,322.3,322.85,1546116
