Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-12-03,00:00:00,1764700200,523,548,522.55,545.3,1423824
2025-12-04,00:00:00,1764786600,542.7,542.95,536.2,538.25,236770
2025-12-05,00:00:00,1764873000,538.25,547,534.15,545.4,218914
2025-12-08,00:00:00,1765132200,545.4,546.85,530.3,537.15,331550
2025-12-09,00:00:00,1765218600,537.15,554,532.35,549.55,563199
2025-12-10,00:00:00,1765305000,550,550.45,531,533.4,272614
2025-12-11,00:00:00,1765391400,534.45,534.45,517.75,524.4,510148
2025-12-12,00:00:00,1765477800,526,536.4,525.8,532.9,176028
2025-12-15,00:00:00,1765737000,528,539.1,527.1,535.55,432115
2025-12-16,00:00:00,1765823400,538.9,538.9,525.25,527.3,245414
2025-12-17,00:00:00,1765909800,528,529.65,522.1,526,174275
2025-12-18,00:00:00,1765996200,524.1,524.9,519.1,522.85,128347
2025-12-19,00:00:00,1766082600,521.85,531,518,528.4,256311
2025-12-22,00:00:00,1766341800,535.1,538.25,525.8,536.4,590859
2025-12-23,00:00:00,1766428200,536,544.65,534.1,537.8,134178
2025-12-24,00:00:00,1766514600,537.8,548,536.4,545.05,224228
2025-12-26,00:00:00,1766687400,545,546.7,539.4,544.8,190895
2025-12-29,00:00:00,1766946600,542.25,545.5,538.2,543.6,227525
2025-12-30,00:00:00,1767033000,538.15,544.7,529.1,532.55,515829
2025-12-31,00:00:00,1767119400,532,541.5,531.15,538.25,1608226
2026-01-01,00:00:00,1767205800,538.3,544.9,531,537.3,103750
2026-01-02,00:00:00,1767292200,537.3,542,532,540.8,164120
2026-01-05,00:00:00,1767551400,537.7,542,534.55,538.95,148824
2026-01-06,00:00:00,1767637800,540,547.9,536.4,538.65,300456
2026-01-07,00:00:00,1767724200,535.3,537.05,526,532.95,228328
2026-01-08,00:00:00,1767810600,530.55,535.75,524.3,530.4,149928
2026-01-09,00:00:00,1767897000,524,527.75,513,517.85,283769
2026-01-12,00:00:00,1768156200,513.5,519.95,499,514.3,531920
2026-01-13,00:00:00,1768242600,514.25,516.85,510.1,513.3,192944
2026-01-14,00:00:00,1768329000,510,512.75,505.05,508.55,476805
2026-01-16,00:00:00,1768501800,506,508.8,501.1,502.9,709019
2026-01-19,00:00:00,1768761000,497.7,497.7,477,481.1,1013812
2026-01-20,00:00:00,1768847400,481.1,481.75,461.1,470.9,1040318
2026-01-21,00:00:00,1768933800,465,472.2,454.1,469.2,685292
2026-01-22,00:00:00,1769020200,470.5,480,467.5,476.2,370558
2026-01-23,00:00:00,1769106600,478.2,479.45,460.1,462.3,140568
2026-01-27,00:00:00,1769452200,462,473.5,454.1,469.25,368883
2026-01-28,00:00:00,1769538600,468,482,464.05,479.9,341763
2026-01-29,00:00:00,1769625000,481.9,485.8,471.05,483,305406
2026-01-30,00:00:00,1769711400,483,506.4,474.3,502.45,515923
2026-02-01,00:00:00,1769884200,502.45,504.75,488.8,500.3,87298
2026-02-02,00:00:00,1769970600,495,506.7,485,505.2,326617
2026-02-03,00:00:00,1770057000,550,554.95,526.6,549.4,2506506
2026-02-04,00:00:00,1770143400,540,541.75,502,509.05,1672895
2026-02-05,00:00:00,1770229800,509.05,511.55,492.5,499.65,551222
2026-02-06,00:00:00,1770316200,497.25,511.1,490.95,502.75,307622
2026-02-09,00:00:00,1770575400,508.45,514,499.2,502.55,1197247
2026-02-10,00:00:00,1770661800,501,514.5,497.3,499.35,1113644
2026-02-11,00:00:00,1770748200,499,500.35,483.2,487.4,1091008
2026-02-12,00:00:00,1770834600,487,491.8,482.55,488.9,198840
2026-02-13,00:00:00,1770921000,483.5,496.8,478.5,490.7,1826116
2026-02-16,00:00:00,1771180200,488.4,491.95,485.6,490.1,94950
2026-02-17,00:00:00,1771266600,488,493.95,487.95,490.95,135106
2026-02-18,00:00:00,1771353000,493.05,494.05,483.15,487,295053
2026-02-19,00:00:00,1771439400,487.65,491.55,484.4,487.2,222635
2026-02-20,00:00:00,1771525800,485.95,491.6,483.25,490.2,132966
2026-02-23,00:00:00,1771785000,490.25,494.9,484.8,493.35,252964
2026-02-24,00:00:00,1771871400,488.75,491.2,479.4,484.65,490825
2026-02-25,00:00:00,1771957800,485.5,497.35,485.5,493.7,1048517
2026-02-26,00:00:00,1772044200,495,497,489.55,495.9,204365
2026-02-27,00:00:00,1772130600,493.4,495.1,484.3,489.2,280115
2026-03-02,00:00:00,1772389800,461.05,482,460.25,467,252614
2026-03-04,00:00:00,1772562600,463.35,465.7,455,460.2,290536
2026-03-05,00:00:00,1772649000,460.2,489.55,455.55,472.85,361469
2026-03-06,00:00:00,1772735400,472.8,477,463,471.9,288475
2026-03-09,00:00:00,1772994600,463.65,471.9,455.25,468.4,222535
2026-03-10,00:00:00,1773081000,468.4,471.8,461.45,468.25,201123
2026-03-11,00:00:00,1773167400,472.9,476,467,474.6,275013
2026-03-12,00:00:00,1773253800,465,471,462.4,470.3,237577
2026-03-13,00:00:00,1773340200,467.2,467.2,457.15,459.45,207764
2026-03-16,00:00:00,1773599400,456,466,447.5,462.05,230283
2026-03-17,00:00:00,1773685800,465,467.9,456.7,465.65,172573
2026-03-18,00:00:00,1773772200,465.65,478,462.75,475.5,317526
2026-03-19,00:00:00,1773858600,470,474.8,462.2,465.2,175786
2026-03-20,00:00:00,1773945000,465.2,472,452.9,456.15,259444
2026-03-23,00:00:00,1774204200,448.45,452,428.35,435.25,711843
2026-03-24,00:00:00,1774290600,444.9,451.7,433.8,444.05,211259
2026-03-25,00:00:00,1774377000,452.95,456.85,446.3,451.65,272104
2026-03-27,00:00:00,1774549800,447,467.9,438.7,451.95,1873450
2026-03-30,00:00:00,1774809000,445,445,430.2,439.85,740378
2026-04-01,00:00:00,1774981800,445.95,456.55,443.7,454.05,253376
2026-04-02,00:00:00,1775068200,453.1,463.55,440.8,460.65,247058
2026-04-06,00:00:00,1775413800,451,463.45,449.95,458.4,209558
2026-04-07,00:00:00,1775500200,462.9,462.9,454.1,456.85,123748
2026-04-08,00:00:00,1775586600,478.3,481.8,459.4,464.75,631498
2026-04-09,00:00:00,1775673000,465,468.8,453,454.9,727129
2026-04-10,00:00:00,1775759400,459.9,467.25,457,460.15,579986
2026-04-13,00:00:00,1776018600,457.85,464.3,447.2,459.55,1184001
2026-04-15,00:00:00,1776191400,469,489.55,461,472.3,1870076
2026-04-16,00:00:00,1776277800,479.95,485.65,470.25,477.8,2702532
2026-04-17,00:00:00,1776364200,480,532.7,475.8,515.45,6236306
2026-04-20,00:00:00,1776623400,518.05,605.95,512.85,576.2,62274832
2026-04-21,00:00:00,1776709800,574.9,587,557.05,570.1,11181540
2026-04-22,00:00:00,1776796200,565,576.8,562,570.9,1612347
2026-04-23,00:00:00,1776882600,570.85,586.8,566.35,579,2143331
2026-04-24,00:00:00,1776969000,577,580,553,569.85,1308764
2026-04-27,00:00:00,1777228200,572.9,588,564.8,580,798863
2026-04-28,00:00:00,1777314600,582.9,590,572.25,581.65,1386666
2026-04-29,00:00:00,1777401000,586.9,595.65,570.75,574.6,859577
2026-04-30,00:00:00,1777487400,574,578.1,562,573.25,513534
2026-05-04,00:00:00,1777833000,573.95,580.5,568.05,570,510283
2026-05-05,00:00:00,1777919400,571.4,574.35,554,556.45,343316
2026-05-06,00:00:00,1778005800,560,564.85,543.5,557.3,584350
2026-05-07,00:00:00,1778092200,561.15,579.3,559.2,574.1,732285
2026-05-08,00:00:00,1778178600,575.25,604.65,564.3,597.9,2294453
2026-05-11,00:00:00,1778437800,600.5,601,581,582.05,793132
2026-05-12,00:00:00,1778524200,584.5,590,557.35,560.7,437915
2026-05-13,00:00:00,1778610600,560.7,578.1,557.2,565.3,424100
2026-05-14,00:00:00,1778697000,565.5,582,562.25,578.55,499307
2026-05-15,00:00:00,1778783400,580.4,612.9,574.05,606.95,2988155
2026-05-18,00:00:00,1779042600,606,612.4,590,596.65,1269442
2026-05-19,00:00:00,1779129000,587.8,655.4,560.85,638.05,23988920
2026-05-20,00:00:00,1779215400,642.95,664,617.1,656.55,8531572
2026-05-21,00:00:00,1779301800,657.25,712,657,705.6,15939472
2026-05-22,00:00:00,1779388200,711.95,738,693,706.95,13994095
2026-05-25,00:00:00,1779647400,706.95,714.9,687.6,692.75,1691050
2026-05-26,00:00:00,1779733800,692.75,703.9,685,690.45,954520
2026-05-27,00:00:00,1779820200,690.5,724.55,690.5,719.15,2436940
2026-05-29,00:00:00,1779993000,725,787.6,724.5,741.5,6887269
