Date,Time,Timestamp,Open,High,Low,Close,Volume
2026-05-26,09:15:00,1779767100,633.55,633.55,629.8,629.8,1092
2026-05-26,09:20:00,1779767400,631.6,631.7,622,623,8277
2026-05-26,09:25:00,1779767700,623,624.7,622.95,624.7,11938
2026-05-26,09:30:00,1779768000,625.6,627.15,622,622,13960
2026-05-26,09:35:00,1779768300,621.95,624.9,621.95,624.5,17902
2026-05-26,09:40:00,1779768600,624.5,624.8,623.75,623.75,18100
2026-05-26,09:45:00,1779768900,624.5,626,624.5,626,18479
2026-05-26,09:50:00,1779769200,626,626,625,625,18967
2026-05-26,09:55:00,1779769500,624.65,625.2,623.75,623.75,19105
2026-05-26,10:00:00,1779769800,624.65,624.65,624,624.65,19424
2026-05-26,10:05:00,1779770100,624.75,625.7,624.05,624.05,19473
2026-05-26,10:10:00,1779770400,624.15,625.1,624.15,625.1,19496
2026-05-26,10:15:00,1779770700,625.3,626.65,625,626.65,20059
2026-05-26,10:20:00,1779771000,627.5,628.25,626.8,628.05,20875
2026-05-26,10:25:00,1779771300,628.4,629.85,628.4,629.55,21066
2026-05-26,10:30:00,1779771600,629.2,629.25,629.2,629.25,21089
2026-05-26,10:35:00,1779771900,629.3,631.65,629.3,631.55,21612
2026-05-26,10:40:00,1779772200,629.8,630,629.8,630,21639
2026-05-26,10:45:00,1779772500,630,630.95,630,630.5,21730
2026-05-26,10:50:00,1779772800,630.85,630.85,630.85,630.85,21731
2026-05-26,10:55:00,1779773100,630.65,631.2,629.85,631.2,21860
2026-05-26,11:00:00,1779773400,629.9,629.9,629.9,629.9,21867
2026-05-26,11:05:00,1779773700,629.2,629.2,629.2,629.2,21944
2026-05-26,11:10:00,1779774000,628.25,628.55,628,628.25,22090
2026-05-26,11:15:00,1779774300,627.95,627.95,627.5,627.5,22204
2026-05-26,11:20:00,1779774600,626.6,627.5,626.6,627.5,22237
2026-05-26,11:30:00,1779775200,626.5,627.65,626.15,627.65,22508
2026-05-26,11:35:00,1779775500,627.5,627.5,625.95,625.95,22588
2026-05-26,11:40:00,1779775800,627.25,627.25,625.65,625.65,22699
2026-05-26,11:45:00,1779776100,627.1,632.95,627.1,630,37044
2026-05-26,11:50:00,1779776400,630,630.9,630,630.9,38081
2026-05-26,11:55:00,1779776700,631.55,631.55,631,631,38116
2026-05-26,12:05:00,1779777300,631,631,630.85,630.85,38274
2026-05-26,12:10:00,1779777600,631.55,631.55,630.85,630.85,38389
2026-05-26,12:15:00,1779777900,631.9,633.3,631.9,632.3,38993
2026-05-26,12:20:00,1779778200,633,633,633,633,39043
2026-05-26,12:25:00,1779778500,633,633,633,633,39107
2026-05-26,12:35:00,1779779100,633,633,633,633,39123
2026-05-26,12:50:00,1779780000,633,633.6,633,633.6,39224
2026-05-26,12:55:00,1779780300,633.6,633.8,633.6,633.8,39395
2026-05-26,13:00:00,1779780600,633.8,633.8,633,633.05,40314
2026-05-26,13:05:00,1779780900,633.75,634,633.1,634,40356
2026-05-26,13:10:00,1779781200,634.5,634.5,634.4,634.4,40440
2026-05-26,13:25:00,1779782100,633,633,633,633,40540
2026-05-26,13:35:00,1779782700,634.1,634.15,633.15,633.15,40581
2026-05-26,13:50:00,1779783600,633.95,633.95,633,633,40794
2026-05-26,13:55:00,1779783900,634,634.05,634,634.05,40800
2026-05-26,14:00:00,1779784200,633.1,633.1,633,633,41053
2026-05-26,14:10:00,1779784800,633,633,633,633,41725
2026-05-26,14:15:00,1779785100,633,633,633,633,41941
2026-05-26,14:20:00,1779785400,634.3,634.3,634,634,42062
2026-05-26,14:30:00,1779786000,633.15,633.15,633.15,633.15,42078
2026-05-26,14:35:00,1779786300,633.2,633.2,632.95,632.95,42930
2026-05-26,14:40:00,1779786600,633,633,633,633,43445
2026-05-26,14:45:00,1779786900,633,633,633,633,43852
2026-05-26,14:55:00,1779787500,633.05,633.05,633.05,633.05,44013
