Date,Time,Timestamp,Open,High,Low,Close,Volume
2018-07-02,00:00:00,1530469800.0,256.0,257.64,240.47,247.16,337225.0
2018-08-01,00:00:00,1533061800.0,249.36,340.99,228.2,334.59,1671148.0
2018-09-03,00:00:00,1535913000.0,338.6,349.7,258.1,282.55,3789910.0
2018-10-01,00:00:00,1538332200.0,277.45,333.95,219.15,256.5,2367060.0
2018-11-01,00:00:00,1541010600.0,256.75,268.8,216.7,222.4,1617126.0
2018-12-03,00:00:00,1543775400.0,224.2,255.0,221.55,232.15,2019598.0
2019-01-01,00:00:00,1546281000.0,232.25,242.0,219.0,224.65,2558578.0
2019-02-01,00:00:00,1548959400.0,224.0,230.45,199.9,201.7,3918392.0
2019-03-01,00:00:00,1551378600.0,201.7,240.0,200.0,230.1,2071374.0
2019-04-01,00:00:00,1554057000.0,233.0,248.7,229.55,234.65,1027698.0
2019-05-02,00:00:00,1556735400.0,252.9,256.5,235.05,250.0,1312414.0
2019-06-03,00:00:00,1559500200.0,249.75,271.35,244.45,258.5,1598477.0
2019-07-01,00:00:00,1561919400.0,258.95,261.0,204.55,210.65,672810.0
2019-08-01,00:00:00,1564597800.0,206.0,230.0,206.0,219.95,488595.0
2019-09-03,00:00:00,1567449000.0,219.0,225.9,206.4,219.3,528406.0
2019-10-01,00:00:00,1569868200.0,219.3,222.95,176.85,178.4,2157209.0
2019-11-01,00:00:00,1572546600.0,179.0,196.5,179.0,186.6,1134312.0
2019-12-02,00:00:00,1575225000.0,186.6,188.85,168.1,174.6,770782.0
2020-01-01,00:00:00,1577817000.0,175.95,202.4,170.4,171.2,2813109.0
2020-02-03,00:00:00,1580668200.0,164.6,168.0,135.05,136.65,1608687.0
2020-03-02,00:00:00,1583087400.0,136.3,142.5,63.8,88.0,1611498.0
2020-04-01,00:00:00,1585679400.0,88.0,99.9,82.35,84.8,3010581.0
2020-05-04,00:00:00,1588530600.0,83.8,93.0,77.8,86.85,5877488.0
2020-06-01,00:00:00,1590949800.0,87.0,161.0,87.0,123.85,9340957.0
2020-07-01,00:00:00,1593541800.0,125.85,170.25,121.5,159.95,9397240.0
2020-08-03,00:00:00,1596393000.0,160.0,186.0,160.0,172.3,7543439.0
2020-09-01,00:00:00,1598898600.0,175.0,211.7,160.5,192.4,7805610.0
2020-10-01,00:00:00,1601490600.0,194.0,200.3,176.2,177.85,4523611.0
2020-11-02,00:00:00,1604255400.0,177.0,237.45,172.3,227.7,4899411.0
2020-12-01,00:00:00,1606761000.0,232.1,267.0,200.0,237.4,6641554.0
2021-01-01,00:00:00,1609439400.0,241.9,248.5,230.5,235.75,4339175.0
2021-02-01,00:00:00,1612117800.0,235.0,309.0,223.4,295.25,13404315.0
2021-03-01,00:00:00,1614537000.0,297.6,348.0,271.0,273.95,16797029.0
2021-04-01,00:00:00,1617215400.0,275.0,289.95,254.7,264.3,3486356.0
2021-05-03,00:00:00,1619980200.0,264.0,306.9,262.3,285.8,5988948.0
2021-06-01,00:00:00,1622485800.0,288.4,319.2,279.0,311.35,52340167.0
2021-07-01,00:00:00,1625077800.0,317.0,428.4,312.3,415.9,55087675.0
2021-08-02,00:00:00,1627842600.0,419.65,465.25,377.0,450.3,29199616.0
2021-09-01,00:00:00,1630434600.0,450.3,587.0,428.15,477.8,34205161.0
2021-10-01,00:00:00,1633026600.0,473.0,524.4,432.15,461.65,30931111.0
2021-11-01,00:00:00,1635705000.0,464.0,508.6,380.6,446.55,39872583.0
2021-12-01,00:00:00,1638297000.0,445.0,538.0,420.9,521.55,47085395.0
2022-01-03,00:00:00,1641148200.0,524.9,539.0,383.95,415.5,30049801.0
2022-02-01,00:00:00,1643653800.0,427.0,441.0,313.35,346.35,20604057.0
2022-03-02,00:00:00,1646159400.0,346.0,392.35,331.3,366.95,16054495.0
2022-04-01,00:00:00,1648751400.0,366.5,394.7,312.5,323.1,15742392.0
2022-05-02,00:00:00,1651429800.0,315.2,320.95,262.65,305.8,19624182.0
2022-06-01,00:00:00,1654021800.0,307.45,323.6,246.65,272.1,9018238.0
2022-07-01,00:00:00,1656613800.0,273.15,275.8,245.1,247.55,11442883.0
2022-08-01,00:00:00,1659292200.0,250.0,255.5,221.75,230.9,31305504.0
2022-09-01,00:00:00,1661970600.0,230.0,245.95,208.0,211.65,21411617.0
2022-10-03,00:00:00,1664735400.0,212.4,229.95,208.65,223.4,15688816.0
2022-11-01,00:00:00,1667241000.0,223.4,225.0,209.5,222.9,11405423.0
2022-12-01,00:00:00,1669833000.0,225.45,247.4,201.5,213.0,23421343.0
2023-01-02,00:00:00,1672597800.0,213.7,239.0,205.4,230.3,29084290.0
2023-02-01,00:00:00,1675189800.0,233.0,308.45,230.6,290.3,65323089.0
2023-03-01,00:00:00,1677609000.0,290.8,293.6,258.8,274.35,25265095.0
2023-04-03,00:00:00,1680460200.0,275.0,291.0,259.3,278.25,12876239.0
